frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;2.497483e+00;2.786155e+00;-2.145056e+00;8.571693e+00;1.112287e+01;1.011976e+01;-1.516473e+00;1.280778e+00;6.456436e+00;1.157951e+00;1.281675e+01;2.607526e+00;4.068021e+00;-1.184311e+01
1;0.010000;5.140347e+00;-2.501594e+00;2.620537e+00;5.227430e+00;-4.370713e+00;-6.050368e+00;3.729658e+00;4.823319e+00;3.209523e+00;5.711332e+00;6.825941e+00;5.088208e+00;-1.296400e+00;-7.519981e+00
2;0.020000;6.809694e+00;-7.570226e+00;5.893670e+00;-2.848973e+00;-7.979430e+00;-1.380788e+01;6.406894e+00;8.329739e+00;-3.613568e+00;7.817490e+00;-3.263222e+00;1.181367e+01;-6.125105e+00;-2.016739e+00
3;0.030000;6.752269e+00;-9.509457e+00;6.035230e+00;-5.209802e+00;-7.123090e+00;-1.568138e+01;3.738481e+00;1.079164e+01;-8.445337e+00;1.283992e+01;-9.293809e+00;1.339867e+01;-9.165001e+00;4.339523e-01
4;0.040000;6.777479e+00;-9.978783e+00;6.565101e+00;-3.979348e+00;-3.147742e+00;-1.610515e+01;8.062539e-01;9.892262e+00;-1.120990e+01;1.746169e+01;-1.372253e+01;1.319692e+01;-7.958574e+00;6.977463e-01
5;0.050000;7.398702e+00;-9.113884e+00;6.577490e+00;-1.569513e+00;6.932936e-01;-1.635060e+01;1.046276e-01;5.389879e+00;-1.345421e+01;1.570955e+01;-1.477506e+01;1.092062e+01;-2.548559e+00;2.865601e-02
6;0.060000;9.084808e+00;-7.066278e+00;5.330657e+00;6.881914e-01;3.568845e+00;-1.861871e+01;3.140483e-01;2.990702e+00;-1.250946e+01;1.131805e+01;-1.494344e+01;5.620651e+00;7.097321e-01;-2.497971e+00
7;0.070000;1.062552e+01;-5.242906e+00;3.252490e+00;2.687239e+00;6.335318e+00;-1.789807e+01;-5.552845e-01;2.879384e+00;-1.122941e+01;6.384066e+00;-1.344462e+01;-1.902372e-01;3.544283e-02;-5.890274e+00
8;0.080000;1.097001e+01;-3.432992e+00;3.121613e+00;9.106388e-01;5.724132e+00;-1.399937e+01;-3.399048e+00;2.756359e+00;-8.954273e+00;5.202745e+00;-9.557485e+00;-1.888598e+00;-8.593893e-02;-8.371689e+00
9;0.090000;1.010351e+01;-2.611029e+00;3.210608e+00;2.796552e+00;6.881974e+00;-1.082322e+01;-4.504928e+00;6.059256e+00;-6.056309e-02;8.878793e+00;-3.871072e+00;1.421816e+00;3.477748e+00;-1.025715e+01
10;0.100000;5.698815e+00;-2.119246e+00;7.396178e+00;4.716045e+00;8.604512e+00;-3.629971e+00;-1.333058e+00;1.578280e+00;1.429579e+01;4.412498e+00;8.038578e-01;6.115351e+00;4.150314e+00;-9.989822e+00
11;0.110000;-2.116521e+00;-1.114181e+00;1.240030e+01;4.410760e+00;4.514278e+00;4.932480e-01;6.370148e+00;-6.263776e+00;1.909912e+01;-1.317561e+00;5.231095e+00;6.846543e+00;-1.051455e+00;-6.593002e+00
12;0.120000;-6.089390e+00;-1.269726e+00;1.075125e+01;3.423698e+00;3.669134e+00;2.489523e+00;7.329197e+00;-1.071335e+01;1.481344e+01;-3.703064e+00;8.573601e+00;6.579002e+00;1.708097e-01;-3.094986e+00
13;0.130000;-6.950228e+00;-1.087751e+00;7.481937e+00;4.601003e+00;4.937619e+00;3.219502e+00;5.267878e+00;-8.687502e+00;1.456548e+01;-1.694497e+00;1.001159e+01;7.403596e+00;1.060556e+00;-1.270439e+00
14;0.140000;-4.303392e+00;2.668718e+00;7.379472e+00;3.905906e+00;6.905041e-01;-2.074208e+00;-2.447950e+00;-1.207021e+01;8.428942e+00;-4.515811e+00;8.633326e+00;6.175197e+00;4.621434e+00;-4.098358e-01
15;0.150000;-2.306076e+00;2.809726e+00;1.226193e+01;-3.938611e+00;-1.031179e+01;-7.738229e+00;-3.066656e+00;-1.213350e+01;9.553194e-01;-2.938779e+00;5.742832e+00;-1.603135e+00;4.716710e+00;1.331444e+00
16;0.160000;-1.745878e+00;-5.379677e-03;1.646493e+01;-8.918035e+00;-1.562938e+01;-9.135129e+00;-5.111217e-03;-8.985030e+00;-3.883901e+00;2.226747e+00;3.580619e+00;7.982326e-02;3.780785e-01;3.726204e+00
17;0.170000;-3.057878e+00;-2.853323e+00;1.599361e+01;-1.044784e+01;-1.869296e+01;-9.084355e+00;3.014398e-01;-8.265199e+00;-5.040180e+00;5.136136e+00;-1.252130e+00;2.753487e-01;-4.989749e+00;5.027687e+00
18;0.180000;-4.879782e+00;-3.427829e+00;1.484575e+01;-1.020852e+01;-1.957379e+01;-7.728423e+00;2.905782e+00;-6.655370e+00;-5.649376e+00;6.830077e+00;-4.607152e+00;3.686023e-01;-8.715393e+00;4.982483e+00
19;0.190000;-5.272135e+00;-1.390158e+00;1.541072e+01;-7.852054e+00;-1.828450e+01;-3.925740e+00;5.782266e+00;-3.106483e+00;-4.347599e+00;1.030074e+01;-3.654918e+00;3.358077e+00;-8.095503e+00;5.001740e+00
20;0.200000;-6.134706e+00;-1.142382e+00;1.335810e+01;-8.433965e+00;-2.131999e+01;-5.470294e+00;1.493940e+00;-5.053102e+00;-7.701326e+00;7.810802e+00;-4.804864e+00;4.883176e+00;-5.725759e+00;4.254608e+00
21;0.210000;-5.102293e+00;1.074307e+00;1.339248e+01;-7.017863e+00;-2.112439e+01;-4.618651e+00;1.310808e+00;-3.917933e+00;-8.998789e+00;6.086552e+00;-3.131783e+00;5.096879e+00;-4.359590e+00;3.476639e+00
22;0.220000;-4.146739e+00;1.030087e-01;1.277197e+01;-8.153672e+00;-1.997606e+01;-4.233911e+00;6.610780e-01;-6.696556e+00;-1.247145e+01;2.218291e+00;-5.399753e+00;2.011029e+00;-6.652071e+00;2.815224e+00
23;0.230000;-3.151711e+00;-5.245776e-01;1.551380e+01;-7.567693e+00;-1.699998e+01;-3.249548e+00;4.372076e+00;-6.652020e+00;-1.229246e+01;1.472822e+00;-7.313445e+00;1.757860e+00;-6.624168e+00;1.814209e+00
24;0.240000;-2.006804e+00;-2.595377e-02;1.788972e+01;-5.234336e+00;-1.393233e+01;6.085711e-01;5.683072e+00;-5.649768e+00;-7.202684e+00;2.676123e+00;-5.115819e+00;2.012670e-02;-3.163221e+00;9.962616e-01
25;0.250000;-2.417890e+00;-7.065420e-01;1.794562e+01;-8.344655e+00;-1.563859e+01;-1.308060e-02;1.849274e+00;-7.802264e+00;-6.831688e+00;1.205428e+00;-3.874328e+00;-2.946912e+00;-2.516203e+00;1.668068e+00
26;0.260000;-2.735914e+00;-2.152596e+00;1.861754e+01;-1.028973e+01;-1.409466e+01;7.651253e-01;2.184563e-01;-7.715124e+00;-9.513626e+00;3.880243e-01;-3.660398e+00;-2.304230e+00;-1.124444e+00;2.276901e+00
27;0.270000;-3.603836e+00;-2.208288e+00;1.905710e+01;-1.030346e+01;-1.211445e+01;2.746117e+00;-4.033570e-01;-5.852386e+00;-1.098550e+01;-4.963303e-02;-5.486714e+00;-1.667284e+00;2.913661e-01;1.977745e+00
28;0.280000;-4.872692e+00;-1.554815e+00;1.749665e+01;-1.000438e+01;-1.143878e+01;2.911000e+00;-2.171984e-01;-4.664150e+00;-1.011732e+01;1.207626e+00;-3.604912e+00;-2.081172e+00;-5.103664e-01;1.241447e+00
29;0.290000;-4.969479e+00;-4.406509e-01;1.628307e+01;-9.725169e+00;-1.290611e+01;6.480856e-01;3.830481e-02;-4.189022e+00;-1.100206e+01;2.995434e+00;-1.481884e+00;-1.929351e+00;-7.347870e-01;9.427185e-01
30;0.300000;-4.296891e+00;9.943206e-01;1.629193e+01;-9.467599e+00;-1.399602e+01;9.395514e-01;2.142392e+00;-4.599888e+00;-1.264292e+01;3.988444e+00;-2.998757e+00;-2.978400e+00;-6.086802e-01;1.144562e+00
31;0.310000;-4.210163e+00;4.229496e-01;1.513229e+01;-8.385329e+00;-1.439754e+01;-7.053089e-02;2.026860e+00;-6.351032e+00;-1.378584e+01;3.038264e+00;-6.416060e+00;-3.276399e+00;-3.231233e+00;1.118996e+00
32;0.320000;-4.594763e+00;-8.722353e-01;1.384488e+01;-6.647172e+00;-1.596273e+01;-2.453938e+00;3.697893e+00;-7.148774e+00;-1.517853e+01;2.503263e+00;-8.842301e+00;-3.482930e+00;-7.446455e+00;1.149147e+00
33;0.330000;-3.836860e+00;-1.354663e+00;1.329373e+01;-2.685853e+00;-1.709969e+01;-4.137496e+00;9.508486e+00;-3.061047e+00;-1.177897e+01;4.844741e+00;-5.469033e+00;-4.112005e-02;-7.098166e+00;2.156799e+00
34;0.340000;-3.407588e+00;-2.562991e+00;1.054956e+01;-2.420664e-01;-1.681683e+01;-8.015079e+00;8.547617e+00;6.892471e-01;-8.283178e+00;3.747274e+00;-7.886407e+00;-6.191058e-01;-5.564804e+00;2.866119e+00
35;0.350000;-2.520266e+00;-3.036866e+00;7.763216e+00;1.767757e+00;-1.370775e+01;-9.855731e+00;3.942379e+00;3.038807e+00;1.231384e-01;2.877629e+00;-1.141005e+01;-1.346221e+00;-4.345516e+00;3.230637e+00
36;0.360000;-2.279274e+00;-2.642839e+00;3.710909e+00;4.273577e-01;-8.789344e+00;-1.101457e+01;-2.363850e+00;3.396386e+00;7.172663e+00;2.271300e+00;-1.622857e+01;-1.073953e+00;-3.993012e+00;3.188614e+00
