frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;1.207620e+01;1.004711e+01;-2.796655e+00;-4.909756e+00;-1.044797e+01;1.672386e+00;-3.633801e+00;5.898276e+00;5.392507e+00;-4.645222e-01;5.169300e+00;-9.708555e+00;1.268717e+00;-1.327858e+01
1;0.010000;1.411937e+01;1.175590e+01;-7.990154e+00;-2.871204e+00;-1.806447e+01;-4.360485e-01;-1.638214e+00;2.950739e+00;6.664489e+00;-4.133455e+00;7.080723e+00;-1.444892e+01;1.262566e+00;-1.157096e+01
2;0.020000;1.364511e+01;1.083909e+01;-7.715230e+00;1.445362e+00;-2.278468e+01;-5.951099e-01;3.664660e+00;-1.716728e-01;7.811440e+00;-5.872418e+00;1.059274e+01;-1.447438e+01;-7.089223e-01;-9.281616e+00
3;0.030000;1.135587e+01;9.376804e+00;-5.925940e+00;3.678988e+00;-2.592645e+01;-4.485445e-01;5.946490e+00;-4.265142e+00;7.199513e+00;-7.233750e+00;1.068131e+01;-1.444432e+01;-2.554693e+00;-6.887199e+00
4;0.040000;9.709184e+00;7.748192e+00;-5.633618e+00;7.072191e+00;-2.519404e+01;-2.727118e-01;4.160769e+00;-7.315130e+00;6.200144e+00;-7.474360e+00;1.044150e+01;-1.513570e+01;-3.632846e+00;-4.236908e+00
5;0.050000;9.013852e+00;6.860344e+00;-4.028064e+00;9.207377e+00;-2.398560e+01;1.184023e+00;2.550075e+00;-9.372265e+00;4.301790e+00;-5.667765e+00;1.229449e+01;-1.467924e+01;-2.191104e+00;-2.985344e+00
6;0.060000;8.704454e+00;6.696891e+00;-3.625254e+00;1.021307e+01;-2.016693e+01;2.483152e+00;2.366294e+00;-8.100927e+00;4.015751e+00;-3.227275e+00;1.189334e+01;-1.175005e+01;-1.592853e+00;-2.223961e+00
7;0.070000;6.906412e+00;5.059969e+00;-2.737882e+00;1.024297e+01;-1.945927e+01;1.635647e-02;4.125690e-02;-6.251513e+00;2.873806e+00;-5.375957e+00;1.017842e+01;-8.486103e+00;-1.517815e+00;-9.695282e-01
8;0.080000;5.785338e+00;4.780304e+00;5.585566e-01;1.032514e+01;-1.835534e+01;-5.918684e-01;1.838884e-01;-3.794130e+00;3.094571e+00;-6.523329e+00;8.583812e+00;-5.908694e+00;-2.038824e+00;2.484665e-01
9;0.090000;4.687888e+00;3.137543e+00;1.833421e+00;9.388267e+00;-1.850439e+01;-2.223161e+00;-2.266135e+00;-4.825510e+00;1.852256e+00;-8.247796e+00;5.009098e+00;-4.633153e+00;-4.572769e+00;5.722504e-01
