frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-1.290677e+00;4.629470e+00;5.776404e+00;9.128073e+00;2.669979e+00;1.034480e+01;8.864645e+00;2.098442e+00;1.021497e+01;3.607618e+00;5.046086e-01;1.897466e-01;-5.679580e+00;-1.556095e+01
1;0.010000;-3.557148e-01;4.458685e+00;5.767199e+00;1.088244e+01;9.551630e-01;1.262515e+01;7.925104e+00;2.982104e+00;7.184171e+00;3.691791e+00;1.597789e+00;1.411807e+00;-2.723254e+00;-1.652570e+01
2;0.020000;2.839979e+00;6.432804e+00;4.881926e+00;1.003387e+01;-3.609487e+00;8.625528e+00;6.004295e-01;-2.907628e+00;5.368115e+00;7.897493e+00;4.315677e+00;6.604147e+00;1.208569e+00;-1.640209e+01
3;0.030000;7.167982e+00;1.040518e+01;4.731085e+00;4.188275e+00;-1.163909e+01;6.235733e-01;-4.504445e+00;-9.683001e+00;6.421759e+00;1.034348e+01;3.586169e+00;6.160166e+00;-1.703732e+00;-1.475153e+01
4;0.040000;8.031479e+00;1.205963e+01;4.330225e+00;3.565187e-01;-1.551751e+01;4.377480e-01;-4.550763e+00;-1.175476e+01;5.672629e+00;9.767159e+00;4.217304e+00;9.076709e+00;-3.701859e+00;-1.398495e+01
5;0.050000;6.805659e+00;1.161491e+01;3.876237e+00;-4.943619e-01;-1.462783e+01;3.479557e-01;-4.978625e+00;-9.514915e+00;1.554182e+00;6.980273e+00;3.647403e+00;9.874683e+00;-4.065951e+00;-1.440402e+01
6;0.060000;7.625333e+00;8.773808e+00;3.129201e+00;-2.407051e+00;-1.187559e+01;1.599947e+00;-6.731715e+00;-1.316664e+01;-7.954216e-01;4.288687e+00;-5.280329e-02;2.867703e+00;-1.142392e+01;-1.171700e+01
7;0.070000;8.707420e+00;7.002363e+00;3.685804e+00;-5.143911e+00;-1.236093e+01;2.014593e+00;-1.067147e+01;-1.485699e+01;-1.836247e-01;5.205709e+00;-2.531459e+00;2.234022e+00;-1.112387e+01;-7.779602e+00
8;0.080000;8.967394e+00;6.201040e+00;1.923806e+00;-3.913343e+00;-1.256586e+01;5.264902e+00;-1.405869e+01;-1.435762e+01;-5.752735e-01;6.910974e+00;-2.207811e+00;2.089505e+00;-1.035468e+01;-5.578842e+00
9;0.090000;8.836752e+00;6.714046e+00;1.553090e-01;-1.374632e+00;-1.262875e+01;9.492657e+00;-1.536406e+01;-1.442188e+01;-1.438799e+00;6.462430e+00;-1.720583e+00;4.518375e-01;-1.133086e+01;-5.095345e+00
10;0.100000;7.583960e+00;7.869240e+00;-2.188489e+00;-2.039125e+00;-1.221449e+01;9.197769e+00;-1.553930e+01;-1.727643e+01;-2.867112e+00;2.823652e+00;-8.152085e+00;-3.659513e+00;-1.488847e+01;-5.585091e+00
11;0.110000;4.100297e+00;1.144237e+01;-3.225096e+00;-4.409300e+00;-8.808780e+00;4.590646e+00;-1.279138e+01;-1.341002e+01;-8.101778e+00;2.522673e+00;-1.262303e+01;-1.089434e+01;-1.371374e+01;-4.543587e+00
12;0.120000;8.140554e-01;1.612493e+01;-1.099712e+00;-5.286234e+00;-7.590159e+00;-1.702021e+00;-9.530162e+00;-7.500785e+00;-1.171289e+01;3.251816e+00;-1.151624e+01;-1.279533e+01;-8.000701e+00;-3.285919e+00
13;0.130000;-2.053456e+00;1.830764e+01;3.729691e+00;-3.881622e+00;-7.974150e+00;-3.370142e+00;-7.801978e+00;-5.014449e+00;-1.039258e+01;4.285690e+00;-1.003085e+01;-1.025174e+01;-4.830114e+00;-3.119026e+00
14;0.140000;-3.648110e+00;1.955596e+01;5.276074e+00;-1.617142e+00;-6.092457e+00;-9.857883e-01;-4.719262e+00;-3.785290e+00;-1.003389e+01;5.884152e+00;-1.022258e+01;-5.995929e+00;-5.841157e+00;-2.833488e+00
15;0.150000;-5.641557e+00;2.038990e+01;3.774754e+00;-1.333113e+00;-8.489519e+00;-3.262810e+00;-2.626867e+00;-4.603519e+00;-1.509700e+01;4.985918e+00;-1.319372e+01;-4.962681e+00;-7.124646e+00;-3.240982e+00
16;0.160000;-6.756377e+00;1.899990e+01;2.701332e+00;1.471901e-01;-9.026819e+00;-1.579954e+00;-1.225329e+00;-3.206946e+00;-1.568588e+01;4.397895e+00;-1.387219e+01;-2.302533e+00;-9.920605e+00;-3.991974e+00
17;0.170000;-5.947728e+00;1.848650e+01;6.470158e+00;5.455542e-01;-8.981084e+00;3.250469e+00;-4.675450e+00;-3.681850e+00;-8.694732e+00;7.933912e-01;-1.265715e+01;2.168551e+00;-1.344777e+01;-4.154663e+00
18;0.180000;-5.273238e+00;1.674796e+01;7.860085e+00;-3.317554e+00;-1.183663e+01;3.463491e+00;-1.058875e+01;-6.505033e+00;-4.307131e+00;-6.045829e+00;-1.541007e+01;1.905842e+00;-1.398572e+01;-4.833778e+00
19;0.190000;-3.333802e+00;1.509526e+01;8.245925e+00;-3.701529e+00;-1.005555e+01;4.104798e+00;-1.118466e+01;-7.492621e+00;-1.948692e+00;-6.630666e+00;-1.376589e+01;-1.641884e+00;-1.437920e+01;-5.984207e+00
20;0.200000;-2.343588e-01;1.462739e+01;9.453921e+00;1.477709e-01;-8.377571e+00;4.618162e+00;-9.233413e+00;-6.615911e+00;-1.339023e+00;-6.266851e-01;-9.192415e+00;-5.851721e+00;-1.185478e+01;-8.362228e+00
21;0.210000;1.736193e+00;1.518909e+01;8.799212e+00;4.874744e-01;-7.583105e+00;3.358297e+00;-9.109376e+00;-8.326385e+00;-4.393621e+00;2.767109e+00;-8.798125e+00;-8.110158e+00;-9.617797e+00;-9.952110e+00
22;0.220000;3.374969e+00;1.538041e+01;7.320199e+00;7.949638e-01;-6.223191e+00;3.399548e+00;-7.512528e+00;-7.519253e+00;-6.168859e+00;1.420187e+00;-7.057121e+00;-5.772516e+00;-8.411997e+00;-1.021194e+01
23;0.230000;3.636817e+00;1.101695e+01;5.803432e+00;3.920856e+00;-9.627392e+00;-9.088192e-01;-4.480607e+00;-9.741802e+00;-1.060194e+01;2.940357e+00;-6.335365e+00;-7.905964e+00;-9.796790e+00;-8.934166e+00
24;0.240000;5.103000e+00;1.032816e+01;5.738334e+00;4.689534e+00;-9.533424e+00;-2.220827e+00;1.003422e+00;-8.127348e+00;-1.145623e+01;5.419818e+00;-4.271781e+00;-8.417222e+00;-9.995762e+00;-5.217819e+00
25;0.250000;7.128617e+00;6.900654e+00;-1.430064e+00;-1.384567e+00;-1.154396e+01;-2.817303e+00;-4.087133e-01;-1.152944e+01;-1.460152e+01;3.870403e+00;-2.473714e+00;-3.922090e+00;-7.370407e+00;-2.743057e+00
26;0.260000;8.828229e+00;3.887111e+00;-7.276579e+00;-8.035597e+00;-9.865305e+00;-2.118711e+00;-4.939965e+00;-1.146189e+01;-1.611082e+01;4.313606e+00;8.499070e-01;-8.301868e-01;-4.362705e+00;-2.159004e+00
