frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;6.093642e+00;4.496207e-01;-9.350866e+00;-1.437679e+01;-1.760340e+01;8.501873e+00;2.977480e+00;3.708101e+00;8.079737e+00;-1.491534e+01;9.232721e+00;3.900147e+00;1.277823e+00;-5.567551e-01
1;0.010000;3.966033e+00;-1.071521e+00;-6.494967e+00;-1.259076e+01;-1.712402e+01;8.165213e+00;1.734827e+00;-1.711044e-01;5.756821e+00;-1.597674e+01;6.264071e+00;-1.428566e+00;3.865548e+00;5.738602e-01
2;0.020000;2.475692e+00;-1.585259e+00;-2.917641e+00;-9.303166e+00;-1.570540e+01;6.974974e+00;1.838112e-01;-4.725079e+00;3.309616e+00;-1.464907e+01;5.721047e+00;-6.638337e+00;6.925905e+00;9.391174e-01
3;0.030000;2.733513e+00;-2.940439e+00;-2.150393e+00;-4.254244e+00;-1.063565e+01;8.151392e+00;-5.055065e-01;-5.064925e+00;3.565022e+00;-1.275150e+01;5.835734e+00;-7.720763e+00;9.742756e+00;8.133011e-01
4;0.040000;2.868253e+00;-5.184602e+00;-5.724286e+00;-4.404513e+00;-9.479695e+00;8.204752e+00;-2.638500e+00;-4.788485e+00;2.075359e+00;-1.230276e+01;4.541549e+00;-6.553387e+00;1.108271e+01;-1.286850e-01
5;0.050000;2.998455e+00;-3.030849e+00;-5.477003e+00;-5.947013e+00;-7.542321e+00;8.567820e+00;-4.715225e+00;-5.379946e+00;6.393504e-01;-1.200545e+01;3.165005e+00;-5.599764e+00;1.030976e+01;-2.776718e-01
6;0.060000;3.135575e+00;-1.934317e+00;-2.856280e+00;-5.953984e+00;-7.085668e+00;8.384346e+00;-3.107468e+00;-5.231628e+00;2.484031e-01;-1.192537e+01;3.450105e+00;-6.099599e+00;6.339885e+00;6.818695e-01
7;0.070000;4.033545e+00;-2.330687e+00;-4.211598e+00;-5.257765e+00;-7.672193e+00;5.409084e+00;-1.769670e+00;-4.639882e+00;8.714845e-01;-1.149491e+01;2.034200e+00;-4.785102e+00;4.259393e+00;1.512466e+00
8;0.080000;5.762003e+00;-1.182727e+00;-5.949512e+00;-6.327077e+00;-7.454864e+00;6.183919e+00;8.735638e-01;-3.260603e+00;4.762981e-01;-1.449641e+01;2.952425e+00;-3.483643e+00;6.185546e+00;2.012947e+00
9;0.090000;4.399844e+00;-1.497777e+00;-7.603203e+00;-1.089583e+01;-9.799994e+00;6.356562e+00;4.577084e-01;-3.911222e+00;3.290771e+00;-1.968986e+01;2.789868e+00;-5.017839e+00;7.635005e+00;2.040459e+00
10;0.100000;3.032903e+00;-1.975040e+00;-7.815832e+00;-1.054411e+01;-9.230817e+00;7.658539e+00;3.648033e-01;-2.771497e-01;1.008252e+01;-1.988862e+01;3.097436e+00;-6.706699e+00;6.005731e+00;3.772400e+00
11;0.110000;2.875199e+00;-3.250066e+00;-8.942274e+00;-9.136420e+00;-9.223937e+00;7.498659e+00;-2.727180e+00;1.475345e+00;1.021078e+01;-2.209857e+01;3.371047e+00;-1.003747e+01;-1.135162e+00;5.308090e+00
12;0.120000;3.335595e+00;-4.258431e+00;-1.095289e+01;-7.237315e+00;-8.017121e+00;6.246181e+00;-6.684481e+00;1.219714e+00;7.818918e+00;-2.238092e+01;4.624778e+00;-1.215937e+01;-8.618454e+00;5.566139e+00
