frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;9.432755e+00;9.178300e+00;4.993677e+00;-9.437449e+00;9.941597e-01;1.419323e+01;-6.654720e+00;4.530171e+00;1.767616e+01;-9.810816e+00;7.832166e-01;1.432553e+00;-1.000395e+01;-1.380343e+01
1;0.010000;8.332060e+00;9.956971e+00;2.526529e+00;-1.652748e+01;-5.781853e+00;1.747827e+01;-8.320278e+00;-1.153633e+00;1.480334e+01;-1.200356e+01;4.492588e-01;-2.215599e+00;-1.227780e+01;-6.944160e+00
2;0.020000;9.448290e+00;9.326314e+00;-9.464002e-02;-1.687955e+01;-5.516634e+00;1.960999e+01;-1.109639e+01;-3.422823e-01;1.352655e+01;-1.131095e+01;-2.467364e+00;-4.229842e+00;-1.260745e+01;-2.733521e+00
3;0.030000;9.618441e+00;7.202746e+00;-1.924283e+00;-1.803723e+01;-7.005474e+00;1.836967e+01;-1.453446e+01;-1.654905e+00;9.705916e+00;-1.249808e+01;-7.501316e+00;-5.859166e+00;-1.299855e+01;-1.519859e+00
4;0.040000;9.276200e+00;6.922169e+00;6.515918e-01;-1.811309e+01;-6.162727e+00;1.801560e+01;-1.372526e+01;-2.947303e+00;9.440486e+00;-1.145624e+01;-4.850177e+00;-5.167871e+00;-7.006892e+00;-7.567673e-01
5;0.050000;7.795007e+00;7.349843e+00;1.459141e+00;-1.800705e+01;-4.826557e+00;1.871101e+01;-1.294845e+01;-4.660912e+00;1.063558e+01;-1.188530e+01;-3.706756e+00;-1.921990e+00;6.380291e-01;-7.046890e-01
6;0.060000;6.563380e+00;6.820863e+00;-1.742176e+00;-1.865719e+01;-5.777733e+00;1.530963e+01;-1.237955e+01;-5.866439e+00;1.316730e+01;-1.246590e+01;-5.094625e+00;1.199896e+00;3.740781e+00;-9.035721e-01
7;0.070000;6.955722e+00;7.437406e+00;-1.652588e+00;-1.556537e+01;-5.596025e+00;1.396232e+01;-8.658987e+00;-2.795827e+00;1.528760e+01;-1.321297e+01;-4.266364e+00;4.087579e+00;7.220059e+00;-4.279709e-01
8;0.080000;5.930652e+00;4.463480e+00;-6.216735e+00;-1.783333e+01;-1.094060e+01;6.765969e+00;-1.050993e+01;-3.177890e+00;1.424620e+01;-1.344184e+01;-1.308879e+00;4.236558e+00;7.709727e+00;-5.146027e-02
9;0.090000;8.932512e+00;3.663659e+00;-8.682817e+00;-1.627390e+01;-8.667158e+00;6.121032e+00;-4.861134e+00;1.441412e-01;1.736355e+01;-6.555755e+00;7.352238e+00;7.410442e+00;6.459875e+00;1.782707e+00
10;0.100000;9.285191e+00;6.636837e-01;-1.055799e+01;-1.547293e+01;-7.849625e+00;4.553373e+00;-2.486135e+00;1.260900e-02;1.724544e+01;-2.115502e+00;1.021564e+01;6.817168e+00;4.250815e+00;2.903648e+00
11;0.110000;8.330500e+00;-7.966573e-01;-8.453928e+00;-1.275532e+01;-7.068834e+00;3.561816e+00;-4.549217e-02;-2.076807e+00;1.676762e+01;4.164200e-01;1.112106e+01;5.961412e+00;2.156025e+00;3.072845e+00
12;0.120000;7.185924e+00;-1.268302e+00;-5.076253e+00;-9.544664e+00;-8.091919e+00;2.893336e+00;1.372833e-01;-5.095304e+00;1.720050e+01;3.049316e+00;1.299278e+01;8.675084e+00;1.550190e+00;1.728928e+00
13;0.130000;5.808417e+00;-2.358621e+00;-6.905602e+00;-9.995512e+00;-1.386802e+01;2.317241e+00;3.093010e+00;-6.607073e+00;1.859012e+01;1.665560e+00;1.191265e+01;1.181215e+01;2.779798e+00;2.534180e-01
14;0.140000;6.230720e+00;-6.911075e-01;-4.098886e+00;-7.421593e+00;-1.266493e+01;3.787135e+00;7.119812e+00;-4.755571e+00;2.077222e+01;2.866003e+00;1.021311e+01;1.554046e+01;4.222393e+00;-1.061249e-01
15;0.150000;4.534350e+00;-3.126294e+00;-4.516749e+00;-1.049850e+01;-1.421744e+01;1.689339e-01;4.084373e+00;-4.778534e+00;2.110495e+01;4.460789e+00;8.999834e+00;1.652557e+01;3.276883e+00;-1.183662e+00
16;0.160000;5.510277e+00;-2.774747e+00;1.138237e-01;-7.389858e+00;-1.019545e+01;2.556572e-01;2.909548e+00;-2.846381e+00;1.988223e+01;7.214297e+00;9.985396e+00;1.791682e+01;2.408825e+00;-7.515335e-01
17;0.170000;4.218007e+00;-5.056787e+00;3.835225e-01;-6.929209e+00;-7.879984e+00;-1.046085e-01;2.999347e+00;-2.455721e+00;1.788814e+01;6.204041e+00;1.030459e+01;1.884135e+01;3.097495e+00;-9.036713e-01
18;0.180000;2.136174e+00;-6.151208e+00;-7.292078e-01;-6.089576e+00;-8.043076e+00;-2.929376e+00;3.326324e+00;-2.459747e+00;1.908132e+01;5.079123e+00;1.134176e+01;2.096881e+01;1.944038e+00;-1.117912e+00
19;0.190000;9.965019e-01;-5.818036e+00;-1.385328e+00;-5.651243e+00;-6.853416e+00;-3.881719e+00;4.929463e+00;1.458325e+00;2.324476e+01;6.181656e+00;1.301427e+01;2.122659e+01;-6.327667e-01;-1.126427e+00
20;0.200000;-1.603641e+00;-7.802968e+00;-4.030225e+00;-9.527821e+00;-6.537163e+00;-7.215665e+00;3.256916e+00;1.677184e+00;2.325343e+01;4.628640e+00;1.669351e+01;2.094498e+01;-9.354248e-01;-1.230331e+00
21;0.210000;2.693634e-01;-3.983112e+00;-2.642698e-01;-6.519337e+00;-1.123585e+00;-3.188165e+00;4.134989e+00;2.158198e+00;2.259738e+01;3.989785e+00;1.972313e+01;2.065149e+01;5.535719e-01;8.306885e-02
