frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-5.028159e+00;6.461724e-01;-1.424871e+01;3.301474e+00;-1.141931e+00;-2.966686e+00;-1.311640e+00;-2.665266e+00;-3.035681e+00;-2.371861e+00;-2.493706e+00;-2.713064e+00;1.802950e+00;1.738914e+00
1;0.100000;-3.795628e+00;4.646183e+00;-1.186002e+01;3.705237e+00;-2.247194e+00;1.883879e+00;1.067247e+00;3.504658e-02;6.433867e+00;-1.355073e+00;-3.657857e+00;-9.599762e-01;4.973931e+00;2.317963e+00
2;0.200000;-1.368186e+00;5.255868e+00;-8.455486e+00;3.750425e+00;1.349783e-01;6.951315e+00;1.064329e+00;7.605258e-01;9.766376e+00;-1.274523e+00;-2.602473e+00;-6.356721e-01;5.700320e+00;8.926773e-01
3;0.300000;2.173892e+00;1.340252e-01;-6.416927e+00;3.197405e+00;2.671437e+00;9.124536e+00;1.265705e+00;1.183548e+00;3.150123e+00;1.740072e+00;3.541002e+00;4.804411e-01;-3.468626e-01;-1.143494e+00
4;0.400000;3.708344e+00;-7.155498e+00;-6.828583e+00;2.744045e+00;4.413953e+00;4.498169e+00;-2.022848e+00;5.070512e+00;2.129193e+00;4.846807e-01;3.579953e+00;1.039919e+00;-2.577731e+00;-1.461578e+00
5;0.500000;-4.070644e-01;-5.406658e+00;-5.950066e+00;1.413547e+00;1.088178e+01;-2.482775e+00;1.001342e-01;5.734273e+00;4.156494e+00;2.331161e-02;2.932552e+00;9.562464e-01;-1.367239e+00;-1.739090e+00
6;0.600000;-4.620853e+00;1.417937e+00;2.716829e+00;-1.931809e+00;4.942997e+00;-6.794442e+00;-2.478334e+00;-8.969019e-01;3.884046e+00;3.276120e+00;-1.351220e+00;1.014578e+00;1.398656e+00;-1.474121e+00
7;0.700000;-3.461780e+00;9.206092e-01;7.344566e+00;-8.960564e+00;-6.741477e+00;-1.028938e+01;1.508464e+00;-4.141830e+00;-2.594142e+00;1.189785e+00;-1.832805e+00;2.819943e-01;-3.585369e+00;2.028313e+00
8;0.800000;-1.501560e+00;-2.727513e+00;8.240029e+00;-9.144682e+00;-7.998751e+00;-1.076392e+01;2.670816e+00;-3.052109e+00;-3.559352e+00;-8.111095e-02;-1.504764e+00;1.092223e+00;-6.311859e+00;3.414474e+00
9;0.900000;8.949652e-01;-3.806545e+00;1.068264e+01;-5.804805e+00;-6.459088e+00;-7.078175e+00;5.672666e+00;1.009747e+00;-1.755594e+00;1.358590e-01;3.511369e-01;2.312972e+00;-6.017706e+00;6.917343e-01
10;1.000000;4.033415e+00;-1.641840e-02;1.308979e+01;8.424115e-01;-2.727322e+00;1.018769e+00;3.371130e+00;2.834199e+00;-6.622826e+00;-1.164752e+00;-1.192923e+00;-1.245318e+00;-9.863801e-01;-4.681374e+00
11;1.100000;4.414284e+00;3.631927e+00;7.037324e+00;3.909784e+00;2.359687e+00;8.249631e+00;-5.631628e+00;-2.936839e+00;-6.580525e+00;-9.962654e-01;3.834231e-01;-1.727196e+00;4.222155e+00;-1.643051e+00
12;1.200000;4.958326e+00;2.459911e+00;4.648602e+00;2.977533e+00;1.910942e+00;8.649074e+00;-5.276041e+00;-2.934908e+00;-5.371981e+00;3.937569e-01;3.847682e+00;1.028609e-01;3.095133e+00;1.058746e+00
