frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;1.088223e+01;-1.570611e+01;-2.086221e+01;-7.750781e+00;5.708266e+00;3.154089e+00;-1.205430e+01;-1.795854e+00;2.497929e+00;3.251798e+00;-1.227369e+01;-4.072386e+00;-9.840472e+00;-1.503525e-01
1;0.100000;1.009641e+01;-1.766823e+01;-2.288862e+01;-7.705405e+00;8.269194e+00;-8.088112e-01;-9.931643e+00;4.780036e+00;1.468060e+00;5.443096e+00;-1.120135e+01;-3.939616e+00;-9.890688e+00;3.791985e+00
2;0.200000;7.205663e+00;-1.873765e+01;-1.678041e+01;-8.303995e+00;5.194320e+00;1.656221e+00;-8.771418e+00;4.552752e+00;2.553038e+00;8.483522e+00;-1.199509e+01;-4.707565e+00;-5.410829e+00;5.517296e+00
3;0.300000;4.026711e+00;-1.570800e+01;-8.539058e+00;-6.859880e+00;2.183905e+00;1.323865e+00;-8.448157e+00;3.344722e+00;2.528231e+00;8.935981e+00;-9.904462e+00;-5.328164e+00;-6.303101e-01;3.775505e+00
4;0.400000;1.968846e+00;-3.614472e+00;2.857985e-01;-1.407636e+00;-2.224482e+00;-2.489619e+00;-5.263099e+00;-3.871999e+00;1.660729e+00;4.762100e+00;-3.752763e+00;-3.521232e+00;2.665500e+00;9.463577e-01
5;0.500000;3.196445e+00;2.500179e+00;1.008020e+00;-2.949266e-01;-5.800034e+00;-5.301623e+00;1.449931e-01;-4.456223e+00;-4.401878e+00;5.514047e-01;1.025124e+00;2.254567e-01;1.183318e+00;-2.578735e-03
6;0.600000;4.033472e+00;-1.910996e+00;1.483606e+00;3.560991e+00;-4.604977e+00;-9.275611e+00;-3.876452e+00;-1.172511e+00;-9.440384e-01;-7.532280e-01;-1.798976e+00;9.690547e-01;2.316052e+00;-5.463943e-01
7;0.700000;3.391949e+00;-8.064353e+00;4.858926e+00;3.765774e+00;-3.560274e+00;-7.837571e+00;-9.170917e+00;-2.220740e-01;7.531433e-01;3.089301e-01;-1.053700e+00;1.705402e+00;1.893106e+00;1.610718e+00
8;0.800000;6.430883e-01;-7.363105e+00;4.243141e+00;4.197441e+00;-5.397711e+00;-6.157448e+00;-1.082645e+01;-1.878064e+00;1.235938e+00;-6.208234e-01;5.516903e-01;-1.205908e+00;3.040051e+00;2.848030e+00
9;0.900000;-5.498427e+00;-8.242655e-01;4.656935e-02;6.813884e+00;-6.926025e+00;-6.077573e+00;-8.359806e+00;-6.647525e+00;3.458619e+00;-2.382439e+00;6.865926e-01;-2.754327e+00;6.776885e-01;1.162315e+00
