frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-2.066404e+00;-5.476206e+00;-1.106199e+01;5.629559e-01;-4.825877e+00;5.153316e+00;-3.862410e-01;-5.160769e+00;1.163639e+01;6.110763e+00;-9.785069e+00;1.541162e+00;-6.459383e+00;7.400032e+00
1;0.100000;-3.477098e+00;-1.334067e+00;-1.229050e+01;1.937212e+00;-9.757223e-01;5.412541e+00;2.044445e+00;-3.992690e+00;1.107840e+01;7.391992e+00;-8.723435e+00;1.253242e+00;-6.994746e+00;5.241570e+00
2;0.200000;-1.145400e+00;4.548881e+00;-1.092420e+01;1.827075e+00;1.634682e+00;4.428391e+00;2.918103e+00;-2.822905e+00;7.477209e+00;8.146863e+00;-4.709653e+00;1.138329e+00;-6.274793e+00;8.509216e-01
3;0.300000;2.286051e+00;1.329449e+00;-4.004267e+00;-3.005617e+00;4.245503e+00;3.493998e+00;7.174492e-01;8.024717e+00;8.276567e-01;2.503426e+00;6.132359e+00;6.906033e-03;-6.733306e+00;-1.823120e+00
4;0.400000;4.518580e+00;-3.544098e+00;-5.118482e-01;-7.799892e+00;7.089570e+00;8.705788e-01;-1.350061e+00;1.025703e+01;-4.559454e+00;4.842458e-01;7.639520e+00;1.664062e-01;-6.283152e+00;-1.596245e+00
5;0.500000;5.848620e+00;-3.106468e+00;-2.165221e+00;-7.976719e+00;5.834264e+00;1.058334e+00;-2.590583e+00;6.891438e+00;-7.325201e+00;1.809698e+00;6.913574e+00;-1.335645e-02;-5.232923e+00;-1.970337e+00
6;0.600000;6.288973e+00;-1.252268e+00;-1.336390e+00;-3.752126e+00;4.659782e+00;1.130863e+00;-1.586175e+00;2.231474e+00;-6.315794e+00;2.905102e+00;5.011444e+00;-8.669114e-01;-3.538301e+00;-4.219818e+00
7;0.700000;4.591379e+00;-2.883319e-01;2.992944e+00;3.938939e+00;4.978858e+00;-1.575812e+00;-3.368068e+00;3.069857e+00;-1.401785e+00;2.702121e+00;1.893125e+00;-6.305695e-02;-1.744498e+00;-7.074959e+00
8;0.800000;2.341900e-01;-2.646765e+00;2.467108e+00;7.143256e+00;7.841442e+00;3.586292e-01;2.754577e+00;1.296855e+01;3.003367e+00;3.791664e+00;-2.068951e+00;2.316384e+00;-1.989232e+00;-6.600998e+00
9;0.900000;2.883673e+00;-3.951967e+00;-2.743017e+00;3.083968e+00;3.447456e+00;-1.280425e+00;7.033758e-01;1.192612e+01;3.493447e+00;8.219314e+00;-5.632347e+00;-2.901208e-01;-2.715627e+00;-2.673409e+00
10;1.000000;3.317735e+00;-4.004801e+00;-4.165620e+00;6.245270e-01;1.829665e+00;-2.400428e+00;9.795675e-01;5.960557e+00;1.736636e+00;9.504287e+00;-9.860215e+00;-4.064882e+00;-2.101149e+00;1.358749e+00
11;1.100000;1.556470e+00;-5.795314e+00;-3.145521e+00;-2.772182e+00;2.920241e+00;-2.423736e+00;2.274774e+00;3.937156e+00;3.177345e+00;7.380609e+00;-1.195211e+01;-4.333458e+00;-4.870558e-02;4.553139e+00
12;1.200000;1.228913e+00;-8.319497e+00;-2.239568e+00;-3.384848e+00;1.131698e+00;-2.968027e+00;2.805305e+00;3.926691e+00;4.388313e+00;5.501893e+00;-1.181849e+01;-4.042434e+00;6.867510e-01;5.488762e+00
13;1.300000;1.619144e+00;-9.176912e+00;-1.186219e+00;-2.059603e-01;-1.747375e+00;-1.560444e+00;3.363111e+00;3.322968e+00;5.067830e+00;2.418986e+00;-8.431258e+00;-3.461216e+00;-9.460077e-01;4.590485e+00
14;1.400000;1.195977e+00;-1.025674e+01;1.559484e+00;9.851465e-01;-3.293116e+00;5.516911e-02;8.283072e+00;2.633839e+00;2.904112e+00;-2.785018e+00;-5.708197e+00;-5.072985e-01;-5.779970e+00;3.802483e+00
15;1.500000;2.886154e+00;-1.097547e+01;3.457270e+00;-1.476295e+00;-4.704299e+00;-1.973400e+00;9.071359e+00;8.596768e-01;-1.446133e+00;-5.134567e+00;-5.381628e+00;2.216021e+00;-6.078028e+00;3.258774e+00
16;1.600000;3.170887e+00;-7.607400e+00;3.965220e+00;-9.956284e-01;-7.291118e+00;8.274574e-01;2.313427e+00;-7.016993e-02;-6.895761e-01;-7.308795e+00;-9.534378e-01;-1.096183e+00;-1.942051e+00;2.050880e+00
17;1.700000;2.667707e+00;-2.546906e+00;5.958369e+00;-2.340172e+00;-7.840432e+00;7.541567e+00;-6.285622e+00;-4.953785e-01;3.109883e+00;-3.413059e+00;-1.674877e+00;-2.862486e+00;2.980365e+00;1.143394e+00
18;1.800000;1.808075e+00;1.159935e+00;3.121393e+00;1.550814e+00;-1.099306e+01;7.890355e+00;-6.196235e+00;2.521911e+00;4.162222e+00;-1.904383e+00;-1.167090e+00;1.006132e+00;4.506669e+00;3.168869e-01
19;1.900000;4.322548e-01;5.901756e+00;-3.713449e+00;8.547934e+00;-1.225419e+01;2.915362e+00;1.225985e+00;2.590988e+00;4.557551e+00;-5.250735e-01;1.235309e+00;4.750490e+00;4.352726e+00;-1.462120e+00
20;2.000000;-2.562202e+00;9.510899e+00;-8.145838e-01;6.227626e+00;-4.657281e+00;8.436470e-01;3.039240e+00;2.438724e+00;-1.915624e+00;2.567575e+00;2.201151e+00;2.174480e+00;3.693805e+00;-2.839508e+00
21;2.100000;-6.310853e+00;1.118003e+01;7.127424e+00;-1.811255e+00;7.209629e+00;-1.390865e+00;2.390018e+00;-3.341469e+00;-6.407707e+00;8.399849e-01;1.638784e+00;-3.301365e-01;3.317317e+00;-1.989578e+00
22;2.200000;-5.582143e+00;9.687198e+00;4.822758e+00;-7.178791e+00;7.926413e+00;-2.597997e+00;-1.431643e+00;-1.124020e+01;-1.010617e+01;-3.491974e+00;-2.361611e+00;-2.133409e+00;3.755338e+00;9.832458e-01
23;2.300000;-3.206044e+00;8.047310e+00;1.350694e+00;-7.254156e+00;5.218483e+00;-3.499930e+00;-5.179436e+00;-1.582871e+01;-1.038294e+01;-3.644422e+00;-3.331243e+00;-8.536801e-01;5.299713e+00;2.131744e+00
24;2.400000;-2.970511e+00;8.267173e+00;-1.020240e+00;-1.982005e+00;-1.900531e+00;-5.438535e+00;-5.764847e+00;-1.791320e+01;-1.003630e+01;-4.253379e+00;2.812696e+00;-3.745701e-01;4.640293e+00;1.629585e+00
25;2.500000;-5.769929e+00;8.280540e+00;2.914299e+00;3.211212e-01;-4.580197e+00;-7.077709e+00;-4.458409e+00;-1.253674e+01;-9.792995e+00;-5.821321e+00;1.165730e+01;9.400303e-01;6.326739e+00;2.950821e-01
26;2.600000;-7.450678e+00;6.954614e+00;7.426092e+00;3.355588e+00;-3.601084e+00;-4.335545e+00;-5.314388e-01;-5.720138e+00;-4.120285e+00;-8.258365e+00;1.771553e+01;3.824887e+00;1.144085e+01;-1.920235e+00
27;2.700000;-6.289728e+00;4.575994e+00;6.292601e+00;5.763937e+00;4.366007e-01;-2.185666e+00;-1.575451e-01;-3.716264e+00;1.388163e+00;-1.147494e+01;1.717013e+01;2.137624e+00;1.045913e+01;-4.669540e+00
28;2.800000;2.962112e-01;8.394263e-01;7.866975e+00;6.065500e+00;2.259960e+00;-1.271672e+00;-5.597482e+00;-7.230611e-01;6.491456e+00;-1.426325e+01;1.153864e+01;1.821096e+00;3.402162e+00;-6.256256e+00
