frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;6.571205e+00;-9.458253e+00;-1.439133e-01;-7.457761e+00;1.626454e+01;-4.357711e+00;-6.775870e+00;1.374515e+00;5.372314e-01;-4.286873e+00;-2.806854e+00;-4.404127e+00;-7.091058e-01;2.693466e+00
1;0.100000;6.876061e+00;-1.221625e+01;-3.288881e+00;-4.676586e+00;1.273360e+01;-6.970347e+00;-1.543509e+00;3.307719e-01;3.943295e+00;-4.367385e+00;1.510305e-01;-4.158241e+00;-4.131776e-01;4.670792e+00
2;0.200000;5.920071e+00;-1.465972e+01;-2.222578e+00;-5.013312e+00;8.014710e+00;-8.167547e+00;-3.705382e-02;-3.318481e-01;4.030772e+00;-3.837119e+00;9.118497e-01;-3.562238e+00;-5.340275e-01;3.286003e+00
3;0.300000;4.066856e+00;-1.295960e+01;2.757692e+00;-4.687199e+00;2.691235e+00;-7.687092e+00;-7.954724e-01;3.028138e+00;-1.785838e+00;-1.448629e+00;-1.124335e+00;-3.371621e+00;-3.986842e+00;-3.220215e-01
4;0.400000;3.049977e+00;-5.965814e+00;5.631998e+00;-2.421899e+00;-4.285946e+00;-5.507681e+00;-4.796188e-01;3.663181e+00;-3.858214e+00;2.940848e+00;2.527285e-02;1.700454e-01;-4.324722e+00;-2.054756e+00
5;0.500000;1.943895e+00;-1.660039e+00;7.164134e+00;-1.401073e+00;-3.816576e+00;-3.571467e+00;-3.570652e-01;-1.615550e+00;-4.380846e+00;7.372874e+00;1.587481e+00;7.607722e-01;-1.657608e+00;-8.268967e-01
6;0.600000;1.840240e+00;-2.886226e+00;7.251053e+00;-1.965497e+00;-3.794743e+00;-4.747219e+00;1.380074e+00;-1.302453e+00;-4.393779e+00;8.880438e+00;2.327710e+00;2.917793e+00;-1.007617e+00;2.006897e+00
7;0.700000;-3.730087e-01;-2.400590e+00;2.761939e+00;2.366300e-01;-7.343357e+00;-5.024801e+00;7.456602e-01;1.284257e+00;-2.492490e+00;7.249148e+00;3.288623e+00;3.855927e+00;1.889723e-01;2.888916e+00
8;0.800000;-4.116818e+00;-2.300839e-01;-3.975499e+00;2.797790e+00;-8.900417e+00;-6.950421e+00;6.700239e-01;1.877316e+00;1.167953e+00;2.862297e+00;3.490287e+00;3.472696e+00;-4.549890e-01;1.388016e-01
9;0.900000;-6.468543e+00;4.993939e+00;-2.407146e+00;4.883444e+00;-3.911270e+00;-4.809168e+00;-1.310091e+00;-3.906989e-01;2.977346e+00;-1.024543e+00;-8.534293e-01;3.089374e+00;4.522486e-01;-4.542397e+00
10;1.000000;-8.947448e+00;1.009783e+01;3.060490e+00;6.056952e+00;-4.687290e+00;1.884239e+00;-6.175331e+00;-8.705868e+00;-9.119191e-01;2.917894e+00;-1.889639e+00;1.519494e-01;1.996161e+00;-7.810371e+00
11;1.100000;-9.677756e+00;1.037168e+01;-7.227574e+00;8.485125e+00;-1.921253e+00;5.357171e+00;3.307986e+00;-1.651161e+00;8.263445e-01;-1.676051e+00;-2.330332e+00;-2.350891e+00;-2.358288e+00;-6.300858e+00
12;1.200000;-5.411439e+00;6.346588e+00;-1.173563e+01;6.186669e+00;-2.770645e+00;6.491355e+00;7.790227e+00;5.722858e+00;1.198274e+00;-4.567369e+00;1.731395e+00;-1.637186e+00;-3.352199e+00;-1.132515e+00
13;1.300000;-2.221351e+00;1.260301e+00;-9.149077e+00;2.404225e+00;-5.128693e+00;7.316337e+00;6.754302e+00;6.082913e+00;1.214798e+00;-4.482213e+00;2.743256e+00;-2.034799e+00;-2.396708e+00;1.896248e+00
14;1.400000;2.070189e-01;1.149718e+00;-2.711133e+00;7.815533e-01;2.957535e-02;5.733756e+00;1.122933e+01;4.853221e+00;3.530426e+00;-2.824495e+00;2.464558e+00;-5.786848e-01;-2.399314e+00;2.212250e+00
15;1.500000;7.926388e-01;4.546460e+00;1.378345e+00;3.974187e+00;6.330596e+00;3.347589e+00;7.936764e+00;5.342951e-01;4.254199e+00;-8.671718e-01;2.032777e+00;1.988230e-01;-1.450690e+00;2.852745e+00
16;1.600000;2.512630e+00;1.525290e+00;3.697734e-01;3.453563e+00;1.050792e+01;4.500771e+00;3.620599e-01;-2.530323e+00;3.279035e+00;-7.912533e-01;3.364986e+00;1.405614e+00;-9.480520e-01;3.568520e+00
17;1.700000;4.551733e+00;-5.658772e+00;9.022851e-01;-2.302704e+00;8.610718e+00;1.421988e+00;-3.983823e+00;-2.746916e-01;-9.191408e-01;-6.998360e-01;3.337582e+00;2.523563e+00;-1.352175e+00;2.526756e+00
18;1.800000;3.954684e+00;-7.191517e+00;3.075716e+00;-2.545388e+00;7.138459e+00;-2.299522e+00;-1.726511e+00;4.980716e+00;-1.029153e+00;-5.630605e-01;1.681418e-01;2.876460e+00;-2.774140e+00;2.283493e+00
19;1.900000;1.564447e+00;1.566510e-01;2.652610e+00;5.935195e+00;1.519384e+00;3.348963e+00;-6.805426e-01;8.092435e+00;1.531521e+00;3.077102e-01;1.139871e+00;1.077156e+00;4.765849e-01;3.721375e+00
20;2.000000;-2.266400e+00;7.227064e+00;2.234092e+00;9.305626e+00;-3.348623e+00;5.187114e+00;8.329262e-01;1.866720e+00;3.862900e+00;2.392885e+00;2.292618e+00;2.932463e-01;3.728372e-01;3.551262e+00
21;2.100000;-6.600591e+00;1.173316e+01;2.343521e+00;9.475228e+00;-5.677765e+00;4.043525e+00;6.304537e-01;-4.420303e+00;3.740354e+00;4.504372e+00;3.270962e+00;-6.258664e-01;-5.533210e-01;4.476089e-01
22;2.200000;-8.450387e+00;1.213095e+01;-3.412517e+00;4.333276e+00;-6.851639e+00;3.886372e+00;3.513849e-01;-7.588684e+00;1.266615e+00;-1.987001e+00;-2.363907e+00;3.967819e-01;3.836959e+00;-4.218460e+00
