frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-2.989483e-02;-6.583074e+00;2.246019e+00;2.838804e+00;2.989593e+00;-4.198729e+00;3.032279e+00;3.630159e+00;-3.170666e+00;-2.265287e+00;-4.459266e+00;3.641698e+00;-5.401811e+00;2.424194e+00
1;0.100000;3.287153e-01;-4.199970e+00;3.576565e+00;2.444010e+00;7.349935e-01;-2.497305e+00;7.074099e-01;6.453905e-01;-5.359051e+00;-1.727651e+00;-4.457498e+00;8.148593e-02;-4.578701e+00;5.437927e-01
2;0.200000;3.527864e+00;-4.055137e+00;-7.035168e-01;3.300261e-01;-1.704973e+00;3.122744e+00;-5.845985e-01;-3.414985e+00;-6.221326e+00;2.775307e+00;-4.767076e+00;-4.262212e+00;-2.035822e+00;-2.703903e+00
3;0.300000;6.406123e+00;-1.879293e+00;-2.631143e-01;-4.350729e-01;-1.831709e+00;9.517920e+00;-2.757292e-01;-5.707004e+00;-6.614823e-01;3.648503e+00;-4.192543e+00;-7.307863e-01;-5.751290e-01;-3.315887e+00
4;0.400000;3.327210e+00;1.911451e-01;3.403692e+00;-1.223326e+00;3.387310e+00;5.397541e+00;-9.695740e-01;-2.632575e+00;2.480807e+00;1.162881e+00;-4.509895e-01;5.298970e-01;-1.307083e+00;-1.374596e+00
5;0.500000;-6.730289e-01;2.656898e+00;3.043228e+00;8.892325e-01;4.375889e+00;2.188766e+00;-1.275553e+00;-1.059611e+00;3.059284e+00;-6.489344e-01;1.728582e+00;8.370268e-02;-9.661374e-01;-1.182648e+00
6;0.600000;-2.929322e+00;3.516371e+00;2.089944e+00;5.132346e-01;-1.410415e+00;-2.922066e+00;7.188330e-01;5.941582e-02;6.645136e-01;-3.248499e+00;1.756361e+00;5.960962e-01;-8.004994e-01;-1.722282e+00
7;0.700000;-2.333428e+00;1.246519e+00;2.215363e+00;-6.413001e-02;-6.423040e+00;-6.947136e+00;9.487772e-01;2.872364e+00;2.754698e+00;-3.450879e+00;9.939389e-01;1.161812e+00;6.289291e-01;-1.270111e+00
8;0.800000;-7.599707e-01;-2.011271e+00;-1.456137e-01;-1.976768e+00;-4.767715e+00;-3.003405e+00;-1.308658e+00;3.810534e+00;1.580302e+00;-3.907704e+00;1.500963e+00;1.845743e+00;2.137531e+00;-1.099159e+00
9;0.900000;2.056351e+00;-2.919800e+00;-6.687481e+00;-6.542853e+00;-3.837433e-01;4.258144e+00;-3.043361e+00;2.501611e+00;-7.052102e-01;-2.730179e+00;1.078142e+00;-3.191553e-01;1.634380e+00;-4.033813e-01
10;1.000000;4.795502e+00;-2.382753e+00;-9.594731e+00;-7.393979e+00;1.729689e+00;6.454504e+00;-4.434059e+00;-1.888324e+00;1.411395e-01;-1.659002e-01;-2.035458e-01;-4.139357e+00;1.365657e+00;-8.018265e-01
11;1.100000;2.234268e-02;3.582976e+00;-1.049510e+01;-2.856386e+00;5.344176e+00;9.993076e-01;-4.789476e-01;-5.224257e+00;-8.520889e-02;-1.273589e-01;-1.923462e+00;-4.150139e+00;5.835757e-01;-3.601151e-01
12;1.200000;-5.913261e+00;7.496765e+00;-3.122365e+00;9.052352e-01;2.868445e+00;-9.839251e+00;-3.583523e+00;-1.309484e+00;1.081353e+00;-1.619637e+00;-1.988561e+00;-1.369440e+00;2.171296e+00;2.039108e-01
13;1.300000;-5.470070e+00;5.436200e+00;2.420356e+00;3.638241e+00;-1.326450e+00;-1.097543e+01;-8.289165e-01;1.089815e+00;3.892614e+00;2.505599e+00;2.039349e-01;-1.438966e+00;3.668486e+00;2.487633e+00
14;1.400000;-2.747568e+00;1.197134e+00;7.157226e+00;5.773077e+00;-1.771205e+00;-2.717018e-01;3.902717e+00;2.229045e+00;1.769732e+00;4.306240e+00;5.824474e+00;2.896342e+00;2.380579e+00;4.093712e+00
15;1.500000;3.924170e-01;-1.292708e+00;4.859524e+00;3.160653e+00;-1.810835e+00;8.716101e+00;7.472911e+00;4.397920e+00;-1.221497e+00;5.493498e+00;9.356536e+00;5.573277e+00;1.094756e+00;4.480698e+00
