frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-2.945075e+00;-9.322699e+00;-6.225658e+00;8.603073e+00;-4.443332e+00;1.066584e+01;2.224313e+00;1.332236e+00;1.170171e+01;-2.595669e-02;-2.468935e+00;-7.505982e+00;2.130674e+00;9.707169e+00
1;0.100000;-5.306207e+00;-5.248334e+00;-8.310168e+00;7.987784e+00;-2.269491e+00;6.997142e+00;3.615209e+00;-2.336299e+00;9.517405e+00;-1.003096e+00;-3.970773e+00;-7.227234e+00;3.538820e+00;8.282143e+00
2;0.200000;-4.440308e+00;3.272686e+00;-8.459042e+00;6.196348e+00;4.699987e-01;3.509415e+00;5.743510e+00;-4.051550e+00;4.613218e+00;7.153683e-01;-3.870899e+00;-5.274052e+00;7.481549e+00;3.783569e+00
3;0.300000;-3.043222e-02;3.792158e+00;-4.897197e+00;-9.638653e-01;3.084352e-01;7.947214e+00;3.537436e+00;-1.968081e+00;4.669170e+00;7.590724e-01;3.244384e+00;-1.561864e+00;4.554780e+00;1.156509e+00
4;0.400000;1.660345e+00;-7.362438e-01;-2.009595e+00;-7.578818e+00;3.924958e+00;1.100112e+01;-3.531742e+00;3.264815e+00;-2.927809e-01;4.554301e+00;6.450580e+00;2.865729e+00;7.782602e-01;2.362938e+00
5;0.500000;1.447993e+00;-1.649656e+00;-3.932457e+00;-1.081833e+01;6.353252e+00;1.239758e+01;-5.290250e+00;4.453961e+00;-3.811474e+00;6.658804e+00;6.671285e+00;3.355706e+00;8.114896e-01;3.134659e+00
6;0.600000;2.380139e+00;-3.065511e+00;-3.811138e+00;-1.155408e+01;7.892676e+00;1.145007e+01;-7.913533e+00;5.451474e+00;-7.014196e+00;7.814992e+00;5.385683e+00;1.355376e+00;1.521803e+00;1.430077e+00
7;0.700000;3.828636e+00;-4.355322e+00;-9.604368e-01;-8.672086e+00;8.329092e+00;7.848546e+00;-9.651210e+00;4.500911e+00;-7.153801e+00;7.665834e+00;5.318146e+00;-1.344473e+00;2.786172e+00;-1.855011e+00
8;0.800000;4.435385e+00;-3.352424e+00;1.899080e-01;-4.691276e+00;9.550318e+00;3.282756e+00;-9.153538e-01;1.350471e+00;-7.488247e-01;5.187408e+00;5.879716e+00;2.120715e+00;4.222838e+00;-5.359268e+00
9;0.900000;2.051697e+00;-1.379848e+00;-6.698294e-01;3.087950e-01;7.797789e+00;-8.025362e+00;4.402642e+00;9.022459e+00;4.162944e+00;2.174825e+00;-3.859581e+00;7.473371e+00;3.651073e+00;-3.177635e+00
10;1.000000;1.338500e+00;-7.118773e-01;2.142572e-02;2.414589e-01;5.155927e+00;-1.264800e+01;1.730211e+00;9.037329e+00;6.033769e+00;8.712994e-01;-6.889662e+00;4.781590e+00;1.360924e+00;7.002640e-01
11;1.100000;1.196033e+00;-2.271920e-01;-2.191190e+00;-9.770918e-01;6.364065e+00;-1.005719e+01;8.123455e-01;3.115691e+00;5.119771e+00;-2.562875e-01;-5.038675e+00;1.176862e+00;7.711730e-01;2.067467e+00
