frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;9.512938e+00;-1.385376e+00;6.812775e+00;-3.549242e+00;2.319813e-01;3.928586e+00;-8.395399e+00;-3.252276e+00;-7.810264e+00;9.776216e+00;-8.516253e+00;-4.101930e+00;4.092602e+00;-5.636688e+00
1;0.100000;1.184060e+01;-6.758121e+00;-7.772616e+00;-1.304935e+01;9.643541e+00;1.152988e+01;-1.269136e+00;-4.803516e+00;-3.976769e+00;7.278847e+00;-2.318230e+00;-1.173008e+01;-1.035733e+00;-3.769577e+00
2;0.200000;9.291903e+00;-1.313053e+01;-1.186560e+01;-1.682088e+01;1.183656e+01;8.091737e+00;3.894537e+00;1.255431e-01;3.431659e+00;9.116315e+00;1.901004e+00;-1.225498e+01;1.592226e+00;2.289894e+00
3;0.300000;8.029522e+00;-1.601598e+01;-1.007824e+01;-1.502409e+01;1.012643e+01;3.892447e+00;5.490645e+00;1.519753e+00;4.916457e+00;6.219375e+00;1.449138e+00;-1.031281e+01;2.933858e+00;5.119614e+00
4;0.400000;7.688847e+00;-1.527182e+01;-3.928613e+00;-1.081485e+01;6.275635e+00;-1.274312e+00;4.240007e+00;1.518644e+00;2.743069e+00;2.596702e+00;1.917973e-01;-7.920537e+00;2.514864e+00;5.129021e+00
5;0.500000;5.298821e+00;-9.985222e+00;2.564682e+00;-4.933690e+00;-1.734304e+00;-5.839369e+00;3.248532e-01;3.121148e+00;3.207808e-01;4.768066e-01;-3.814621e-01;-3.650862e+00;1.504536e+00;2.806892e+00
6;0.600000;2.005899e+00;-5.592974e+00;8.644432e+00;-2.891131e+00;-7.422579e+00;-7.023335e+00;-1.859730e+00;-1.736764e+00;-1.833564e+00;-8.498621e-01;1.148168e+00;1.854838e+00;-2.331158e+00;1.087990e+00
7;0.700000;1.849874e+00;-4.355256e+00;1.214941e+01;-2.782126e+00;-7.078117e+00;-5.662859e+00;-8.428091e-01;-2.178141e+00;-2.243515e+00;-3.300290e-01;1.393504e+00;3.692925e+00;-2.734168e+00;5.745392e-01
8;0.800000;1.868044e+00;-4.807464e+00;1.019834e+01;7.731924e-01;-1.594723e+00;-5.453238e+00;-2.262392e+00;1.496158e+00;5.825777e-01;-2.457059e+00;2.795652e+00;2.718537e+00;5.112395e+00;1.707764e-01
9;0.900000;1.180926e+00;-7.128106e+00;1.216800e+01;-8.039393e-01;-1.833229e-01;-8.490416e+00;-1.793437e+00;4.448379e+00;-2.949200e-01;-5.109611e-01;6.215780e+00;5.033593e+00;7.912107e+00;1.485580e+00
10;1.000000;-1.112133e+00;-1.811179e+00;1.167022e+01;2.889455e+00;-5.291437e+00;-7.763321e+00;-1.601599e+00;3.031262e+00;-3.684652e+00;-4.782720e-01;4.019945e+00;6.561126e+00;3.690478e+00;2.652153e+00
11;1.100000;-5.219816e+00;7.630889e+00;6.117905e+00;7.586202e+00;-6.574896e+00;-7.852385e+00;2.271913e+00;-2.802221e+00;-5.567448e+00;-9.086781e-01;2.024220e+00;6.206368e+00;-4.902015e-01;2.291245e+00
12;1.200000;-8.397011e+00;1.207746e+01;-2.249803e+00;1.136113e+01;5.487194e-01;-8.674006e+00;3.349312e+00;-5.882944e+00;-7.842267e+00;-1.289981e+00;-2.486269e+00;6.312048e+00;-4.205880e-01;-5.838776e-01
13;1.300000;-1.115275e+01;1.105476e+01;-1.199274e+01;1.206503e+01;8.988590e+00;-6.488180e+00;3.268973e+00;-3.842640e+00;-5.630829e+00;-2.631259e+00;-7.411561e+00;5.073105e+00;1.690084e+00;-5.725769e+00
14;1.400000;-6.395376e+00;1.080550e+01;-9.062601e+00;1.627426e+01;1.050417e+01;-8.046017e-01;4.793117e+00;-3.740034e-01;1.165945e+00;-2.869447e+00;-5.124848e+00;6.983728e+00;1.895144e+00;-9.250633e+00
15;1.500000;2.435029e+00;5.277867e-01;1.004406e+01;1.148522e+01;-2.957626e+00;1.778930e+00;-6.032028e+00;5.605855e+00;-2.067077e+00;-5.252810e+00;-2.385201e-01;6.134834e-01;1.539288e+00;-6.499413e+00
16;1.600000;2.285581e+00;-2.066946e-01;1.206687e+01;7.722791e+00;-5.814596e+00;1.258950e+00;-7.621374e+00;4.412625e+00;-4.027447e+00;-3.011175e+00;3.136101e-01;-1.961096e+00;-5.221505e-01;-1.940727e+00
17;1.700000;-2.989456e+00;5.323758e+00;6.502125e+00;6.395104e+00;-4.846361e+00;-1.913650e+00;-4.715667e+00;-1.318233e+00;-2.588555e+00;-2.934480e+00;-7.774277e-01;-1.744088e+00;-3.303442e+00;7.284164e-01
18;1.800000;-7.972307e+00;8.066905e+00;1.179459e+00;3.552093e+00;-8.905258e-01;-5.236877e+00;-7.393337e+00;-1.808578e+00;1.119399e+00;-5.968227e+00;-3.947071e+00;1.470001e+00;-6.519732e-01;1.213318e+00
19;1.900000;-9.339457e+00;1.050283e+01;-4.458095e+00;4.145586e+00;1.312634e+00;-5.448299e+00;-5.690848e+00;8.480036e-01;8.044312e+00;-5.362185e+00;-4.431636e+00;4.602161e+00;2.887383e+00;1.746056e+00
20;2.000000;-7.571945e+00;6.365144e+00;-9.472750e+00;5.422189e+00;-6.298309e+00;-8.711460e+00;2.097088e+00;5.952919e+00;8.576027e+00;6.360110e-01;-2.039977e+00;1.308768e+00;3.439433e+00;4.252457e+00
21;2.100000;-5.210306e+00;1.477461e-01;-8.427829e+00;2.616971e+00;-9.327219e+00;-6.491196e+00;1.820677e+00;1.101146e+01;7.986321e+00;2.160648e+00;8.461726e-01;-4.246800e-01;4.625277e+00;6.362572e+00
22;2.200000;-2.408600e+00;-3.300835e+00;-5.004796e+00;4.569054e-02;-8.242022e+00;-4.740410e+00;1.208844e+00;1.289783e+01;6.099736e+00;2.724185e+00;1.609461e+00;-5.823843e-01;4.611426e+00;5.373192e+00
23;2.300000;-5.847370e+00;1.985034e+00;-4.919332e+00;4.373808e-01;-6.476324e+00;-5.256624e+00;3.507679e+00;7.385028e+00;7.871822e+00;1.303402e+00;-1.082935e-01;2.195704e+00;1.141968e+00;3.532158e+00
24;2.400000;-1.017296e+01;7.084902e+00;5.956278e-01;2.874586e+00;-4.382414e+00;-2.280342e+00;2.407737e+00;-1.875428e+00;4.442828e+00;5.018047e-01;-2.476220e+00;1.415769e+00;-3.734279e-01;4.058075e-02
25;2.500000;-8.316280e+00;6.047352e+00;-1.059101e+00;4.019165e+00;1.576042e-02;2.841608e+00;4.010787e+00;-8.712875e+00;-3.376692e+00;-2.757667e+00;-2.687604e+00;7.449634e-01;-7.441716e-01;-3.050972e+00
26;2.600000;2.666063e+00;-9.046469e-01;-9.859241e+00;-8.750223e+00;7.961519e+00;1.882712e+01;2.568274e+00;-1.850783e+00;4.597351e+00;-2.752941e+00;2.329979e+00;-2.225446e+00;-4.976429e+00;-3.673904e+00
27;2.700000;7.965155e+00;-8.109200e+00;-6.552982e+00;-1.853105e+01;1.165339e+01;2.232025e+01;-2.083070e+00;1.233718e+00;8.456060e+00;2.175723e+00;-6.147909e-01;3.558697e+00;-7.860143e+00;-6.990204e-01
28;2.800000;7.017379e+00;-8.448100e+00;-6.880433e+00;-1.255091e+01;6.410435e+00;1.903371e+01;-3.252994e-01;4.029691e+00;4.124024e+00;3.923993e+00;2.735562e+00;4.238209e+00;-7.395961e+00;2.174614e+00
29;2.900000;5.920698e+00;-7.914325e+00;-1.442352e+00;-6.331789e+00;2.719242e+00;1.016119e+01;5.606172e-01;6.922910e+00;-3.546526e+00;5.100224e+00;3.526686e+00;2.975617e+00;-5.055795e+00;2.978043e+00
30;3.000000;4.402700e+00;-6.107267e+00;5.776156e+00;-4.803921e+00;-4.991646e-01;3.034487e-01;-1.973729e-01;6.978503e+00;-3.578859e+00;3.187963e+00;2.387089e+00;1.278346e+00;-4.043949e+00;1.705032e+00
31;3.100000;8.644667e-01;-3.458352e-01;4.578488e+00;-1.524980e+00;-6.103390e+00;-4.985422e+00;1.629758e+00;-1.859033e+00;-1.647716e+00;-1.261245e+00;4.630211e+00;-4.657867e-01;-3.683886e+00;1.535179e+00
32;3.200000;-3.778582e+00;7.074428e+00;3.566289e+00;4.096142e+00;-7.500265e+00;-3.344443e+00;3.546170e+00;-7.000395e+00;-6.596975e-01;-8.356869e-01;5.562024e+00;1.199248e+00;-2.562797e+00;2.840111e+00
33;3.300000;-7.378691e+00;1.202923e+01;1.210118e+00;6.611342e+00;-4.666225e+00;-3.225552e+00;5.316615e+00;-8.841976e+00;9.187899e-01;8.843091e-01;3.976985e+00;1.999515e+00;-2.271031e+00;1.265953e+00
34;3.400000;-8.166986e+00;1.310772e+01;-2.689800e+00;7.314221e+00;3.284927e+00;-1.359476e+00;2.833576e+00;-1.087983e+01;1.362007e+00;-8.840656e-02;-2.076967e+00;-2.477961e+00;-2.645817e+00;-9.932098e-01
35;3.500000;-4.816116e+00;8.768398e+00;-4.493477e+00;1.475017e+00;2.159275e+00;9.266739e-01;1.489790e+00;-1.108815e+01;3.928022e-01;-2.713218e+00;-4.463919e+00;-5.264080e+00;-1.170356e+00;-2.014946e+00
36;3.600000;3.492534e+00;3.918439e+00;-5.938124e+00;-2.935528e+00;1.582476e+00;3.170625e+00;4.115876e-01;-8.310623e+00;-1.404469e+00;-3.856027e+00;-2.322271e+00;-2.907795e+00;2.880311e+00;-5.203094e+00
37;3.700000;1.128444e+01;-4.424295e+00;2.044810e+00;1.441580e+00;8.632755e-01;4.939602e+00;-3.119084e+00;4.468665e-01;-7.430182e+00;-4.978362e+00;1.497221e+00;-2.431688e+00;1.680351e+00;-6.222038e+00
38;3.800000;9.344666e+00;-6.515072e+00;1.025871e+01;5.493360e+00;1.765364e+00;5.315000e+00;-5.839981e+00;5.432119e+00;-7.940490e+00;-3.964550e+00;1.869099e+00;-1.580522e+00;-1.470548e+00;-4.091110e+00
