frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;1.112471e+00;-7.971088e+00;-7.707407e+00;3.803379e+00;3.202413e+00;4.557508e+00;4.240007e+00;-1.012912e-01;7.532574e+00;5.211181e+00;-3.722105e-01;-3.106975e+00;-1.359826e+00;6.096611e+00
1;0.100000;-4.906673e-01;-3.678154e+00;-9.447191e+00;8.079333e+00;4.754545e+00;8.378853e+00;7.158491e+00;2.795944e+00;1.042634e+01;5.824444e+00;8.937092e-01;-2.109878e+00;3.824347e-02;5.159691e+00
2;0.200000;-6.041527e-01;4.566140e+00;-6.735732e+00;5.773146e+00;5.709045e+00;6.178094e+00;3.876672e+00;5.433470e+00;7.506948e+00;5.755760e+00;1.692949e+00;-3.678471e+00;3.945164e+00;1.479507e+00
3;0.300000;2.233812e+00;7.514414e+00;-1.613021e-01;-2.153234e+00;2.902291e+00;8.151206e+00;9.284540e-01;5.886515e+00;2.734170e+00;5.221432e+00;3.126397e+00;-2.987292e+00;5.423168e+00;-1.454796e+00
4;0.400000;6.100272e+00;7.002645e+00;5.361906e+00;-6.465123e+00;8.401775e+00;1.192724e+01;-1.912653e+00;8.015932e+00;3.440003e+00;8.281857e+00;6.712780e+00;2.831757e+00;1.383472e+00;-1.470749e+00
5;0.500000;5.857421e+00;6.633826e+00;6.188818e+00;-4.082568e+00;8.807383e+00;1.244907e+01;-5.716004e-01;7.438745e+00;2.587633e-01;1.319825e+01;8.187150e+00;2.945625e+00;-1.224640e+00;-6.197968e-01
6;0.600000;5.770740e+00;4.079822e+00;5.859597e+00;-2.415377e+00;8.082521e+00;1.104029e+01;-3.635166e-01;6.542827e+00;-4.090228e+00;1.672479e+01;5.951174e+00;6.179285e-01;-1.236302e+00;-2.278641e+00
7;0.700000;5.288293e+00;-1.152340e-01;3.858477e+00;-3.178809e+00;6.587096e+00;4.378101e+00;-3.623853e+00;2.618895e+00;-2.681637e+00;1.177742e+01;-1.616049e-01;-1.445977e+00;-1.585368e+00;-5.908470e+00
8;0.800000;2.054278e+00;-3.404448e+00;-3.019999e+00;-5.859181e+00;5.911651e+00;-6.464413e+00;-2.085745e+00;4.926017e+00;-3.858500e+00;1.100872e+01;-1.156078e+01;-8.803291e+00;8.184271e-01;-3.540840e+00
9;0.900000;1.273242e+00;-4.039636e+00;-6.610635e+00;-5.706655e+00;5.829660e+00;-7.277351e+00;1.263317e+00;3.315248e+00;-3.577890e+00;7.867065e+00;-9.107747e+00;-8.336366e+00;1.992242e+00;1.366234e+00
10;1.000000;1.382948e+00;-5.892118e+00;-8.320259e+00;-1.739377e+00;6.705601e+00;-7.523950e+00;5.811103e+00;1.269103e+00;-4.497080e-01;3.625661e+00;-5.503849e+00;-4.201731e+00;1.062028e+00;4.310265e+00
11;1.100000;7.325163e-01;-8.945103e+00;-7.438277e+00;1.811850e+00;4.811439e+00;-6.113676e+00;7.971231e+00;-1.528606e+00;3.087891e+00;6.764700e-01;-5.958083e+00;-4.091253e-01;-4.875695e-01;4.203941e+00
12;1.200000;2.305222e-02;-1.174495e+01;-5.078085e+00;3.990739e+00;-5.816202e-01;-7.738235e+00;8.687408e+00;-1.974981e+00;1.241161e+00;-3.282009e+00;-6.601562e+00;7.922106e-01;-2.373217e+00;1.982857e+00
13;1.300000;-1.536423e+00;-1.203380e+01;-4.179708e+00;3.661708e+00;-4.118113e+00;-1.132950e+01;8.749598e+00;-2.780690e+00;-4.894968e+00;-8.837299e+00;-3.929160e+00;1.198268e-01;-3.954543e+00;1.165710e+00
14;1.400000;-2.597901e+00;-1.178354e+01;-2.141212e+00;6.919527e-01;-4.124967e+00;-1.380723e+01;3.064544e+00;-5.072402e+00;-7.711516e+00;-1.057418e+01;-3.478424e+00;1.493208e+00;-4.643573e+00;8.832779e-01
15;1.500000;-2.488953e+00;-8.164579e+00;2.250978e+00;-3.516440e+00;-7.013297e+00;-1.060165e+01;-4.999176e+00;-2.689238e+00;-7.703002e+00;-8.327481e+00;-5.027251e+00;1.427365e+00;-2.698258e+00;1.486893e-01
16;1.600000;-3.467267e+00;-2.204386e+00;1.472330e+00;-9.809093e-01;-1.406042e+01;-6.612693e+00;-4.942715e+00;6.667743e-01;-7.556881e+00;-8.130648e+00;-4.490159e+00;2.892375e-01;2.121361e-01;-8.423615e-02
17;1.700000;-3.671730e+00;1.943231e+00;-2.663858e+00;6.448638e+00;-1.747195e+01;-8.717060e+00;-5.731816e-01;-1.725227e+00;-5.426420e+00;-9.254185e+00;-4.650955e+00;-3.194690e-01;2.519965e-03;-1.420998e+00
18;1.800000;-4.594367e+00;7.207204e+00;3.104701e+00;3.917268e+00;-1.054053e+01;-6.170197e+00;-4.574338e+00;6.810968e-01;-3.244661e+00;-1.179556e+01;-1.615992e-01;-1.313437e+00;5.329753e-01;-2.765190e+00
19;1.900000;-4.951990e+00;8.589034e+00;1.090301e+01;-2.644485e+00;8.103848e-01;2.193206e+00;-6.054371e+00;-6.654731e+00;1.727088e+00;-7.942018e+00;-1.643200e+00;2.126878e+00;3.324607e+00;-8.226242e-01
20;2.000000;-4.056417e+00;6.804582e+00;1.031306e+01;-3.001555e+00;1.685352e+00;5.683460e+00;-7.014586e+00;-9.776760e+00;3.341207e+00;-4.764301e+00;-2.527719e+00;3.088309e+00;5.554586e+00;1.284363e+00
21;2.100000;-4.842570e+00;6.929131e+00;6.076331e+00;1.420494e+00;-3.294206e+00;4.485622e+00;-6.566963e+00;-1.131627e+01;3.043637e+00;-3.897722e+00;-1.490231e-01;3.710335e+00;4.297626e+00;1.166519e+00
22;2.200000;-5.129195e+00;6.965693e+00;6.765733e-01;2.153196e+00;-5.896973e+00;9.138308e-01;-1.309404e+00;-5.942509e+00;1.336519e+00;-3.948079e+00;8.737716e+00;4.467797e+00;-1.159155e-01;1.117508e+00
23;2.300000;-3.088099e+00;4.560584e+00;-2.251494e+00;1.569262e-01;-3.911067e+00;1.580733e+00;1.319632e+00;-5.350938e-01;5.456758e-01;-4.054454e+00;1.079056e+01;3.194885e+00;-2.405947e-02;1.624474e+00
24;2.400000;-3.145094e-01;2.917656e+00;-3.228751e+00;-2.506333e+00;-2.403942e+00;1.753221e+00;3.683367e-01;-1.051961e+00;-5.805235e-01;-3.500542e+00;7.496623e+00;2.544327e+00;-4.283533e-01;-4.624786e-01
25;2.500000;3.574843e+00;2.538836e+00;2.983368e+00;-1.593881e+00;-5.054998e-02;3.769156e+00;-1.940710e+00;-6.109014e-01;7.783475e-01;-2.761874e+00;4.547035e+00;4.991161e+00;-4.389068e+00;-4.251801e+00
