frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;1.913074e+00;2.192926e-01;-4.796747e+00;-1.489538e+00;-3.122005e+00;1.557283e+00;-4.872862e+00;7.532910e+00;-5.427998e+00;-1.388953e+00;2.893931e+00;1.903085e+00;-1.381120e+00;6.628723e-01
1;0.100000;3.128818e+00;-6.813057e+00;6.734567e-01;-2.988884e+00;-3.823309e+00;-1.895239e+00;-4.484547e+00;1.092705e+01;-2.741972e+00;1.934621e+00;-2.787298e+00;-1.351192e-01;1.852827e+00;9.454041e-01
2;0.200000;2.108642e+00;-1.097264e+01;-5.756717e-01;-2.807508e+00;-2.733909e+00;2.137375e-01;-2.117113e+00;5.209000e+00;-1.380503e-01;3.772407e-01;-5.736530e+00;-2.328027e+00;1.836911e+00;6.102524e-01
3;0.300000;9.952660e-01;-9.002013e+00;-9.372678e-01;2.208786e-01;-4.310532e-01;5.089674e-01;-6.409130e-01;-6.216831e-01;-8.568111e-01;-2.954602e+00;-8.429445e+00;-2.783910e+00;2.055005e+00;-7.661133e-01
4;0.400000;1.021674e+00;-2.683349e+00;6.510234e-01;6.658599e-01;9.090328e-02;-5.759595e+00;-4.308903e+00;2.197821e+00;-9.388446e-01;-6.713085e-01;-5.762577e+00;-7.811968e-01;3.864920e+00;-1.639755e+00
5;0.500000;2.073727e+00;-2.552797e+00;-1.333936e+00;-2.352391e+00;2.171179e+00;-3.295302e+00;-6.341345e+00;2.828110e+00;4.648117e-01;1.305548e+00;-2.075775e+00;-2.147677e+00;1.488082e-01;-4.355316e-01
6;0.600000;2.711001e+00;-2.088634e+00;-3.290953e+00;-5.641626e+00;6.540154e+00;1.573669e+00;-5.823299e+00;9.928117e-01;9.627830e-01;1.807436e+00;-3.045498e+00;-4.720631e+00;-2.635598e+00;-1.647339e-01
7;0.700000;2.989457e+00;2.902123e+00;-4.086897e+00;-8.033871e+00;1.063275e+01;5.943274e+00;-5.038685e+00;-3.672605e+00;2.029943e+00;2.489697e+00;-5.571680e-01;-5.855925e+00;-2.604789e+00;-6.529007e-01
8;0.800000;2.906294e-01;1.097521e+01;-6.193018e+00;-4.852715e+00;1.051368e+01;6.539206e+00;1.073153e+00;-6.161508e+00;4.178518e+00;1.108051e+00;5.130736e+00;-3.674701e+00;-1.606995e+00;-1.300125e-01
9;0.900000;-4.647946e+00;1.040770e+01;-2.257080e-01;4.833526e+00;-6.645126e-01;2.296895e+00;1.457743e+01;-6.655086e+00;-8.387797e-01;-5.628419e-01;8.246970e+00;3.969292e+00;-3.656195e+00;2.992859e-01
10;1.000000;-7.785550e+00;6.180462e+00;8.231969e+00;1.059315e+01;-1.011357e+01;-4.969300e+00;1.060364e+01;-7.921988e+00;4.445157e-01;-2.862632e+00;5.701727e+00;8.753090e+00;5.806410e-01;6.607285e-01
11;1.100000;-4.798806e+00;3.427706e+00;1.188375e+01;1.185312e+01;-9.060302e+00;-2.713588e+00;7.373446e+00;-4.654840e+00;2.861883e+00;-5.822587e-01;6.420931e+00;7.801722e+00;1.545585e+00;6.105881e-01
