frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;2.968349e-01;-3.108191e+00;9.498819e+00;3.465212e+00;5.342677e+00;-3.429804e+00;-3.852587e+00;-1.327796e+00;-9.665136e-01;1.520433e+00;-2.590474e+00;5.334495e+00;-4.090229e+00;-4.728394e-01
1;0.100000;-5.983171e-01;-1.521489e+00;1.188232e+01;8.682389e-01;7.076817e-01;-1.362865e+00;-1.377785e+00;-9.467659e-01;-5.624159e+00;-2.677830e+00;-1.352699e+00;3.497703e+00;-6.025731e+00;-3.715439e-01
2;0.200000;2.605260e+00;-5.117808e+00;7.070759e+00;-9.094968e-01;-1.293377e+00;2.334938e-01;-3.935123e+00;2.610812e-01;-8.405617e+00;-4.421695e+00;1.033266e+00;1.066980e+00;-6.949075e+00;-5.308533e-02
3;0.300000;5.961216e+00;-5.672060e+00;4.328445e-01;-7.076468e-01;-4.435133e+00;9.375122e+00;-5.291182e+00;8.307035e-01;-8.975891e+00;-5.083227e+00;3.594618e+00;-5.167987e+00;-2.614144e+00;-8.662872e-01
4;0.400000;6.901304e+00;-3.544048e+00;-4.443141e+00;-2.668795e+00;-6.787066e+00;1.741881e+01;-4.872402e+00;-1.059693e+00;-7.908404e+00;-2.197908e+00;3.210466e+00;-9.961507e+00;2.998393e+00;-1.856812e+00
5;0.500000;5.418049e+00;-4.641197e+00;-3.870572e+00;-1.922205e+00;-3.684284e+00;1.105948e+01;-4.386181e+00;1.117627e+00;-5.051566e+00;-4.433775e+00;-2.780960e-01;-5.599277e+00;2.659474e+00;-1.407799e+00
6;0.600000;7.179174e-01;-2.338197e+00;-5.865287e-01;4.348226e-01;-7.697697e-01;-4.013252e-02;-2.382011e+00;-7.971067e-01;-7.597399e-01;-8.023114e+00;-1.151901e+00;-3.072539e+00;8.039727e-01;4.032364e-01
7;0.700000;-3.454193e+00;2.773075e+00;2.747075e+00;4.231364e+00;3.716469e-02;-4.635246e+00;-3.928413e-01;1.884584e-01;3.504449e+00;-5.307414e+00;-1.369505e-01;9.887626e-01;1.308142e+00;4.029617e-01
8;0.800000;-4.338147e+00;5.096554e+00;3.696717e+00;3.602591e+00;-1.500851e+00;-6.342760e+00;2.459608e+00;2.109381e+00;4.578342e+00;-1.761518e+00;1.387322e-01;3.186277e+00;2.896440e+00;-4.434814e-01
9;0.900000;-2.060043e+00;1.224713e-01;4.204321e+00;7.792597e-01;-3.515194e+00;-8.603020e+00;-4.581757e-01;4.083765e+00;9.946971e-01;2.960835e-01;3.170109e-02;1.233373e-01;3.935820e+00;8.092575e-01
10;1.000000;5.340424e-01;-3.684679e+00;4.065897e+00;-1.908005e+00;-2.287195e+00;-6.461205e+00;-1.267246e+00;6.927279e+00;-9.187460e-01;1.689234e+00;6.106169e-01;9.526365e-01;5.085078e+00;8.155594e-01
11;1.100000;2.772348e+00;-3.575386e+00;-4.581362e+00;-3.771387e+00;5.967445e-01;8.434639e-01;1.991302e+00;5.374442e+00;-8.542700e-01;2.295519e+00;3.363810e+00;1.821565e+00;2.423251e+00;2.861099e-01
12;1.200000;4.190094e+00;-3.657205e+00;-8.417495e+00;-7.453863e+00;4.109712e+00;8.922893e+00;-1.885700e-01;1.059151e+00;2.720490e-01;4.782307e+00;2.694907e+00;-1.243360e+00;-9.027233e-01;-4.202881e-01
13;1.300000;2.394764e+00;-1.948246e+00;-5.045916e+00;-5.210069e+00;6.382401e+00;8.082211e+00;-2.805653e-01;-3.999319e-01;-1.398848e+00;4.597803e+00;1.364142e+00;-3.214817e+00;-1.181559e+00;1.806564e-01
14;1.400000;-3.757644e+00;7.467831e+00;-2.795083e+00;2.985895e+00;7.494092e+00;9.370470e-01;3.618704e+00;-2.602517e+00;1.156224e+00;3.738110e+00;-2.762806e-01;5.636044e-01;2.793303e-01;7.154846e-02
15;1.500000;-8.016030e+00;1.424162e+01;-4.438415e-01;8.594364e+00;3.598688e+00;-5.939196e+00;6.736676e+00;3.945985e-01;4.736728e+00;2.910213e+00;-2.994946e+00;5.723665e+00;4.146790e+00;-1.394699e+00
16;1.600000;-7.112098e+00;8.051640e+00;-3.952642e+00;5.550656e+00;-1.556301e+00;-5.457666e+00;4.436382e+00;1.759354e+00;7.483612e+00;4.140804e+00;-1.398500e+00;2.513350e+00;8.850741e-01;1.613808e+00
17;1.700000;-4.679793e+00;1.762366e+00;-4.597099e+00;1.097064e+00;-4.341156e+00;-4.585294e+00;-1.222366e+00;7.978721e-01;5.802073e+00;3.795080e+00;-1.726957e+00;-1.031399e+00;-1.105351e-01;2.797363e+00
18;1.800000;-1.182982e+00;-1.373657e+00;-2.266521e+00;-1.860652e+00;-2.221951e+00;-4.907922e+00;-9.195938e-01;-3.620296e+00;5.435416e+00;3.731321e+00;-2.954341e+00;-1.165894e+00;-2.445723e+00;8.853302e-01
19;1.900000;3.407405e+00;6.666112e-01;-2.598552e+00;-5.197340e+00;4.123116e+00;-5.107383e+00;1.158399e+01;-1.414960e+01;6.900147e+00;4.095616e-01;-1.181121e+00;4.684401e+00;-3.102056e+00;-9.790421e-01
