frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-1.074737e+01;6.784958e+00;-1.330985e+01;1.274536e+00;3.994379e-01;8.169751e+00;5.584153e+00;-1.850243e+00;-1.347980e+00;-2.620086e+00;2.330721e+00;-6.399202e-02;1.686383e+00;2.927345e+00
1;0.100000;-6.773802e+00;2.848583e+00;-1.576197e+01;-4.377518e-01;-1.376421e+00;8.177255e+00;2.711911e+00;-5.134234e+00;-5.463299e-01;-1.677677e+00;3.154218e-01;-6.666646e-01;2.148906e+00;5.832214e+00
2;0.200000;-2.980118e+00;-3.575449e+00;-1.386287e+01;-2.681343e+00;-2.526816e+00;8.731820e+00;-1.673727e+00;-5.218098e+00;6.053671e-01;-1.508951e+00;-5.993562e-01;-9.571071e-01;2.527250e+00;5.002304e+00
3;0.300000;9.680910e-01;-1.186558e+01;-6.415112e+00;-7.237766e+00;2.175807e+00;5.888745e+00;-3.440583e+00;-3.810450e+00;2.769125e+00;-2.132577e+00;-1.757515e+00;2.348428e-01;1.209878e+00;1.925835e+00
4;0.400000;1.752246e+00;-1.035839e+01;-3.364582e+00;-5.616253e+00;4.379958e+00;1.818117e+00;-5.185493e+00;-4.964064e+00;1.749375e+00;-4.888960e+00;-3.289167e+00;2.651391e-01;1.628900e+00;-9.666290e-01
5;0.500000;-6.883154e-01;9.491926e-01;-2.386202e+00;1.738433e+00;1.683869e+00;-3.820559e+00;-5.644233e+00;-5.046861e+00;-1.314099e+00;-5.421047e+00;-3.611457e+00;1.557282e+00;3.237087e+00;-4.752304e+00
6;0.600000;-1.377098e+00;1.303434e+00;-2.445072e+00;4.668983e+00;5.120786e+00;-2.451271e+00;-4.969408e+00;-8.607113e+00;-2.069873e+00;-2.155475e+00;-5.375137e-01;-1.552396e+00;1.294504e+00;-4.872826e+00
7;0.700000;1.407881e-01;-6.555721e+00;-4.888556e+00;2.421858e+00;1.002176e+01;-3.314842e+00;-3.007405e+00;-6.456374e+00;-4.380714e-01;-1.657314e+00;-1.141214e-01;-5.730276e-01;-1.339352e-01;-2.043762e+00
8;0.800000;-2.682655e+00;-3.256545e+00;-1.018994e+01;9.515015e+00;7.514218e+00;3.363324e+00;-4.004281e+00;-4.369593e-01;-1.096268e+00;1.598212e+00;2.179604e-01;4.915047e-01;1.434928e+00;4.828339e-01
9;0.900000;-5.072538e+00;3.782819e+00;-1.301084e+01;1.489430e+01;7.111954e+00;5.446349e+00;-1.438644e+00;7.907944e-01;1.034422e+00;1.601658e+00;5.324264e-01;1.513209e-01;1.565784e+00;2.055359e-01
10;1.000000;-5.504107e+00;1.321168e+01;-1.173261e+01;1.180170e+01;3.601609e+00;3.559472e+00;9.026446e-01;4.348958e+00;5.544262e+00;2.526211e+00;1.494069e+00;1.339277e+00;4.553299e-01;-2.380447e+00
11;1.100000;-1.792513e+00;1.153849e+01;-1.209513e+01;9.046823e+00;8.168831e-01;5.758724e+00;4.506488e+00;6.285639e+00;7.291147e+00;2.703241e+00;9.447951e-01;-1.955132e-01;2.404728e+00;-2.790024e+00
12;1.200000;3.410621e+00;-1.417155e-01;-8.558853e+00;5.846291e+00;3.096327e+00;5.969820e+00;5.499211e+00;6.888634e+00;3.862547e+00;1.432222e+00;3.972671e-01;-2.392698e+00;3.456214e+00;-1.856026e+00
13;1.300000;2.801447e+00;-1.298897e+00;-6.384378e+00;1.868870e+00;3.700738e+00;1.504567e+00;3.845110e+00;3.111415e+00;2.024867e+00;-1.335701e+00;-8.104634e-01;-6.389780e-01;2.592478e+00;-1.198578e+00
14;1.400000;-1.300111e+00;4.172384e+00;-1.003914e+00;2.461607e-01;-4.111476e+00;-2.146646e+00;-1.177087e+00;-4.254933e+00;-2.376526e+00;-2.302263e+00;-3.229280e+00;4.794960e-01;1.101895e+00;-9.538727e-01
15;1.500000;-3.149670e+00;5.942824e+00;4.532809e+00;-1.302750e+00;-1.004237e+01;-4.418453e+00;1.459722e+00;-2.027333e+00;-2.749812e+00;-2.482745e+00;-6.788588e+00;-1.014464e+00;-1.004040e+00;-6.738281e-02
16;1.600000;-1.214258e+00;-3.949148e-01;2.078801e+00;-4.301703e+00;-8.447268e+00;-4.554791e+00;5.148084e+00;3.996675e+00;-3.390094e+00;-4.968963e+00;-8.290032e+00;-1.898155e-01;-3.574831e+00;1.888412e+00
17;1.700000;1.869248e+00;-4.687107e+00;5.264121e+00;-6.954610e+00;-6.938838e+00;-7.225226e+00;5.748468e+00;5.841866e+00;-5.428069e+00;-6.003752e+00;-8.556736e+00;1.772922e+00;-8.145367e+00;1.542793e+00
18;1.800000;1.087278e+00;-3.191763e+00;1.221565e+01;-8.374929e+00;-9.178991e+00;-5.808513e+00;2.990613e+00;5.486456e+00;-6.894646e+00;-3.056775e+00;-4.116577e+00;-1.101083e+00;-3.370135e+00;1.378311e+00
19;1.900000;8.526039e-01;-1.116693e+00;1.655838e+01;-1.012751e+01;-9.351204e+00;-3.354071e+00;7.383757e-01;1.689809e+00;-3.655335e+00;6.866764e+00;1.183862e+00;-2.131788e+00;-1.015901e+00;2.999519e+00
20;2.000000;3.492063e+00;-3.423172e+00;1.420802e+01;-1.023351e+01;-4.854111e+00;-2.524810e+00;7.496147e-01;2.452670e+00;9.467834e-01;1.100372e+01;2.090026e+00;-1.320802e+00;-2.898851e-01;3.574478e+00
21;2.100000;6.945582e+00;-4.709889e+00;1.096283e+01;-7.677586e+00;-7.749834e-01;-3.357490e+00;1.094062e+00;3.416856e+00;2.066864e+00;9.016446e+00;1.362528e+00;-6.087227e-01;-2.331241e+00;8.167496e-01
22;2.200000;6.757188e+00;-2.373926e+00;9.761349e+00;-3.026682e+00;1.429218e+00;-5.901630e+00;5.036993e-01;4.010960e+00;1.019988e+00;-1.510863e+00;4.114737e+00;-8.588572e-01;-4.366175e+00;-2.188873e+00
23;2.300000;4.465570e+00;2.882749e+00;1.493990e+01;1.190009e+00;2.735693e+00;-1.403290e+00;-3.146357e+00;3.467017e+00;1.037286e+00;-2.608914e+00;7.548956e+00;2.690969e+00;-2.439734e+00;-1.815018e+00
24;2.400000;4.413567e+00;2.916398e+00;1.675083e+01;1.839084e+00;2.653927e+00;-1.901438e+00;-4.938352e+00;-3.810663e-01;1.286479e+00;3.919569e+00;1.033205e+01;2.893422e+00;-6.865171e-01;-7.941589e-01
25;2.500000;4.326265e+00;6.162487e-01;1.813716e+01;1.620347e+00;1.160291e+00;-6.204906e+00;-2.856588e+00;-3.600024e+00;6.858861e-02;5.664020e+00;8.835974e+00;2.389741e+00;6.134925e-01;-1.896187e+00
