frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;1.970318e+00;-1.570173e+00;5.973520e+00;-4.642979e+00;-5.674750e+00;-1.355501e+00;3.507245e+00;1.418959e-01;-1.070595e+01;2.646458e+00;-7.018566e-01;5.514133e+00;-3.756271e+00;-7.201462e-01
1;0.100000;-1.905653e+00;-7.426363e-02;7.917181e+00;-1.004027e+00;-1.009711e+01;-8.154422e+00;4.591044e+00;-3.591846e-01;-6.410748e+00;3.460098e+00;3.870964e-03;7.793789e+00;-2.755792e+00;6.473007e-01
2;0.200000;-5.700031e+00;5.115698e+00;4.387115e+00;4.581683e+00;-1.340643e+01;-1.155269e+01;4.221393e+00;-2.689203e+00;1.537056e-01;3.111393e-01;1.714953e+00;5.088815e+00;-1.536139e+00;4.603577e-01
3;0.300000;-6.335699e+00;8.996721e+00;-2.683397e+00;7.947590e+00;-8.852466e+00;-8.921210e+00;5.768893e-01;-2.036536e+00;5.043106e+00;-1.791044e+00;1.117086e-01;-1.829308e+00;1.475992e+00;-2.877121e-01
4;0.400000;-4.834963e+00;4.514418e+00;-1.486588e+00;7.406525e+00;-7.753407e+00;-3.664973e+00;1.081872e-01;2.683332e+00;4.441971e+00;-4.742672e-01;2.678612e+00;-8.013618e+00;4.320211e+00;1.940315e+00
5;0.500000;-3.598747e+00;-1.368766e-01;6.003081e+00;3.137462e+00;-8.215913e+00;-2.550856e+00;-1.255571e+00;4.484329e+00;2.789020e+00;1.619338e+00;2.631535e+00;-3.877611e+00;3.904221e+00;2.209579e+00
6;0.600000;-2.421028e+00;-4.785883e-02;9.582821e+00;-1.779366e+00;-7.778453e+00;-1.194796e+00;-2.109519e+00;-2.722791e+00;-9.921513e-01;-6.955925e-01;3.266995e+00;2.063601e+00;8.026490e-01;8.966522e-01
7;0.700000;1.379620e+00;-3.701864e+00;-1.459034e+00;-4.570592e+00;2.490057e+00;8.719849e+00;-8.354626e-01;-1.024523e+01;1.160293e+00;-2.248117e+00;-7.176790e-01;-1.616156e-01;3.742312e+00;2.079857e+00
8;0.800000;2.520684e+00;-6.459592e+00;-4.664927e+00;-5.608269e+00;9.419882e+00;6.105494e+00;5.754397e+00;-8.601923e+00;1.794578e+00;2.728030e+00;-5.462437e+00;-1.759275e+00;5.911329e+00;4.431549e+00
9;0.900000;6.191850e-01;-4.538859e+00;-7.382350e+00;-4.052611e+00;7.626785e+00;6.643270e+00;4.446379e+00;-7.328110e+00;1.672521e+00;3.079684e+00;-6.402906e+00;-3.588945e+00;6.645631e+00;4.817520e+00
10;1.000000;-1.774430e+00;1.988136e+00;-8.866483e+00;1.679277e-02;6.669402e+00;7.422143e+00;3.897286e+00;-5.307466e+00;3.555802e+00;4.166649e+00;-4.842350e+00;-2.936588e+00;7.827996e+00;1.782265e+00
11;1.100000;-2.212064e+00;1.158465e+01;-6.975881e+00;2.063656e-02;8.828913e+00;5.334221e+00;1.949018e+00;-1.241251e+00;4.083092e+00;4.370560e+00;2.410088e-01;-2.252551e+00;5.525192e+00;-2.432487e+00
12;1.200000;2.292602e+00;1.171443e+01;-5.304931e+00;-2.977622e+00;5.260272e+00;3.875786e+00;-1.757868e+00;1.382077e+00;3.082959e+00;-1.525574e+00;1.748163e+00;-1.736205e+00;-2.000449e-01;-4.105713e+00
13;1.300000;6.751198e+00;1.568657e+00;2.884007e-01;-3.688859e+00;1.868230e+00;6.043294e+00;-7.642039e+00;2.954404e+00;1.366911e-01;-4.490575e+00;2.716890e+00;-2.400093e+00;-5.377187e+00;-5.428696e+00
14;1.400000;5.151059e+00;-5.053571e+00;-3.618975e-01;-2.075943e+00;6.792982e+00;2.315022e+00;-7.075933e+00;3.472174e+00;-1.089778e+00;-4.100358e+00;2.879232e+00;-6.223654e-01;-7.338247e+00;-2.506485e+00
15;1.500000;3.239583e+00;-7.829066e+00;-6.120501e-01;7.149172e-02;6.954786e+00;-1.406059e+00;-4.071615e+00;5.226550e+00;-2.397925e+00;-3.856408e+00;1.468050e+00;4.020882e-01;-6.753014e+00;-1.250839e-01
16;1.600000;1.937012e+00;-8.856216e+00;1.283462e+00;2.277978e+00;4.379344e+00;-3.162545e+00;-2.002458e+00;8.385880e+00;-2.840009e+00;-2.728334e+00;3.669357e-02;2.930259e+00;-5.939838e+00;-4.020767e-01
17;1.700000;2.921355e+00;-7.214372e+00;4.361947e+00;4.940122e+00;1.487873e+00;-4.496036e+00;-2.301371e+00;1.180106e+01;-3.477185e+00;-4.716856e-01;-1.370480e+00;5.385489e+00;-6.499006e+00;-3.256790e+00
