frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;3.919910e+00;-1.113796e+01;-8.845180e+00;-1.264603e+01;4.821205e+00;-6.333111e+00;-8.912363e+00;1.769552e-01;-1.082867e+01;4.330295e+00;-6.261692e+00;-8.103205e+00;-6.456931e+00;3.329376e+00
1;0.100000;3.161495e+00;-1.051192e+01;-9.417598e+00;-7.013135e+00;1.916508e+00;-2.681238e+00;-7.091185e+00;2.497536e+00;-3.132232e+00;5.244663e+00;-2.743139e+00;-6.334376e+00;-2.682864e+00;2.047638e+00
2;0.200000;5.061671e+00;-5.766621e+00;-6.225131e+00;2.801983e-01;4.441395e+00;4.060047e+00;-4.878585e+00;3.930925e+00;4.573964e+00;4.018002e+00;2.944156e+00;-2.138532e+00;-3.124027e-01;-7.777863e-01
3;0.300000;5.841737e+00;-7.815372e+00;-2.554257e+00;9.654880e-02;6.622000e+00;3.605511e+00;-6.682980e+00;5.114145e+00;4.381741e+00;3.154137e+00;3.019431e+00;2.107012e+00;-2.828894e-01;1.184395e+00
4;0.400000;4.908984e+00;-8.792738e+00;-2.997075e+00;8.308437e-01;4.824562e+00;7.450249e-01;-5.784645e+00;5.568806e+00;6.948665e+00;3.515397e+00;9.233148e-01;4.257757e+00;-4.310278e-01;1.436501e+00
5;0.500000;2.774911e+00;-4.171268e+00;-5.593356e+00;2.890840e+00;4.625623e+00;-5.006420e+00;-6.828218e-01;4.227956e+00;1.096168e+01;4.879570e-01;-1.029872e+00;4.893443e+00;1.564708e-01;-8.382721e-01
6;0.600000;-1.539346e+00;6.034790e+00;-5.673697e+00;6.772759e+00;1.521543e+00;-5.150936e+00;2.576484e+00;-2.167770e+00;9.036886e+00;-4.941031e+00;-2.151698e+00;-5.450451e-01;3.706825e+00;-1.326553e+00
7;0.700000;-6.227212e+00;8.536749e+00;8.803100e+00;3.936036e+00;-6.766344e+00;1.786045e+00;3.952805e+00;-7.893074e+00;-5.543370e-01;-7.593605e+00;3.366380e+00;-1.667393e+00;2.007207e+00;1.072556e+00
8;0.800000;-6.809001e+00;6.346946e+00;1.401346e+01;-7.343035e-01;-9.175935e+00;3.891841e+00;5.784050e+00;-7.593234e+00;-7.931140e+00;-6.329544e+00;7.613191e+00;-4.148006e-01;-2.580458e-01;2.545181e+00
9;0.900000;-6.187508e+00;3.535025e+00;1.497783e+01;-4.057808e+00;-1.026581e+01;1.179253e+00;2.938016e+00;-7.285206e+00;-1.037628e+01;-2.863356e+00;8.053170e+00;1.969284e+00;7.284498e-02;9.486694e-01
10;1.000000;-6.963080e+00;1.166288e+01;1.394346e+01;-2.258968e-02;-1.416507e+01;-3.310178e+00;3.194571e+00;-1.361513e+01;-8.118319e+00;-3.825085e+00;1.039403e+01;2.897601e+00;1.148966e+00;-1.993362e+00
11;1.100000;-8.904140e+00;1.667968e+01;6.077826e+00;7.685908e+00;-1.379521e+01;-6.357242e+00;1.887719e+00;-1.503554e+01;3.713180e+00;-7.149615e+00;2.289813e+00;1.836905e+00;8.247469e+00;-1.290245e+00
