frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;6.033067e+00;-3.515926e+00;6.070175e+00;-5.085479e+00;9.560996e+00;1.025854e+01;-1.003356e+01;-9.454155e+00;1.358437e+01;-7.394435e+00;-1.311861e+00;-4.966314e+00;-4.904072e+00;-8.184593e+00
1;0.020000;4.829213e+00;-4.833328e+00;1.848903e+00;-9.518653e+00;6.160951e+00;1.103796e+01;-1.283981e+01;-1.354822e+01;6.741122e+00;-1.268356e+01;-6.366391e-01;-6.101728e+00;-8.379526e+00;-9.827515e+00
2;0.040000;5.120480e+00;-3.969220e+00;8.468041e-01;-1.092489e+01;2.270710e+00;1.073952e+01;-1.280528e+01;-1.476995e+01;2.933826e+00;-1.523053e+01;1.960328e+00;-4.379798e+00;-9.149987e+00;-1.247318e+01
3;0.060000;6.584599e+00;5.208184e-01;1.592230e+00;-4.435729e+00;2.746965e+00;9.672848e+00;-9.672938e+00;-9.817587e+00;4.142383e+00;-1.365562e+01;3.914236e+00;-1.083185e+00;-7.852002e+00;-1.708934e+01
4;0.080000;4.971993e+00;6.320014e+00;1.131768e+00;4.524004e+00;3.339508e+00;-5.158091e-01;-3.999475e+00;-8.708382e+00;4.231171e+00;-8.876497e+00;1.067457e+00;7.273607e-01;-4.937520e+00;-2.258344e+01
5;0.100000;-3.802364e+00;4.243813e+00;-2.422373e+00;1.063989e+01;5.515113e+00;1.415199e+00;1.038486e+01;1.395450e+00;8.659999e+00;-6.706792e+00;-1.365829e-02;7.416992e-01;-7.888740e+00;-1.546494e+01
6;0.120000;-4.433943e+00;5.440783e+00;-3.601161e+00;1.097422e+01;4.980994e+00;1.122026e+00;1.073136e+01;1.252932e+00;1.100654e+01;-3.657502e+00;2.012589e+00;2.196414e+00;-5.703292e+00;-8.821594e+00
7;0.140000;-1.845571e+00;3.917571e+00;-4.342062e+00;8.081720e+00;3.424514e+00;-3.035232e+00;5.279350e-01;-2.108714e+00;1.451216e+01;-2.065766e-01;-4.702442e-01;-1.418428e+00;-8.383041e-01;-3.204330e+00
8;0.160000;2.019825e-01;-4.840547e+00;-4.978526e+00;2.880610e+00;-1.675542e+00;-7.115837e+00;-7.226451e+00;2.127371e-01;1.260560e+01;-4.743649e+00;-3.204110e+00;-5.203676e+00;-7.446327e-01;1.499657e+00
9;0.180000;4.463482e+00;-1.067552e+01;-3.374360e+00;4.620739e+00;-1.094506e+00;-4.570776e+00;-6.819560e+00;7.257887e+00;9.596067e+00;-4.321676e+00;-2.515402e+00;-5.882975e+00;7.363477e-01;4.917992e+00
10;0.200000;5.976748e+00;-1.413462e+01;-5.093986e+00;1.554193e+00;-6.069002e-01;-3.292102e+00;-1.298415e+00;1.024374e+01;8.778477e+00;3.782952e-01;-3.976223e+00;-4.973824e+00;1.632696e+00;7.297554e+00
11;0.220000;5.063114e+00;-1.618575e+01;-6.401354e+00;-3.654113e+00;1.886961e+00;1.732261e+00;3.543579e+00;7.410714e+00;1.051925e+01;1.237746e+00;-6.282983e+00;-4.744061e+00;1.753916e+00;8.307152e+00
12;0.240000;2.244221e+00;-1.648725e+01;-8.360781e+00;-6.071490e+00;6.239481e+00;8.891605e+00;7.365498e+00;8.073950e-02;1.255001e+01;-3.603267e+00;-8.973850e+00;-4.861150e+00;-3.868588e+00;8.321960e+00
13;0.260000;-1.099606e+00;-1.709437e+01;-1.066072e+01;-6.277356e+00;9.940002e+00;1.052722e+01;4.393451e+00;-6.596885e+00;1.256443e+01;-9.532867e+00;-7.338973e+00;9.637475e-01;-6.610655e+00;7.838409e+00
14;0.280000;-1.110104e+00;-1.605759e+01;-7.677657e+00;-2.608077e+00;1.774367e+01;1.244442e+01;3.535812e+00;-7.121030e+00;1.336302e+01;-1.061296e+01;-3.557490e+00;5.582976e+00;-6.501336e+00;7.322037e+00
