frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;6.777465e+00;-3.757576e+00;-2.790133e+00;5.811267e-01;7.171382e+00;-3.286654e+00;-1.387409e+01;-5.823773e+00;2.705173e+00;9.742122e+00;-9.258523e-01;-1.048523e+01;-1.143169e+01;-1.367798e-01
1;0.020000;6.519485e+00;-5.841578e+00;-5.767377e+00;-1.950621e+00;5.353903e+00;-2.507670e+00;-1.820664e+01;-5.363352e+00;4.342870e+00;8.246727e+00;-2.586103e+00;-1.061879e+01;-1.302782e+01;6.031723e-01
2;0.040000;7.701973e+00;-5.552619e+00;-5.874364e+00;-2.047091e+00;4.972341e+00;8.227654e-01;-1.797691e+01;-7.608171e+00;3.800550e+00;6.352072e+00;-3.739942e+00;-9.504456e+00;-1.343974e+01;-1.335991e+00
3;0.060000;9.915304e+00;-3.961934e+00;-2.813752e+00;-9.541793e-01;5.862119e+00;3.176349e+00;-1.470022e+01;-9.391210e+00;1.358743e+00;5.663092e+00;-2.485188e+00;-6.722749e+00;-1.294944e+01;-6.068481e+00
4;0.080000;1.096529e+01;-1.939356e+00;-1.865726e-01;-1.110904e+00;7.237839e+00;5.019688e+00;-1.325744e+01;-6.933539e+00;1.658285e+00;5.409423e+00;-1.353953e+00;-6.816923e+00;-1.202205e+01;-1.241420e+01
5;0.100000;7.793781e+00;-1.430671e+00;8.542497e-01;3.409195e+00;1.090315e+01;4.115173e+00;4.399259e+00;-2.343603e+00;3.800645e+00;6.711477e+00;-1.561631e+00;-2.757481e+00;8.472685e-01;-9.557991e+00
6;0.120000;6.113284e+00;-7.136449e+00;-4.167984e+00;3.689606e+00;4.862152e+00;4.492744e+00;4.997641e+00;-1.995087e+00;2.352064e+00;9.316755e+00;2.603630e+00;-5.473300e+00;2.385558e+00;-7.365952e-01
7;0.140000;5.635881e+00;-9.778027e+00;-7.415763e+00;6.920480e+00;1.060686e-01;3.471178e+00;2.288597e+00;-7.863998e-03;2.772338e+00;8.372824e+00;4.844412e+00;-7.022917e+00;9.933379e-01;3.753685e+00
8;0.160000;4.910205e+00;-1.138025e+01;-1.117701e+01;9.730230e+00;-4.522790e+00;3.624517e+00;7.264729e-01;2.301587e+00;4.598298e+00;7.954649e+00;2.554696e+00;-5.992422e+00;-8.505986e-01;4.802734e+00
9;0.180000;3.678741e+00;-1.333129e+01;-1.557508e+01;8.388769e+00;-9.446010e+00;7.055192e+00;2.129250e-01;1.130984e+00;5.020412e+00;8.088881e+00;-2.501556e+00;-3.881259e+00;-3.528113e+00;4.334595e+00
10;0.200000;2.407765e+00;-1.313386e+01;-1.211903e+01;5.028621e+00;-4.397524e+00;1.675782e+01;-1.254797e+00;5.885506e+00;6.909941e+00;1.031306e+01;-3.555348e-01;-5.135648e+00;-2.478220e+00;3.816826e+00
11;0.220000;-2.205832e+00;-1.626636e+01;-1.346085e+01;-6.344967e+00;-2.627757e+00;1.345731e+01;-7.265804e+00;2.480180e+00;-1.906841e+00;6.723190e+00;-3.838425e+00;-7.945303e+00;-3.785937e+00;2.438179e+00
