frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;1.109685e+01;1.604613e+00;-1.277035e+01;-1.177736e+01;-2.225334e+01;1.518080e+00;-7.012944e+00;7.791104e+00;-5.784069e+00;-6.624510e+00;1.791455e+00;-3.545189e-01;9.253881e+00;6.418816e+00
1;0.020000;7.231324e+00;7.858360e-01;-6.452692e+00;-1.135876e+01;-2.325601e+01;7.696991e-01;-7.794885e+00;8.979319e+00;-2.647261e+00;-1.070423e+01;1.921504e+00;-2.630530e+00;8.673123e+00;8.394333e+00
2;0.040000;5.214571e+00;1.907252e+00;1.246352e+00;-5.677268e+00;-1.809717e+01;4.726633e+00;-5.268975e+00;1.096431e+01;1.791519e+00;-9.651553e+00;3.764100e-01;-4.610368e+00;1.043117e+01;9.137360e+00
3;0.060000;1.720536e+00;-1.033715e+00;9.919314e-01;-7.090287e+00;-2.201260e+01;-2.441783e+00;-1.505770e+01;1.885353e+00;-7.418442e-01;-1.157091e+01;-5.953148e+00;-1.035663e+01;7.890758e+00;7.449287e+00
4;0.080000;1.791864e+00;1.192791e+00;2.503109e+00;-1.046891e+00;-1.776499e+01;1.911303e+00;-1.604112e+01;-4.422896e-01;4.184740e+00;-4.255936e+00;-2.885680e+00;-9.342006e+00;8.802983e+00;5.942810e+00
5;0.100000;6.701851e-01;2.723490e+00;2.624258e-01;-8.215780e-01;-2.128476e+01;1.127550e+00;-1.953914e+01;-3.704396e+00;6.750216e+00;-3.149870e+00;-6.118553e+00;-1.438960e+01;8.943573e+00;2.867882e+00
6;0.120000;2.956678e+00;6.477036e+00;6.570616e-01;1.385044e+00;-1.972982e+01;4.539461e+00;-1.656448e+01;-3.533442e-01;1.140542e+01;7.121332e-01;-5.504148e+00;-1.486070e+01;1.321010e+01;-2.144318e-01
7;0.140000;5.369197e+00;7.167747e+00;-2.732116e+00;2.706060e-01;-1.842809e+01;4.475532e+00;-1.772492e+01;-4.254173e+00;7.806039e+00;-8.781813e-01;-7.867661e+00;-1.296967e+01;1.266278e+01;-3.631477e+00
8;0.160000;6.936373e+00;8.315688e+00;-2.821300e+00;-7.536068e-01;-1.760752e+01;4.352999e+00;-1.660769e+01;-7.525895e+00;5.308033e+00;-1.574262e+00;-1.356007e+01;-1.298771e+01;1.063395e+01;-7.216301e+00
9;0.180000;9.329760e+00;9.533705e+00;-1.874907e+00;1.725025e+00;-1.202134e+01;5.839832e+00;-1.187512e+01;-8.541499e+00;4.959745e+00;-1.043414e+00;-1.284882e+01;-9.334287e+00;7.095242e+00;-1.158850e+01
10;0.200000;1.382088e+01;7.113308e+00;-4.677647e+00;-8.796139e-01;-5.434839e+00;6.167940e+00;-6.108113e+00;-7.953500e+00;4.907579e+00;-3.175182e-01;-6.737018e+00;-2.066650e+00;5.021746e+00;-1.522781e+01
11;0.220000;1.646935e+01;5.131652e+00;-1.565430e+01;-1.105844e+01;1.431220e+01;1.690399e+01;-3.781600e+00;4.722350e+00;3.278198e-01;1.167723e+01;3.437263e+00;-6.594286e-01;7.150262e+00;-8.901550e+00
12;0.240000;1.329178e+01;-2.156631e+00;-2.630262e+01;-1.107411e+01;1.767814e+01;7.585535e+00;-1.008323e+01;1.318079e+01;-7.649290e+00;1.156664e+01;9.436781e+00;-4.982951e+00;2.473276e+00;-3.879547e-02
13;0.260000;1.230937e+01;-6.849191e+00;-2.896004e+01;-7.074302e+00;1.719061e+01;4.670603e+00;-1.402533e+01;1.847527e+01;-7.463987e+00;1.053764e+01;1.023932e+01;-6.489209e+00;-1.391811e+00;6.631607e+00
14;0.280000;1.042241e+01;-1.294203e+01;-2.992833e+01;-4.989028e+00;1.348889e+01;2.815908e+00;-1.575948e+01;2.062870e+01;-4.179993e+00;7.556303e+00;7.290851e+00;-5.480138e+00;-3.009983e+00;9.317993e+00
15;0.300000;7.927969e+00;-1.755881e+01;-2.783621e+01;-3.011018e+00;1.075630e+01;1.259781e+00;-1.198216e+01;2.021388e+01;1.201153e+00;4.287530e+00;2.431734e+00;-6.212541e+00;-2.966744e+00;9.473076e+00
16;0.320000;5.424293e+00;-1.717942e+01;-1.957165e+01;2.323144e+00;1.099326e+01;2.895435e+00;-1.704109e+00;2.043513e+01;8.021321e+00;2.059086e+00;-2.101211e+00;-6.276248e+00;6.794822e-01;9.441200e+00
17;0.340000;2.891192e+00;-1.522870e+01;-1.544508e+01;1.643901e+00;3.801045e+00;-1.293077e-01;1.050375e+00;1.776177e+01;5.845375e+00;5.192709e-01;-4.451697e+00;-1.237647e+00;4.055999e+00;9.161598e+00
18;0.360000;3.562324e+00;-1.181567e+01;-1.047547e+01;3.155255e+00;1.369179e+00;9.885273e-01;3.511274e+00;1.653495e+01;3.920704e+00;1.404987e+00;-4.074318e+00;4.069993e+00;6.695822e+00;7.534279e+00
19;0.380000;2.525477e+00;-1.334580e+01;-3.645586e+00;-1.592870e+00;-1.942411e+00;-1.803536e+00;1.693538e+00;1.165797e+01;-2.130724e+00;3.094916e+00;-6.814380e+00;5.663961e+00;3.566808e+00;4.852737e+00
20;0.400000;-1.397448e-01;-1.448419e+01;4.723354e+00;-8.585017e+00;-1.585695e+00;-3.936555e+00;4.833130e+00;6.790084e+00;-4.084133e+00;1.017808e+01;-6.509950e+00;9.983899e+00;-1.772154e+00;4.298210e+00
21;0.420000;-3.614150e+00;-1.319703e+01;3.727824e+00;-1.142101e+01;-4.011158e+00;-5.628829e+00;3.112714e+00;-3.973832e+00;-3.979725e+00;1.012078e+01;-6.811825e+00;7.243267e+00;-2.714764e+00;3.545784e+00
22;0.440000;-2.839236e+00;-6.544494e+00;5.732771e+00;-8.055793e+00;8.650188e-01;1.423023e+00;8.714811e+00;-4.730405e+00;4.507212e+00;1.485258e+01;-7.636596e+00;3.807614e+00;1.680006e+00;1.888275e+00
23;0.460000;-2.777562e+00;-5.673187e+00;1.174154e-01;-1.079898e+01;-1.424498e+00;-8.255367e-01;2.805024e+00;-1.098036e+01;5.407538e+00;1.165858e+01;-1.785250e+01;-4.084496e+00;3.351303e+00;-2.631874e+00
24;0.480000;1.986485e+00;-5.365210e+00;-2.454862e+00;-4.522353e+00;-4.941902e-01;-1.930716e+00;-1.550946e+00;-1.182627e+01;3.605698e+00;1.059318e+01;-1.924174e+01;-6.124503e+00;2.255363e+00;-7.036804e+00
25;0.500000;7.429305e+00;-4.622451e+00;-2.915959e+00;-5.429163e-01;2.251698e+00;1.934549e+00;-1.925057e-01;-7.156180e+00;2.455591e+00;8.220784e+00;-1.758890e+01;-6.206410e+00;-1.482859e+00;-1.082805e+01
