frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-4.094226e+00;-1.041060e+00;-2.641142e+00;1.104300e+01;8.128805e+00;-6.444083e+00;1.192745e+01;5.791542e+00;1.028123e+01;5.349585e+00;2.936603e+00;7.751571e+00;1.032052e+00;-2.017666e+01
1;0.020000;-7.172110e+00;6.896736e+00;-2.691500e+00;1.358635e+01;3.819650e+00;-8.265513e+00;9.841382e+00;-2.454049e+00;3.806455e+00;-1.178175e+00;6.597593e+00;1.875055e+00;4.500314e+00;-1.670242e+01
2;0.040000;-9.186878e+00;1.338837e+01;-3.513069e+00;1.020562e+01;1.218311e+00;-1.455759e+01;3.340101e+00;-9.022426e+00;-2.732238e+00;4.875574e-01;8.146008e+00;-5.741134e-01;3.455934e+00;-1.047335e+01
3;0.060000;-9.940533e+00;1.697119e+01;-3.707735e+00;7.783702e+00;3.797922e+00;-1.517264e+01;7.719116e-01;-1.041794e+01;-2.300674e+00;1.338949e+00;8.380041e+00;-5.509200e-01;4.079220e+00;-6.440964e+00
4;0.080000;-1.076075e+01;1.789627e+01;-2.688565e+00;6.973969e+00;5.388948e+00;-1.491629e+01;-2.541828e-02;-9.202184e+00;-2.300646e+00;2.444038e-01;6.339717e+00;-4.370708e-01;4.801906e+00;-4.985580e+00
5;0.100000;-1.095181e+01;1.694863e+01;6.269920e-02;6.654146e+00;7.017719e+00;-1.342026e+01;-2.096028e-01;-5.026672e+00;-3.774570e+00;-1.585508e+00;3.703027e+00;-9.672427e-01;4.485082e+00;-4.983337e+00
6;0.120000;-9.434454e+00;1.541146e+01;2.936929e+00;6.425153e+00;8.883927e+00;-1.018065e+01;-3.953547e-01;4.758959e-01;-6.273944e+00;-2.122657e+00;2.277759e+00;-2.231271e+00;3.981637e+00;-6.375473e+00
7;0.140000;-5.340416e+00;1.199924e+01;5.613095e+00;6.197140e+00;7.805825e+00;-5.529264e+00;-6.270938e-01;-1.656513e-01;-8.158079e+00;-1.862351e+00;1.377046e+00;-2.122016e+00;1.180831e+00;-8.634521e+00
8;0.160000;-4.705238e-02;3.145549e+00;-1.933498e+00;-7.110720e-01;2.561728e+00;-5.049598e-01;1.336374e+00;-4.102324e+00;-3.744824e+00;-8.633041e-01;4.260201e+00;-2.351975e+00;-1.063030e-01;-3.498451e+00
9;0.180000;3.608534e+00;1.154569e+00;-8.223392e+00;-7.368463e+00;1.035308e+00;-3.876760e-01;-7.280941e-01;-4.589354e+00;-4.602962e+00;2.279963e-01;6.588161e+00;-2.260945e+00;6.541836e-01;1.284004e+00
