frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;1.221975e+01;5.989273e+00;3.032884e+00;-7.931825e+00;2.602427e+00;1.738719e+01;-5.982824e+00;-1.055207e+01;-1.681902e+01;-1.281896e+01;1.270582e+01;6.174478e+00;-1.547523e-01;-1.339188e+01
1;0.020000;9.692754e+00;4.597252e+00;1.562746e+00;-1.099223e+01;2.191422e+00;1.279639e+01;-1.082135e+01;-1.207394e+01;-1.836407e+01;-1.201661e+01;9.812835e+00;5.700298e+00;-1.910902e+00;-9.776283e+00
2;0.040000;6.504181e+00;7.234736e+00;-5.015653e-01;-9.942814e+00;5.981730e+00;5.328697e+00;-9.963329e+00;-1.341712e+01;-1.494518e+01;-9.723093e+00;7.518564e+00;5.329739e+00;-4.216747e+00;-6.910454e+00
3;0.060000;2.389680e+00;1.053643e+01;-3.465248e+00;-5.665505e+00;9.483044e+00;1.371400e+00;-7.132238e+00;-9.707764e+00;-1.456712e+01;-4.840187e+00;5.604154e+00;7.959861e+00;-4.965498e+00;-5.247002e+00
4;0.080000;-2.223781e+00;1.200746e+01;-6.013333e+00;-1.315041e+00;1.221504e+01;-5.980492e-02;-1.549068e+00;-5.815012e+00;-1.284574e+01;7.969398e-01;3.376849e+00;7.890867e+00;-3.226489e+00;-4.921570e+00
5;0.100000;-3.367475e+00;1.114997e+01;-5.987230e+00;-1.581224e+00;1.221422e+01;3.546090e+00;1.074610e+00;-8.392803e+00;-8.426811e+00;5.598403e+00;2.508440e+00;6.656376e+00;-3.367378e+00;-3.262177e+00
6;0.120000;-7.856359e-01;7.718402e+00;-5.299642e+00;-6.714180e+00;7.254243e+00;6.447209e+00;-3.147125e+00;-1.249826e+01;-4.748120e+00;5.841824e+00;3.294870e+00;4.691375e+00;-3.190301e+00;1.869354e-01
7;0.140000;1.652605e+00;3.689115e+00;-4.141282e+00;-8.967222e+00;2.244042e+00;9.878354e+00;-9.508436e+00;-1.045813e+01;-1.482125e+00;3.710407e+00;4.495491e+00;3.428242e+00;-2.173261e+00;2.547783e+00
8;0.160000;3.180574e+00;1.059792e-01;-5.009465e+00;-1.125531e+01;-4.060314e+00;1.238176e+01;-1.451684e+01;-8.372000e+00;-1.445534e+00;2.488542e-01;5.526060e+00;1.095804e+00;-2.789613e+00;3.890526e+00
9;0.180000;5.034650e+00;-4.004288e-02;-4.095096e+00;-1.070559e+01;-3.379837e+00;1.445994e+01;-1.292686e+01;-7.125126e+00;-9.793558e-01;-2.950025e-01;6.378466e+00;1.446703e+00;-3.652106e+00;3.925972e+00
10;0.200000;7.084609e+00;1.097985e+00;-1.754951e+00;-9.037596e+00;-3.230219e-01;1.638744e+01;-9.341774e+00;-5.500206e+00;1.058063e+00;6.102028e-01;7.714081e+00;3.566564e+00;-2.810829e+00;6.902008e-01
11;0.220000;9.146143e+00;2.023364e+00;1.944464e+00;-1.007611e+01;2.400395e+00;1.807888e+01;-8.042887e+00;-3.394014e+00;2.143530e+00;1.957571e+00;9.160463e+00;5.672656e+00;6.891661e-01;-6.012451e+00
12;0.240000;8.511518e+00;2.636108e+00;3.972363e+00;-1.326601e+01;6.052871e+00;2.058463e+01;-7.108974e+00;-2.819958e+00;-1.299874e+00;2.178318e+00;6.603736e+00;6.308165e+00;2.839706e+00;-1.159981e+01
13;0.260000;5.289913e+00;-4.350749e+00;4.633436e+00;-1.823020e+00;4.861325e+00;-5.854232e+00;-1.929939e+00;-1.841354e-01;-2.390790e+00;1.111214e+00;1.812892e+00;5.353199e+00;5.761973e+00;-7.794441e+00
14;0.280000;5.011201e+00;-5.830867e+00;7.030735e+00;1.319095e+00;-1.983691e+00;-1.090943e+01;-5.757811e+00;3.733799e+00;-1.282601e+00;1.126404e+00;2.954288e+00;5.909555e+00;5.968478e+00;-6.182709e-01
15;0.300000;3.521073e+00;-7.021264e+00;7.025268e+00;2.188190e+00;-9.440264e+00;-8.593121e+00;-8.210905e+00;6.654289e+00;-7.646236e-01;-2.704786e+00;4.661016e+00;5.028687e+00;6.466092e+00;3.664467e+00
16;0.320000;1.306272e+00;-7.909488e+00;5.212671e+00;1.699292e+00;-1.574526e+01;-7.793392e+00;-1.010620e+01;7.342433e+00;-1.649647e-01;-7.857517e+00;5.414173e+00;2.017240e+00;6.076334e+00;4.775665e+00
17;0.340000;6.409292e-01;-7.336040e+00;4.119028e+00;1.500922e+00;-1.633632e+01;-6.786171e+00;-9.726828e+00;8.926155e+00;3.762035e+00;-9.654236e+00;2.994751e+00;1.360965e-01;4.473406e+00;4.685509e+00
18;0.360000;2.260623e+00;-5.889112e+00;3.877105e+00;2.358850e+00;-1.211945e+01;-3.388408e+00;-8.159094e+00;1.047513e+01;8.916227e+00;-7.200217e+00;1.347984e+00;1.515343e+00;5.211901e+00;3.825294e+00
19;0.380000;3.976538e+00;-5.751076e+00;2.501035e+00;8.066058e-02;-4.928982e+00;-1.422407e+00;-1.830168e+00;1.041101e+01;1.167764e+01;-1.451364e+00;-3.549602e+00;3.496667e+00;3.580997e+00;1.673508e+00
20;0.400000;6.608551e+00;-1.018465e+01;-7.003430e-01;-3.846309e+00;-1.844740e+00;-5.980825e-01;1.505484e+00;9.908955e+00;1.189412e+01;4.470608e+00;-8.540213e+00;1.836839e+00;2.417995e+00;3.493118e+00
21;0.420000;6.634464e+00;-1.565541e+01;-3.884120e+00;-6.328384e+00;-3.432325e+00;6.289768e-02;2.196926e+00;1.229892e+01;7.641878e+00;5.791934e+00;-1.315466e+01;2.764564e-01;1.960873e+00;5.209335e+00
22;0.440000;4.798774e+00;-2.028685e+01;-6.671772e+00;-1.000310e+01;-2.289737e+00;1.220049e+00;4.336102e+00;1.385761e+01;3.124342e+00;4.664439e+00;-1.730570e+01;5.415959e-01;2.033126e-01;5.389915e+00
23;0.460000;2.330054e+00;-2.044262e+01;-7.604765e+00;-1.077333e+01;3.880358e-01;4.750002e+00;6.351371e+00;1.420639e+01;1.265745e+00;-2.395759e-01;-1.696915e+01;-1.134070e+00;2.108116e+00;5.108383e+00
24;0.480000;1.007048e+00;-1.967441e+01;-6.733275e+00;-8.622406e+00;1.280233e+00;9.575515e+00;6.422079e+00;1.588811e+01;2.556864e+00;-2.053470e+00;-1.459751e+01;-3.120046e+00;4.632675e+00;5.574738e+00
