frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;8.865540e+00;-8.615549e+00;-7.930162e+00;-1.216836e+01;1.840476e+01;1.205101e+01;1.331644e+01;-1.101078e+01;1.024133e+01;-1.481042e+00;8.039465e-01;-5.993294e+00;7.682969e+00;-1.075394e+00
1;0.020000;7.033201e+00;-1.127269e+01;-8.155230e+00;-1.439540e+01;1.803970e+01;1.229101e+01;1.133237e+01;-1.130944e+01;9.497742e+00;-3.441924e+00;2.012776e+00;-7.535206e+00;7.039305e+00;2.936134e+00
2;0.040000;4.750209e+00;-1.232643e+01;-6.949055e+00;-1.444709e+01;1.808790e+01;1.597031e+01;1.192963e+01;-8.659655e+00;1.064558e+01;-1.543766e+00;2.717882e+00;-7.277190e+00;6.155691e+00;5.809502e+00
3;0.060000;3.282285e+00;-1.153075e+01;-7.879643e+00;-1.441375e+01;1.535468e+01;1.588788e+01;1.143813e+01;-7.766343e+00;1.011146e+01;1.389623e-01;1.113516e+00;-6.550581e+00;3.382409e+00;6.114624e+00
4;0.080000;3.844724e+00;-6.567204e+00;-9.250692e+00;-1.141548e+01;1.073282e+01;1.646273e+01;1.119680e+01;-6.051610e+00;1.116537e+01;4.029702e+00;6.626310e-01;-2.277754e+00;9.726601e-01;5.269539e+00
5;0.100000;3.455030e+00;1.457600e+00;-1.247870e+01;-4.036345e+00;4.629670e+00;1.601196e+01;1.263312e+01;-4.448835e+00;9.335948e+00;6.568548e+00;1.627028e+00;4.123659e-01;1.678842e+00;4.191864e+00
6;0.120000;-9.629679e-01;5.630131e+00;-1.082458e+01;-3.407307e-01;3.530201e+00;1.169179e+01;1.266427e+01;2.185554e+00;5.002806e+00;4.675386e+00;2.030951e+00;2.374761e+00;1.675343e+00;3.357338e+00
7;0.140000;-7.146025e+00;5.124243e+00;-4.556187e+00;3.535180e+00;5.833459e+00;1.096146e+01;1.042185e+01;6.003682e+00;4.394669e+00;3.847147e+00;3.772450e+00;4.718937e+00;5.117479e+00;2.208969e+00
8;0.160000;-1.119992e+01;2.836395e+00;-4.112079e+00;2.094006e+00;5.119913e+00;9.627005e+00;1.019942e+01;6.460779e+00;3.698866e+00;4.109893e+00;4.135615e+00;8.602677e+00;9.944057e+00;4.329987e-01
9;0.180000;-1.152378e+01;2.720519e+00;-5.361513e+00;1.816063e+00;4.382836e+00;6.381310e+00;7.703445e+00;4.039248e+00;2.290656e+00;4.147809e+00;4.099888e+00;9.265848e+00;1.080099e+01;-1.758514e+00
10;0.200000;-1.033952e+01;3.819562e+00;-6.608539e+00;3.178990e+00;2.678395e+00;3.396317e+00;4.787807e+00;1.684156e+00;1.957629e+00;6.695406e+00;5.198699e+00;9.522787e+00;9.426291e+00;-3.859871e+00
11;0.220000;-1.096744e+01;5.408242e+00;-5.346435e+00;3.668248e+00;1.340380e+00;4.003373e+00;5.463556e+00;6.390301e-01;3.337145e+00;7.728419e+00;3.843577e+00;8.568913e+00;7.857626e+00;-3.832596e+00
12;0.240000;-6.918848e+00;8.617682e+00;-4.604807e+00;4.012906e+00;-1.011127e+00;2.637040e+00;3.571873e+00;-1.582142e+00;3.790746e-01;-3.980660e-02;-2.947173e+00;1.511266e+00;3.795031e+00;4.707031e-01
13;0.260000;-1.429728e+00;1.045804e+01;-6.429621e+00;-7.250996e-01;-5.766931e+00;3.497126e+00;4.823889e+00;-1.272620e+00;-8.392987e-01;-4.727325e+00;-4.068954e+00;1.038819e+00;3.549352e+00;4.416801e+00
14;0.280000;2.010577e+00;1.015387e+01;-4.355186e+00;-8.474332e+00;-1.209770e+01;8.009029e+00;3.256139e+00;-2.684320e+00;-8.973169e-01;-8.003256e+00;-4.259770e+00;1.347292e+00;4.447567e+00;5.474503e+00
15;0.300000;5.375014e+00;7.476752e+00;-6.909852e-01;-1.638462e+01;-1.813087e+01;1.462340e+01;-6.811409e-01;-2.009063e+00;-1.017443e+00;-9.685644e+00;-1.437500e+00;2.433159e+00;6.367107e+00;4.722862e+00
16;0.320000;6.521825e+00;1.553889e+00;-1.165805e+00;-2.030151e+01;-2.057416e+01;1.372404e+01;-6.011561e+00;-4.567162e+00;-4.628303e+00;-1.284603e+01;4.761319e-01;1.340333e+00;5.132573e+00;4.667503e+00
17;0.340000;6.648886e+00;-1.607877e+00;-2.832228e+00;-1.812894e+01;-1.543787e+01;1.280147e+01;-4.813653e+00;-6.347558e+00;-6.199108e+00;-7.217392e+00;6.578557e+00;2.155294e+00;3.596768e+00;5.822990e+00
18;0.360000;6.144624e+00;-4.722711e+00;-4.317151e+00;-1.634391e+01;-8.804106e+00;1.051504e+01;-4.943477e+00;-5.625944e+00;-6.506313e+00;1.623640e+00;1.079195e+01;1.679109e+00;-4.802647e-01;6.959793e+00
19;0.380000;4.831698e+00;-7.363832e+00;-5.868756e+00;-1.423543e+01;-3.977759e+00;4.224551e+00;-8.294929e+00;-4.866414e+00;-5.256516e+00;5.221494e+00;6.783008e+00;-1.658823e+00;-5.211204e+00;7.218971e+00
20;0.400000;1.424749e+00;-1.402469e+00;-8.282242e+00;-4.665124e+00;-1.007475e+00;-3.670306e-01;-7.210805e+00;-2.843076e+00;1.995707e-02;7.014519e+00;2.496875e+00;-2.356573e+00;-5.631319e+00;8.556023e+00
21;0.420000;-4.433784e+00;6.481651e+00;-7.435639e+00;-4.525604e-01;1.900385e+00;-6.227708e+00;-4.636996e+00;-2.076597e+00;8.656738e-01;5.975727e+00;-2.530545e+00;-5.245950e+00;-2.411788e+00;9.360672e+00
22;0.440000;-9.776066e+00;1.296101e+01;-4.335495e+00;1.395154e+00;4.094950e+00;-7.561078e+00;-1.396176e+00;2.028290e-01;1.244983e+00;5.557207e+00;-3.097116e+00;-5.000130e+00;6.992435e-02;7.829178e+00
23;0.460000;-1.442572e+01;1.591943e+01;-5.318557e+00;1.840282e+00;5.294714e+00;-6.524793e+00;2.910121e+00;-3.777185e-01;-9.339790e-01;5.605511e+00;1.212904e+00;-6.192002e-01;-6.946144e-01;4.306725e+00
24;0.480000;-1.708506e+01;1.644006e+01;-7.731922e+00;4.657771e+00;4.636440e+00;-5.638423e+00;9.874165e+00;-2.482942e-01;-9.610810e-01;5.190242e+00;1.889882e+00;9.721469e+00;4.192576e+00;9.763107e-01
25;0.500000;-1.685118e+01;1.766187e+01;-5.118390e+00;8.813262e+00;4.602699e+00;-4.786896e+00;1.284401e+01;-2.757866e+00;7.310591e-01;4.061489e+00;-5.437822e-01;1.319338e+01;5.045643e+00;6.187134e-01
26;0.520000;-1.362677e+01;1.749597e+01;-1.799720e+00;9.384715e+00;-3.998728e-01;-1.233876e+01;8.669620e+00;-9.014317e+00;-8.196463e+00;-5.100139e+00;-4.991908e+00;7.614696e+00;2.431936e-01;2.295059e+00
27;0.540000;-7.995810e+00;1.304643e+01;3.278434e+00;9.271870e+00;-3.714902e+00;-1.368979e+01;6.713315e+00;-6.373533e+00;-9.320181e+00;-7.623638e+00;-1.512093e+00;5.260017e+00;3.753568e+00;5.379326e+00
28;0.560000;-5.232450e+00;8.227651e+00;6.323258e+00;9.001475e+00;-4.479110e+00;-1.340801e+01;3.393815e+00;-4.307508e+00;-9.333197e+00;-1.028823e+01;-5.053988e-01;4.185709e+00;7.036254e+00;6.375038e+00
29;0.580000;-6.688616e+00;9.606412e+00;3.588469e+00;1.012964e+01;-4.485092e+00;-1.479886e+01;3.708622e+00;-4.759446e+00;-9.729551e+00;-9.960302e+00;-3.185050e+00;4.525918e+00;6.574657e+00;5.907211e+00
30;0.600000;-8.319763e+00;1.526100e+01;6.358953e-01;1.415667e+01;-2.452555e+00;-1.346200e+01;8.502028e+00;-2.883418e+00;-6.440031e+00;-5.177771e+00;-4.287694e+00;6.944472e+00;7.144391e+00;3.143379e+00
31;0.620000;-1.111676e+01;1.763624e+01;-1.294013e+00;1.675544e+01;1.088156e+00;-9.565031e+00;1.032737e+01;-4.320109e+00;-2.280241e+00;-2.841003e+00;-5.299480e+00;5.917361e+00;3.469711e+00;-1.460968e+00
32;0.640000;-1.222780e+01;1.471795e+01;-3.050070e+00;1.805424e+01;3.290984e+00;-7.115927e+00;1.057198e+01;-5.200968e+00;-1.953466e+00;-6.931545e+00;-4.974749e+00;5.740510e+00;2.753832e+00;-5.677139e+00
33;0.660000;-6.141815e+00;1.191046e+01;-4.394926e+00;1.142077e+01;1.509737e+00;-5.181661e+00;1.120959e+01;2.834032e+00;7.237235e+00;-2.317900e+00;2.120055e+00;9.139710e+00;5.068971e+00;-6.752274e+00
34;0.680000;-1.928005e-01;1.667616e+00;-7.342699e+00;-4.020463e+00;4.167205e+00;-3.297023e+00;1.985369e+00;7.106986e+00;1.224827e+01;5.436952e+00;-1.307953e+00;1.515800e+00;4.136392e+00;7.680740e-01
35;0.700000;1.504514e+00;-4.231742e+00;-8.906445e+00;-1.108046e+01;3.853165e+00;-4.460511e+00;-1.416090e+00;4.526407e+00;1.124057e+01;5.348622e+00;-6.740983e+00;-4.946906e+00;1.803466e+00;6.378448e+00
36;0.720000;2.508535e+00;-8.618173e+00;-7.410426e+00;-1.413011e+01;6.791136e+00;-4.699934e+00;3.926209e+00;1.688924e+00;1.318826e+01;6.697063e+00;-6.080811e+00;-7.740439e+00;7.254229e-01;9.087883e+00
37;0.740000;2.438128e+00;-1.262766e+01;-6.242924e+00;-1.795083e+01;9.626342e+00;-6.194571e+00;8.395037e+00;-3.829719e+00;1.404023e+01;5.045219e+00;-5.283349e+00;-1.049151e+01;-3.070149e+00;9.004425e+00
38;0.760000;3.551772e+00;-1.142931e+01;-5.066896e+00;-1.825484e+01;1.076350e+01;-4.416159e+00;8.923135e+00;-8.155725e+00;1.131711e+01;5.098950e+00;-3.245521e+00;-8.906853e+00;-4.173425e+00;7.794418e+00
39;0.780000;6.183793e+00;-7.268317e+00;-4.939696e+00;-1.457395e+01;9.834433e+00;-2.719879e-02;9.021602e+00;-8.852870e+00;7.815608e+00;5.137064e+00;5.245323e-01;-6.002794e+00;-3.250894e+00;5.015625e+00
40;0.800000;6.539321e+00;-4.673574e+00;-7.401269e+00;-7.969527e+00;3.696571e+00;2.934396e+00;4.560979e+00;-7.626182e+00;2.215337e+00;2.232272e+00;8.291750e-01;-7.642210e+00;-3.448500e+00;-3.814163e-01
41;0.820000;2.960473e+00;-1.545114e+00;-4.452075e+00;2.346492e+00;5.049362e-01;3.704948e+00;1.000775e+01;-3.589844e+00;9.560711e+00;1.339635e+00;2.095938e-01;-2.103142e+00;6.574297e-01;-3.760330e+00
42;0.840000;3.741355e+00;-1.546317e+00;-7.212634e+00;-3.574140e+00;-2.059036e+00;2.190858e+00;8.357986e+00;-8.378560e+00;6.587326e+00;2.742618e+00;7.687334e+00;3.347181e+00;-1.525008e+00;-5.371704e-01
43;0.860000;5.809084e+00;-3.925615e+00;-1.131564e+01;-1.193800e+01;-5.868902e-01;2.191498e+00;2.156267e+00;-1.041771e+01;2.817994e+00;3.768650e+00;5.492252e+00;-3.999484e+00;-5.813803e+00;2.703049e+00
