frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;8.143214e+00;-1.476349e+01;-1.074170e+01;-3.721338e+00;1.278721e+01;3.953323e+00;3.505163e+00;-3.119640e+00;5.981842e+00;-1.182598e+01;-1.156223e+00;-4.845347e+00;1.157109e+00;-4.896416e+00
1;0.020000;7.280877e+00;-2.498192e+00;-1.195281e+01;1.178916e+00;7.456179e+00;6.905941e+00;8.111904e-01;-1.368795e+00;5.596002e+00;-8.873268e+00;-1.161765e+00;-4.630779e+00;2.120470e+00;-4.583900e+00
2;0.040000;3.836569e+00;5.906698e+00;-1.145794e+01;5.607546e+00;2.665777e+00;7.065134e+00;4.352112e+00;-1.521948e+00;3.258556e+00;-5.597911e+00;5.636773e-01;-4.259833e+00;3.105618e+00;-5.366112e+00
3;0.060000;-2.191942e+00;9.470328e+00;-5.760512e+00;1.104683e+01;1.676073e-01;6.017486e+00;7.918047e+00;-1.039973e+00;1.168836e+00;-2.495096e+00;1.489542e+00;-3.108465e+00;5.062128e+00;-7.068108e+00
4;0.080000;-4.541934e+00;1.246684e+01;-7.405181e-01;1.743476e+01;3.035117e+00;6.448956e+00;3.140887e+00;-2.051214e+00;6.701713e-01;-4.182321e-01;1.835701e+00;-3.790402e+00;4.374488e+00;-7.258720e+00
5;0.100000;-4.693814e+00;1.354840e+01;-1.043497e+00;1.831985e+01;2.707099e+00;6.326675e+00;4.931092e-02;-4.430294e-03;1.437717e+00;-5.175356e-01;3.399058e+00;-2.875021e+00;2.592598e+00;-7.383247e+00
6;0.120000;-6.987592e+00;1.029750e+01;-4.277465e+00;1.902161e+01;5.134373e+00;9.633039e+00;-1.498392e-01;8.501382e-01;6.153007e-01;-7.369616e-01;5.845272e+00;-5.554814e-01;2.963436e+00;-8.893753e+00
7;0.140000;-9.150504e+00;6.171816e+00;-1.002483e+01;1.407614e+01;3.219171e+00;9.526887e+00;-1.282284e+00;1.563895e+00;8.382878e-01;-3.486873e-01;6.445565e+00;1.094608e+00;4.997515e+00;-9.603203e+00
8;0.160000;6.131401e-01;9.514291e+00;-1.667969e+01;-6.865129e-01;-8.426163e+00;6.294989e+00;-1.994271e+00;-8.587751e-01;-2.328256e+00;-4.109179e+00;6.832345e+00;2.427110e+00;6.173267e+00;-4.959328e+00
9;0.180000;6.056255e+00;5.046833e+00;-1.488664e+01;-8.489191e+00;-1.045668e+01;1.085972e+01;-3.947039e+00;-5.377120e+00;-2.284794e+00;-4.237739e+00;4.615476e+00;1.880055e+00;5.669027e+00;-1.278809e+00
