frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-2.249196e+00;1.847074e+00;-6.547958e+00;-7.158906e+00;7.405468e+00;1.711829e+00;-2.996946e+00;-2.082016e+00;6.650393e+00;4.051031e+00;-4.503382e+00;-1.029476e+01;3.491725e+00;3.205849e+00
1;0.020000;-5.836257e+00;8.717288e+00;-5.820417e+00;1.971627e+00;7.020883e+00;3.071830e+00;-1.167933e+00;8.996186e-01;9.585859e+00;1.266635e+00;-1.973656e+00;-5.678387e+00;1.316167e+00;2.001808e+00
2;0.040000;-9.296037e+00;1.378946e+01;-1.117613e+00;7.269886e+00;6.955732e+00;5.814087e+00;8.917751e-01;3.969657e+00;1.161537e+01;3.953023e+00;5.219569e+00;-1.761219e+00;-7.208087e-01;-1.843338e-01
3;0.060000;-8.422238e+00;1.397225e+01;-1.973621e+00;3.197371e+00;2.147141e+00;5.397216e+00;2.482288e+00;6.074904e+00;1.030462e+01;3.948521e+00;7.728876e+00;1.390862e+00;4.720404e+00;3.891754e-02
4;0.080000;-5.385369e+00;8.516995e+00;-3.831167e+00;4.599948e-01;-3.172519e+00;2.893465e+00;2.686675e+00;4.184481e+00;7.281704e+00;1.761200e+00;5.976388e+00;5.434803e+00;1.256833e+01;1.127487e+00
5;0.100000;-2.155994e+00;1.416621e+00;-2.960327e+00;-1.277834e+00;-1.794852e+00;1.847171e+00;1.780963e-01;2.507232e+00;5.095401e+00;1.617875e+00;5.943471e+00;4.913656e+00;1.382634e+01;8.459167e-01
6;0.120000;-1.951265e-01;-7.223097e+00;-2.785341e+00;-3.890056e+00;2.878999e+00;-8.340530e-01;-5.337253e+00;-1.447620e-01;-8.007431e-01;2.912687e-01;4.914174e+00;1.996125e+00;1.279310e+01;9.868698e-01
7;0.140000;-1.287263e+00;-1.162855e+01;-2.487879e+00;-6.939703e+00;1.148587e+00;-3.021988e+00;-7.385931e+00;1.929595e+00;-4.776589e+00;1.195502e+00;1.292995e+00;1.904727e+00;1.369642e+01;1.745529e+00
8;0.160000;-2.571205e+00;-1.169972e+01;-1.063129e+00;-8.060214e+00;-3.814834e+00;-3.933173e+00;-5.412385e+00;6.450714e+00;-7.033248e+00;3.671841e+00;-4.931047e+00;3.302604e+00;1.326926e+01;1.514717e+00
9;0.180000;-2.907784e+00;-7.672119e+00;1.385618e+00;-6.582894e+00;-7.813199e+00;-3.493863e+00;3.478360e-01;5.414790e+00;-8.566031e+00;4.769037e+00;-7.344289e+00;7.359880e+00;1.358639e+01;1.191711e+00
10;0.200000;-2.344099e+00;-4.765833e+00;1.021275e+00;-4.955549e+00;-8.495864e+00;-3.481672e+00;1.467303e+00;-1.092532e+00;-8.132453e+00;5.073095e+00;-5.152672e+00;9.938960e+00;1.212589e+01;5.350342e-01
11;0.220000;-1.894505e+00;-6.509255e-01;1.040936e+00;-2.397309e+00;-6.204364e+00;-2.033335e+00;2.070194e+00;-3.559686e+00;-4.208317e+00;2.500415e+00;-1.469447e+00;7.680166e+00;1.090046e+01;-2.116272e+00
12;0.240000;-3.890119e+00;2.896169e+00;2.405610e+00;-1.247319e+00;-5.084949e+00;-8.186474e-01;2.289265e+00;-3.043947e-01;1.700730e+00;-3.061435e+00;4.457115e+00;3.688853e+00;5.610588e+00;-3.669373e+00
13;0.260000;-3.559043e+00;-2.279198e-01;1.766857e+00;-1.521641e+00;-1.027574e+01;-3.103794e+00;5.797906e+00;2.666710e+00;1.739488e+00;-4.534403e+00;7.365036e-01;2.764977e+00;5.644606e+00;-1.479347e+00
14;0.280000;-1.188923e+00;-2.662023e+00;2.947683e+00;-1.257987e+00;-1.357193e+01;-3.940043e+00;4.752263e+00;1.937374e+00;1.106456e+00;-4.043593e+00;-4.578514e+00;1.384793e+00;3.236746e+00;-1.173248e-01
15;0.300000;1.510845e+00;-5.541697e+00;5.058152e+00;-1.023444e+00;-1.281724e+01;-4.408766e+00;2.364345e+00;4.513103e+00;5.239511e+00;-2.605301e+00;-8.036120e+00;2.087766e+00;6.921322e-01;2.937469e-01
16;0.320000;1.912129e+00;-7.873888e+00;6.982480e+00;-1.652062e+00;-9.114041e+00;-4.721491e+00;2.561716e+00;7.599973e+00;8.360078e+00;1.538645e+00;-8.097701e+00;4.753668e+00;-5.680707e-01;4.509735e-01
17;0.340000;-1.964021e-01;-4.751968e+00;4.045439e+00;-1.108519e+00;-8.471019e+00;-7.673220e+00;5.472622e+00;4.865167e+00;6.796128e+00;1.189062e+00;-7.082175e+00;3.595379e+00;-1.391325e+00;1.248131e+00
18;0.360000;-3.201646e+00;6.325606e-01;-1.360057e+00;3.459793e-01;-1.144011e+01;-8.335285e+00;3.613974e+00;3.046117e-01;2.773884e+00;-3.525467e+00;-6.285890e+00;-5.133616e-01;-2.905000e+00;1.312721e+00
19;0.380000;-4.544396e+00;7.383412e+00;-3.117827e+00;2.557120e+00;-1.083028e+01;-6.369490e+00;1.801887e+00;-1.511473e+00;6.774685e-01;-9.666711e+00;-5.448831e+00;-5.291723e+00;-4.355932e+00;2.943039e-01
20;0.400000;-4.077497e+00;1.042620e+01;-3.144531e+00;3.046455e+00;-9.519328e+00;-4.415543e+00;3.284543e+00;1.739684e+00;2.937884e+00;-1.159730e+01;-3.996122e+00;-6.075428e+00;-9.721599e-01;-2.195663e-01
21;0.420000;-1.760302e+00;6.069813e+00;5.430002e-01;3.474309e+00;-1.098074e+01;-1.572515e+00;9.186340e+00;1.813905e+00;6.899182e+00;-9.049059e+00;-7.741208e+00;-3.836533e+00;1.370980e+00;1.900330e+00
22;0.440000;9.838586e-01;2.260705e-01;1.154261e+00;1.499077e+00;-8.646777e+00;5.673866e-01;9.498991e+00;1.686499e+00;9.014925e+00;-5.055490e+00;-1.149480e+01;1.004974e+00;3.741035e+00;3.233170e+00
23;0.460000;2.774131e+00;-5.494362e+00;-8.472147e-01;8.851937e-01;-6.818423e+00;1.951859e+00;6.414607e+00;3.780875e+00;7.416610e+00;2.059610e+00;-1.276899e+01;9.270714e+00;6.319368e+00;3.188652e+00
24;0.480000;3.494367e+00;-9.298347e+00;-4.588547e+00;2.961483e+00;-8.175225e+00;5.561171e+00;1.535321e+00;3.323785e+00;4.440676e+00;6.204612e+00;-6.283010e+00;1.415127e+01;9.025484e+00;2.621429e+00
25;0.500000;2.342891e+00;-1.218831e+01;-6.214739e+00;9.827760e+00;-1.421323e+01;5.826007e+00;-5.078525e+00;1.942139e+00;-1.305756e+00;4.118061e+00;7.802856e+00;1.158279e+01;7.240770e+00;2.078926e+00
26;0.520000;2.001251e+00;-1.195816e+01;-4.454741e+00;1.194447e+01;-1.562274e+01;4.797750e+00;-6.175596e+00;4.774152e+00;-5.832567e+00;2.400932e+00;1.339203e+01;5.650431e+00;3.525642e+00;1.593788e+00
27;0.540000;2.768578e+00;-8.884758e+00;-3.262646e+00;9.985321e+00;-1.426690e+01;-6.104898e-01;-1.952722e+00;8.564965e+00;-7.831970e+00;1.550578e+00;1.594899e+01;5.325541e+00;3.630093e+00;-2.961807e-01
28;0.560000;2.953770e+00;-5.417593e+00;-5.689011e-01;6.215780e+00;-7.443769e+00;-3.771517e+00;1.294211e+00;7.447434e+00;-3.784314e+00;-2.068343e+00;1.514532e+01;4.999382e+00;1.990748e+00;-2.420311e+00
29;0.580000;-2.048141e+00;-2.433904e+00;2.923930e+00;4.918126e+00;4.263687e-02;-2.764600e+00;1.839084e+00;6.242239e+00;4.794308e+00;-5.074781e+00;1.058282e+01;4.060776e+00;1.596091e+00;-3.529053e-01
30;0.600000;-3.018764e+00;-2.268440e+00;4.317074e-01;4.570420e+00;1.479512e+00;-1.205982e+00;3.223428e+00;6.206983e+00;5.061413e+00;-5.043246e+00;8.727350e+00;5.048862e+00;2.193369e+00;2.385231e+00
31;0.620000;-1.438260e-01;-5.347604e+00;-6.196154e+00;4.208908e-01;1.677863e+00;1.930167e+00;4.741111e+00;6.203022e-01;2.176291e+00;-3.290357e+00;5.344521e+00;6.944643e+00;4.689317e+00;4.165115e+00
32;0.640000;3.193283e+00;-1.063932e+01;-1.031194e+01;-3.634472e+00;1.361279e+00;1.315130e+00;1.825106e+00;-3.225502e+00;-7.460928e-01;2.891243e-01;7.487173e-01;3.885570e+00;3.649551e+00;4.534042e+00
33;0.660000;4.037326e+00;-1.346003e+01;-1.097815e+01;-7.904910e+00;4.395841e+00;1.540215e+00;-1.184604e+00;-3.514163e+00;-5.137207e+00;1.514986e+00;-2.651653e+00;1.011185e+00;-2.263958e+00;4.352066e+00
34;0.680000;2.492058e+00;-1.230355e+01;-9.609526e+00;-9.046220e+00;8.150486e+00;-2.634258e-01;-1.904766e+00;-4.767807e+00;-8.147718e+00;4.357353e-01;-4.713443e+00;3.640501e-01;-6.630702e+00;4.012032e+00
35;0.700000;2.800495e+00;-9.110562e+00;-7.425797e+00;-5.651530e+00;1.049099e+01;-5.447209e+00;-3.721080e+00;-5.337983e+00;-8.730737e+00;-2.497259e+00;-5.824391e+00;-3.898740e-03;-7.288777e+00;2.625130e+00
36;0.720000;5.259137e+00;-4.372456e+00;-6.928637e+00;-1.441969e+00;1.108863e+01;-8.822071e+00;-2.562431e+00;-1.673945e+00;-6.149299e+00;-2.317412e+00;-4.856109e+00;-2.200345e+00;-6.654892e+00;-4.168930e-01
37;0.740000;7.726824e+00;-2.065729e+00;-6.692064e+00;1.058720e+00;9.128647e+00;-6.804813e+00;-2.231199e+00;-1.141491e-01;-2.724748e+00;-1.157934e+00;-2.171673e+00;-3.171221e+00;-5.033105e+00;-5.254311e+00
38;0.760000;7.047201e+00;-1.162616e+00;-7.149986e+00;-8.392928e-01;6.802822e+00;-1.404667e-01;-4.125817e+00;1.822505e+00;-6.111426e+00;2.686935e+00;-4.813194e-02;-1.755307e+00;-3.878517e-01;-7.087914e+00
39;0.780000;4.886844e+00;1.744602e+00;-6.135984e+00;-2.090537e+00;1.081681e+01;6.458245e+00;-1.965786e+00;3.116419e-01;-7.955357e+00;1.647756e+00;9.059105e-01;-5.373764e-02;-7.090852e-01;-5.072105e+00
40;0.800000;5.352163e+00;2.410131e+00;-3.863247e+00;-2.954602e+00;1.293843e+01;7.086629e+00;-1.262275e+00;-1.283919e+00;-7.252534e+00;5.090622e+00;1.841291e+00;-2.493843e+00;-2.279382e+00;-3.521950e+00
41;0.820000;5.836281e+00;-1.011765e+00;4.203625e-01;7.672001e-01;1.151264e+01;2.980986e-01;-3.843013e+00;8.522115e-01;-3.384732e+00;8.596587e+00;7.622452e-01;-2.877118e+00;-1.256686e+00;-8.490677e-01
42;0.840000;4.195270e+00;-3.553417e+00;2.655008e+00;2.161851e+00;5.294527e+00;-4.112524e+00;-4.147329e+00;2.778979e+00;5.922198e-01;1.074112e+01;6.821632e-03;7.354610e-01;1.271174e+00;1.710121e+00
43;0.860000;1.422930e+00;-3.056158e+00;3.405156e+00;1.307451e+00;1.244164e-02;-7.439045e+00;-1.261722e+00;2.130746e+00;3.683970e+00;8.629515e+00;1.231848e+00;4.523891e+00;2.461581e+00;2.662743e+00
44;0.880000;-1.247519e+00;9.238070e-01;3.285537e+00;2.529278e+00;-3.738351e+00;-8.650448e+00;8.246984e-01;-3.330903e+00;1.985574e+00;1.314383e+00;2.545295e+00;2.949050e+00;6.780679e-01;2.017639e+00
45;0.900000;-3.069146e+00;6.054051e+00;-1.192842e+00;5.640876e+00;-3.073241e+00;-5.546468e+00;-1.091331e+00;-6.835032e+00;9.123163e-01;-5.778506e+00;1.457530e+00;-2.282269e+00;-1.708607e+00;3.549423e-01
46;0.920000;-3.334635e+00;7.765057e+00;-4.642687e+00;6.055276e+00;-8.704348e-01;-6.521235e+00;-3.907532e+00;-6.004079e+00;1.945715e+00;-4.420302e+00;-1.142757e+00;-6.047833e+00;-1.087020e+00;-5.770874e-02
