frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;1.011839e+00;-4.824231e-01;4.973711e+00;-5.984196e+00;-4.380620e+00;5.052609e+00;1.076197e+01;6.965502e+00;-6.762445e+00;6.345749e-03;6.723495e-01;-2.371173e+00;-6.251583e-01;-1.182152e+00
1;0.020000;-5.621378e+00;1.046588e+00;7.950243e+00;-5.050373e+00;-5.881911e+00;4.280050e+00;1.223719e+01;4.603724e+00;-9.130241e+00;-2.516644e+00;4.489507e+00;-6.170939e+00;-1.857462e+00;-1.376579e+00
2;0.040000;-1.139456e+01;-4.499207e-01;8.466223e+00;-2.401682e+00;-4.496769e+00;5.558157e+00;1.266179e+01;4.171211e+00;-8.424511e+00;-2.051189e+00;4.884060e+00;-6.987107e+00;-3.191141e+00;-1.979347e+00
3;0.060000;-1.443729e+01;-3.111783e+00;7.206919e+00;-6.602597e-01;-4.896513e+00;3.494706e+00;1.188173e+01;6.055518e+00;-4.527674e+00;-1.776746e+00;4.193406e+00;-4.997931e+00;-1.208681e+00;-2.169479e+00
4;0.080000;-1.510978e+01;-5.017391e+00;6.570433e+00;1.527548e+00;-5.200858e+00;-1.317024e+00;1.162344e+01;1.101372e+01;1.872410e+00;2.645341e+00;7.253187e+00;-2.110860e+00;5.547199e-01;-2.329208e+00
5;0.100000;-1.436303e+01;-7.370882e+00;5.879016e+00;3.549248e+00;-4.312043e+00;-3.694344e+00;1.128666e+01;1.530504e+01;5.176639e+00;3.354606e+00;8.835608e+00;-2.641101e-01;2.957858e+00;-2.523300e+00
6;0.120000;-1.272022e+01;-9.110406e+00;5.629058e+00;4.688118e+00;-4.625026e+00;-5.019567e+00;1.162356e+01;1.632783e+01;7.633975e+00;1.707453e+00;1.062656e+01;1.956931e+00;4.863791e+00;-2.877304e+00
7;0.140000;-8.915746e+00;-7.706864e+00;6.461265e+00;5.645004e+00;-5.757118e+00;-7.734554e+00;9.693671e+00;1.126458e+01;3.535259e+00;-1.888281e+00;6.293874e+00;-7.375131e-01;1.616724e+00;-2.808601e+00
8;0.160000;-4.373426e-01;-3.622484e+00;3.555966e+00;-3.248615e-01;-8.726591e+00;-7.131119e+00;8.061752e+00;5.007627e+00;-2.533243e+00;-3.204300e+00;2.474325e+00;-2.212280e+00;-1.536641e+00;-1.408676e+00
9;0.180000;3.830228e+00;-2.082421e+00;5.682223e-01;-3.913314e+00;-7.139863e+00;-3.517498e+00;8.866576e+00;1.979089e+00;-9.132395e-01;2.266859e+00;-2.529945e-01;-3.504446e+00;-1.269006e+00;1.463486e+00
10;0.200000;4.075978e+00;-1.871160e+00;-9.606200e-02;-4.971874e+00;-5.072469e+00;-3.519796e+00;7.971474e+00;3.813514e+00;-2.063257e+00;4.662820e+00;-6.671424e-01;-5.248757e+00;4.572067e-01;3.551033e+00
11;0.220000;2.949460e+00;-1.056790e+00;2.576633e+00;-8.773752e+00;-2.310649e+00;-3.489174e+00;2.294166e+00;7.596080e+00;-4.638403e+00;3.304163e+00;4.294300e-02;-5.713839e+00;-1.089325e-01;3.561577e+00
12;0.240000;1.987717e+00;-1.441022e+00;6.104200e+00;-8.327961e+00;-5.299145e-01;-5.678404e+00;-8.720241e-01;1.200363e+01;-4.819695e+00;4.082794e-01;4.738164e-01;-4.539555e+00;-2.180813e+00;2.892082e+00
13;0.260000;3.169998e+00;-5.257826e+00;5.179923e+00;-4.753433e+00;-8.969957e-01;-6.799780e+00;8.766294e-02;1.140030e+01;-5.162443e+00;-1.839728e+00;-1.065360e+00;-4.060741e+00;-4.368091e+00;3.019730e+00
14;0.280000;4.809718e+00;-6.870125e+00;2.079563e+00;-1.464378e+00;-2.265048e+00;-5.289547e+00;2.758824e+00;6.373054e+00;-2.859250e+00;-3.280410e+00;-3.802370e+00;-1.292268e+00;-6.964274e+00;2.578712e+00
15;0.300000;3.274688e+00;-4.315874e+00;3.432267e-01;-1.750456e+00;2.322708e+00;-5.067314e+00;3.845287e+00;2.453265e+00;-1.847969e+00;-3.733817e+00;-4.555942e+00;-1.460198e+00;-2.795524e+00;2.368317e+00
16;0.320000;-1.696870e+00;-1.866524e+00;8.470355e-01;-4.692078e-02;7.185647e+00;-2.300642e+00;2.781525e+00;2.278751e+00;-3.874617e-01;-2.776271e+00;-3.634021e+00;-2.719583e+00;2.836430e+00;2.403404e+00
17;0.340000;-7.742286e+00;-2.449607e+00;8.951827e-01;3.583530e+00;1.013030e+01;1.134155e+00;4.849187e+00;6.001482e+00;-2.997103e-01;-2.242365e-01;-3.358528e+00;-4.075277e+00;3.487519e+00;2.510376e+00
18;0.360000;-1.187144e+01;-4.904882e+00;2.152705e-02;5.092299e+00;1.172967e+01;3.194298e+00;6.363253e+00;8.974197e+00;2.140270e+00;2.127159e+00;-2.303642e+00;-3.841450e+00;4.389814e+00;2.542374e+00
19;0.380000;-1.203034e+01;-7.019353e+00;-2.450343e+00;2.507277e+00;1.215570e+01;5.044613e+00;7.727974e+00;9.216665e+00;1.317000e+00;2.173071e+00;-9.649224e-01;-2.109433e+00;5.776943e+00;2.578156e+00
20;0.400000;-5.257920e+00;-5.253728e+00;-5.467842e+00;-4.324667e+00;6.907064e+00;9.195642e-01;5.878598e+00;6.191504e+00;-5.084650e+00;-3.185546e+00;-4.800072e+00;-4.720082e+00;2.972341e+00;3.718262e+00
21;0.420000;1.480925e+00;-7.225782e+00;-8.922726e+00;-7.232383e+00;3.099401e+00;-4.006853e+00;7.251662e+00;6.455846e+00;-8.612875e+00;-6.637362e+00;-9.027515e+00;-6.142400e+00;2.264072e+00;5.532280e+00
