frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;8.655186e+00;-6.744327e+00;-2.367798e+00;-1.478605e+01;3.754248e+00;1.335791e+00;-3.944536e+00;7.795844e+00;1.135735e+00;-1.245920e+01;1.304986e+00;7.842273e+00;6.049419e+00;5.881119e-01
1;0.050000;6.005103e+00;-4.826263e+00;2.456756e+00;-1.336500e+01;7.666752e+00;5.083270e+00;-5.133426e+00;6.924478e+00;3.155972e+00;-1.158613e+01;3.233746e+00;6.809559e+00;6.219140e+00;-2.893074e+00
2;0.100000;6.385709e+00;-3.225863e-01;7.103037e+00;-8.759317e+00;1.620450e+01;7.389121e+00;-6.949679e+00;3.798037e+00;2.573917e+00;-6.074135e+00;2.261084e+00;3.280945e+00;1.326184e-01;-5.978378e+00
3;0.150000;8.453531e+00;-4.352830e+00;-4.662148e+00;-7.683695e+00;1.928120e+01;2.311004e+00;-1.049664e+00;1.902214e+00;6.057917e+00;-5.250313e+00;5.412376e-01;6.045993e+00;3.896134e+00;-2.653152e+00
4;0.200000;6.218268e+00;-1.146763e+01;-8.338108e+00;-7.267841e+00;1.022145e+01;5.487695e-01;5.698824e+00;1.929861e+00;1.017583e+01;-7.641766e+00;1.597640e+00;5.653632e+00;4.778373e+00;2.962753e+00
5;0.250000;3.205056e+00;-1.381193e+01;-8.151369e+00;-8.026388e+00;3.015911e+00;1.455966e+00;4.745383e+00;3.141359e+00;5.767529e+00;-1.085876e+01;1.228645e+00;2.634826e+00;3.053351e+00;5.927567e+00
6;0.300000;3.484459e-01;-1.461889e+01;-6.342714e+00;-9.567736e+00;-3.117966e+00;1.032935e+00;3.397941e+00;2.542401e+00;-5.608273e-01;-1.151683e+01;4.340446e-01;1.271179e+00;-2.518470e-01;5.180611e+00
7;0.350000;-1.465752e+00;-1.183862e+01;-1.730568e-01;-7.703087e+00;-5.458887e+00;2.958336e+00;3.087355e+00;2.763641e+00;-5.827257e+00;-5.759040e+00;1.536087e+00;2.890473e+00;-2.951720e+00;1.996025e+00
8;0.400000;-2.377588e+00;-7.829928e+00;4.325447e+00;-2.432039e+00;-4.936518e+00;2.657211e+00;1.131595e+00;2.749904e+00;-7.427553e+00;-9.238942e-01;4.310706e-01;2.638927e+00;-5.568515e+00;-1.693634e+00
9;0.450000;2.141279e+00;-3.178699e+00;5.247668e+00;1.052834e+00;-2.972414e+00;8.848367e-01;5.494323e+00;6.243302e+00;-1.441091e+00;6.554341e-02;1.804393e+00;4.335657e+00;-5.156085e+00;-3.215698e+00
10;0.500000;3.575621e+00;-2.838391e+00;5.072849e+00;-3.882636e+00;-5.978642e+00;-5.570593e-01;8.434629e+00;4.901234e+00;3.164304e+00;6.498553e+00;4.630086e+00;5.271998e+00;-3.957555e-01;-5.847321e-01
11;0.550000;1.425185e+00;-2.936030e+00;5.222772e+00;-6.263217e+00;-8.340515e+00;4.931760e-01;6.330358e+00;3.231812e+00;2.389918e+00;9.025158e+00;4.334991e+00;5.417971e+00;1.088379e+00;1.653320e+00
12;0.600000;-4.402504e-01;-2.153028e+00;6.239547e+00;-7.408644e+00;-9.780357e+00;1.002842e+00;2.884923e+00;-1.227450e-01;2.023335e-01;8.361875e+00;1.779699e+00;3.047982e+00;5.768135e-01;-5.237579e-01
13;0.650000;6.194897e-01;3.750781e+00;1.111028e+01;-2.192840e+00;-6.624033e+00;9.679360e-01;-6.744142e-01;-3.937205e+00;-1.271905e+00;8.085545e+00;6.234448e-01;3.197420e+00;4.719535e+00;-4.877159e+00
14;0.700000;1.612988e-01;2.537838e+00;8.073904e+00;1.972394e+00;-1.356936e+00;-2.907419e-01;3.668019e+00;3.175840e-01;-2.895048e+00;8.751960e+00;2.312953e+00;2.226028e+00;2.603484e+00;3.054810e-01
15;0.750000;-4.397221e-01;4.656935e-01;6.777889e+00;-6.870880e-01;-1.099937e+00;-5.677428e-01;3.405096e+00;6.780124e-01;-1.405682e+00;9.951117e+00;1.209404e+00;1.016008e+00;5.506313e-01;4.520874e+00
16;0.800000;-1.644306e+00;-1.289829e+00;5.264828e+00;-3.636804e+00;-1.680746e+00;-1.868175e+00;3.032621e+00;8.012156e-01;8.507571e-01;1.076572e+01;-8.662403e-01;-5.958366e-01;-2.402136e+00;4.674591e+00
17;0.850000;-3.314245e+00;-4.467151e+00;2.428421e+00;-5.191473e+00;-4.662495e+00;-5.253623e+00;4.782727e+00;4.936397e+00;3.643379e+00;9.661879e+00;-1.982001e+00;-1.630214e+00;-8.047275e+00;1.922714e+00
18;0.900000;-2.489071e+00;-2.839152e+00;-2.106787e+00;1.734028e+00;-6.049358e+00;-4.351931e+00;7.585115e+00;1.011125e+01;6.232173e+00;2.909130e+00;-2.030871e+00;-1.779758e+00;-9.791859e+00;2.968521e-01
19;0.950000;-3.331532e+00;3.984817e+00;-8.811470e+00;9.919435e+00;-4.852474e+00;-5.229639e+00;7.665210e+00;7.465202e+00;9.602430e+00;-3.762154e+00;-5.885170e-01;6.578350e-01;-8.669373e+00;-1.618576e+00
20;1.000000;-6.878889e+00;1.010898e+01;-5.628625e+00;1.109419e+01;-2.906256e+00;-3.615221e+00;6.354702e+00;1.082450e+00;5.908552e+00;-3.403651e+00;-2.893185e+00;-3.347933e+00;-1.902851e+00;-4.650528e+00
21;1.050000;-1.086930e+01;8.327490e+00;5.354475e+00;4.871144e+00;-3.164618e+00;-2.304139e-01;-1.151092e+00;-1.064620e+01;-6.909614e+00;-2.616162e-01;-3.956505e+00;-7.344196e+00;3.617938e+00;-6.108055e+00
22;1.100000;-7.549961e+00;4.475284e+00;1.224928e+01;-2.768052e+00;-2.723297e+00;-1.801423e+00;-7.324473e+00;-1.073805e+01;-9.342167e+00;4.335093e+00;-6.228538e+00;-8.600885e+00;4.557755e+00;-7.586075e+00
23;1.150000;-4.215857e+00;6.132658e+00;1.196778e+01;-3.199109e+00;-6.259499e-01;-9.587765e-03;-1.067219e+01;-7.714857e+00;-5.219163e+00;5.858966e+00;-1.090375e+01;-1.118045e+01;4.890332e+00;-1.017680e+01
24;1.200000;-5.605160e+00;1.330140e+01;-2.913920e+00;8.072770e+00;2.882418e+00;2.458067e+00;-2.376075e+00;-5.589148e+00;9.170299e-01;-2.994806e+00;-5.538061e+00;-5.910328e+00;-2.606707e+00;-1.078728e+01
25;1.250000;-6.897247e+00;1.379135e+01;-9.230512e+00;1.221563e+01;3.120026e+00;-4.027128e-02;2.875422e+00;1.874058e+00;3.209727e+00;-3.216741e+00;5.224136e+00;1.347994e+00;-4.089182e+00;-9.219040e+00
26;1.300000;-3.107454e+00;4.524765e+00;-1.018015e+01;6.167739e+00;-9.922512e+00;-1.970021e+00;6.164608e+00;9.271145e+00;8.463019e+00;7.056499e-02;9.309855e+00;7.279211e+00;-1.084132e+00;-1.331703e+00
27;1.350000;-4.589596e-01;-2.605052e+00;-6.816540e+00;4.536028e-01;-9.885988e+00;-3.171344e-01;6.507976e+00;1.011705e+01;5.705758e+00;-1.842334e+00;9.197159e+00;6.119554e+00;6.066875e-01;4.489273e+00
