frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-3.917713e-01;1.588966e+00;-5.255948e+00;-1.496536e+01;1.105172e+01;6.166405e+00;-1.615067e+01;-4.643540e+00;-1.848006e+00;2.953972e+00;-3.200286e+00;-1.476217e+00;1.923817e+00;1.194145e+00
1;0.050000;-3.074474e+00;2.236361e+00;-7.897979e+00;-8.641578e+00;1.061053e+01;-3.832932e-01;-1.616417e+01;-4.068911e+00;-1.859393e-01;-7.830377e-01;-8.856887e+00;-3.727898e+00;3.089826e+00;1.596855e+00
2;0.100000;-3.037699e+00;-7.555103e-01;-1.003992e+01;-5.980309e+00;8.410354e+00;-2.088762e+00;-1.144571e+01;-2.177426e+00;5.514678e+00;-6.187425e-01;-1.135997e+01;-4.348075e+00;2.551054e+00;2.377274e+00
3;0.150000;-8.144426e-01;-3.283423e+00;-9.156405e+00;-6.565913e+00;9.749949e+00;-7.785664e-01;-7.718319e+00;-1.141822e+00;8.841299e+00;-1.154804e-01;-9.055823e+00;-5.751693e+00;1.080086e+00;2.059105e+00
4;0.200000;3.061957e+00;-4.170507e+00;-5.219449e+00;-6.521026e+00;9.022328e+00;-2.955729e+00;-3.086985e+00;-1.638087e-01;9.288116e+00;-1.037769e-01;-2.604162e+00;-4.843215e+00;3.113632e-01;-9.670944e-01
5;0.250000;2.830080e+00;-2.391921e+00;3.899484e+00;-3.471840e+00;-1.090538e+00;-4.398626e+00;5.498324e+00;4.839274e+00;3.293400e+00;-8.477086e-01;5.353603e-01;3.574427e-01;-3.843852e+00;-4.039917e-01
6;0.300000;3.332043e-01;-3.002434e+00;5.898077e+00;-5.598604e+00;-4.565413e+00;-3.808266e+00;1.027945e+01;5.473866e+00;-8.940401e-01;-3.049921e+00;-2.543068e-01;3.445346e+00;-5.384700e+00;2.172279e+00
7;0.350000;-3.704510e-01;-7.776576e+00;1.945463e+00;-7.041104e+00;-4.843795e+00;-2.422848e-01;9.838203e+00;3.293536e+00;-4.047472e+00;-8.348037e+00;-2.137348e+00;4.780260e+00;-4.124277e+00;3.568390e+00
8;0.400000;-9.370279e-02;-1.269831e+01;-3.542998e+00;-5.377825e+00;-5.407047e-01;3.044090e+00;5.447597e+00;-1.215796e+00;-1.565061e+00;-1.192320e+01;-1.114489e+00;3.343184e+00;-1.876120e+00;4.042503e+00
9;0.450000;-1.666163e+00;-1.595603e+01;-6.782229e+00;-4.664014e+00;5.817159e+00;1.971188e-01;5.422971e+00;-6.803566e+00;-2.870306e+00;-1.239567e+01;-2.054348e+00;3.050396e+00;9.058206e-01;4.040260e+00
