frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-1.344106e+01;2.125031e+01;8.416089e+00;-1.082949e+01;9.265050e+00;1.439117e+01;7.555768e+00;-8.375494e+00;-3.845476e+00;-3.018471e+00;5.237963e+00;4.064886e+00;2.275622e+00;-4.017044e+00
1;0.050000;-3.326890e+00;1.404598e+01;3.087133e+00;-1.104281e+01;4.273555e+00;1.346535e+01;1.237593e+01;-6.038574e+00;-5.515745e+00;-3.237325e+00;1.232923e+01;5.934525e+00;-4.173441e-01;-1.314400e+00
2;0.100000;4.975516e+00;6.109531e+00;4.952284e+00;-9.631311e+00;-3.832588e+00;1.593734e+01;9.856701e+00;-1.986799e+00;-5.535772e+00;-5.787749e+00;1.583893e+01;4.691943e+00;-8.731160e-01;-9.753418e-01
3;0.150000;5.843735e+00;1.691769e+00;7.536403e+00;-7.895842e+00;-1.002539e+01;1.502139e+01;5.171284e+00;3.081277e+00;-7.270336e+00;-5.186825e+00;1.009965e+01;3.921646e+00;3.132195e+00;-6.083145e-01
4;0.200000;5.304631e+00;-9.027214e-01;8.685161e+00;-3.758904e+00;-1.362438e+01;1.181152e+01;-9.233999e-02;3.736482e+00;-1.035117e+01;-5.204037e+00;2.726529e-01;1.446436e+00;3.399618e+00;-2.331306e+00
5;0.250000;1.846099e+00;-2.648259e+00;1.880263e+01;1.058107e+00;-7.551842e+00;1.671268e+00;8.393221e-01;3.871505e+00;-1.521272e+01;-6.900016e+00;-2.002694e+00;4.013381e+00;3.048868e+00;-1.684128e+00
6;0.300000;6.956458e-01;-4.375771e+00;2.468785e+01;-2.843726e+00;-7.822934e+00;-6.222922e+00;-3.063391e+00;3.074355e+00;-1.212737e+01;-7.871509e-01;1.199784e+00;6.568285e+00;4.540912e+00;3.395401e+00
7;0.350000;3.466258e-01;-5.297446e+00;2.210387e+01;-5.924801e+00;-8.922814e+00;-8.007825e+00;-6.134331e+00;4.066402e+00;-1.133157e+01;2.646623e-01;1.705221e+00;5.985049e+00;7.410696e+00;6.346245e+00
8;0.400000;-1.582672e+00;-5.283190e+00;1.656946e+01;-5.704080e+00;-9.267760e+00;-1.149951e+01;-7.988944e+00;2.566287e+00;-8.668367e+00;-3.207374e+00;1.659176e+00;3.582666e+00;9.316523e+00;6.398514e+00
9;0.450000;-5.859499e+00;-1.927128e-01;7.184316e+00;1.936735e+00;-1.005199e+01;-1.254824e+01;-8.307428e+00;1.889668e-01;-3.048104e+00;-8.023802e+00;3.535174e+00;1.129118e+00;1.000194e+01;4.721397e+00
10;0.500000;-7.868711e+00;8.755372e+00;-8.221116e-01;1.128199e+01;-8.536311e+00;-1.337985e+01;-7.331767e+00;-3.565781e+00;1.438808e+00;-1.091353e+01;5.214082e+00;1.591166e+00;9.818112e+00;1.367332e+00
11;0.550000;-1.047845e+01;1.578868e+01;-1.934880e+00;1.360715e+01;-1.152652e+01;-1.618494e+01;-5.295991e+00;-7.324721e+00;3.960994e+00;-1.210595e+01;2.583038e+00;2.001920e+00;5.669575e+00;-2.479218e+00
12;0.600000;-1.152856e+01;2.000763e+01;6.402083e+00;1.396305e+01;-1.380241e+01;-1.397146e+01;2.700233e-02;-4.907428e+00;7.259191e+00;-1.031298e+01;3.806010e+00;4.822773e+00;4.826947e+00;-3.433334e+00
13;0.650000;-8.529461e+00;1.285964e+01;-2.356439e+00;8.780392e+00;-1.896181e+00;-3.510021e+00;-2.421861e+00;-1.089084e+01;9.610853e+00;-3.719903e+00;4.578687e+00;-2.717962e-01;2.687199e+00;-5.633926e-01
14;0.700000;-4.858074e+00;3.397528e+00;-2.845273e+00;4.773488e+00;1.451924e+00;-3.876526e+00;-3.256501e+00;-7.652789e+00;1.079748e+01;-2.359011e+00;4.787249e+00;-1.286515e+00;1.940184e+00;3.243774e+00
15;0.750000;-1.837376e+00;-4.537554e+00;2.570449e+00;2.017536e+00;5.473194e-01;-6.588719e+00;-4.024575e+00;-4.869529e+00;9.849332e+00;-2.973581e+00;4.075732e+00;1.465268e+00;4.415569e-01;4.756851e+00
16;0.800000;-9.296327e-01;-8.111374e+00;7.482937e+00;1.546067e+00;-2.160985e+00;-5.353099e+00;-7.353458e+00;6.323262e-01;5.153145e+00;-3.903389e-02;7.614075e-01;4.003057e+00;1.326551e-01;3.133942e+00
17;0.850000;-3.940548e+00;-3.189108e+00;1.210002e+01;3.744848e+00;-2.644600e+00;-6.253009e+00;-3.833261e+00;8.145136e-02;5.491741e+00;-1.779868e+00;-1.037741e+00;5.665807e+00;-7.669754e-01;-3.429031e-01
