frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;4.565652e+00;1.371841e-01;1.480359e+00;-2.513918e+00;-8.311210e+00;3.965730e+00;8.072571e+00;-5.436203e+00;4.835426e+00;-2.171898e-02;-2.983410e+00;-8.543901e+00;7.414432e-01;4.231873e-01
1;0.050000;5.559887e+00;5.746903e-01;-2.044654e+00;-6.275320e+00;-1.090959e+01;3.081470e+00;9.650543e+00;-1.013429e+00;4.427420e+00;-1.288971e+00;-4.547777e+00;-8.919472e+00;2.667037e+00;1.464119e+00
2;0.100000;5.941578e+00;-6.005692e-01;-3.585003e+00;-4.858882e+00;-1.024049e+01;-2.655096e-01;1.078369e+01;3.175942e+00;4.161434e-01;-2.263441e+00;-2.893135e+00;-1.070473e+01;3.269502e+00;1.678101e+00
3;0.150000;3.938785e+00;-4.495561e+00;-1.153507e-01;-1.399665e+00;-3.353049e+00;-1.592938e+00;1.926532e+00;8.129873e+00;-5.703101e+00;-1.859112e+00;-4.826033e-02;-1.247885e+01;3.982661e+00;3.058449e+00
4;0.200000;1.444540e+00;-5.712465e+00;3.319541e+00;1.373503e+00;2.360363e-01;-3.626106e-01;-5.868567e+00;9.035875e+00;-6.620656e+00;8.897591e-01;9.118618e-01;-1.037606e+01;5.005143e+00;4.291870e+00
5;0.250000;3.750062e-01;-4.082837e+00;2.170848e+00;1.290958e+00;3.131005e+00;-6.375103e-01;-4.663464e+00;8.259560e+00;-2.456376e+00;2.794676e-01;-1.707432e+00;-7.968474e+00;4.734202e+00;4.193108e+00
6;0.300000;-1.029217e+00;4.557085e-02;-1.199761e+00;3.160279e+00;5.788152e+00;-9.595108e-02;-2.259380e+00;4.223693e+00;1.666121e+00;-6.122389e-01;-3.880763e+00;-4.363605e+00;1.239671e+00;2.234230e+00
7;0.350000;-3.370762e+00;2.864063e+00;-8.653741e-01;4.202422e+00;5.021342e+00;2.106929e+00;-2.165947e+00;2.461281e-01;3.373135e+00;-1.933565e-01;-2.325982e+00;-3.129011e+00;-1.746916e+00;-5.554199e-01
8;0.400000;1.250615e-01;1.125648e+00;8.548427e-01;1.100828e+00;2.905015e+00;-1.369702e+00;-6.659574e+00;7.513332e-01;2.826781e+00;1.348742e+00;-1.070133e+00;-2.794261e+00;2.797893e+00;6.571274e-01
9;0.450000;2.753264e+00;-1.093383e+00;2.544783e+00;-1.821096e-01;3.681890e+00;-3.526079e+00;-7.744241e+00;1.356509e+00;2.722924e+00;8.201637e-01;1.029929e+00;-4.594383e+00;4.939008e+00;1.177025e+00
