frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-4.214271e+00;-2.310078e+00;-1.455847e+01;-1.834466e+00;-1.583761e+00;-1.761611e+00;9.719687e+00;-7.385173e+00;7.308618e+00;5.725285e+00;-3.761597e-01;1.859305e+00;5.006258e+00;4.360237e+00
1;0.050000;-3.260632e-01;-9.128603e+00;-9.205297e+00;-5.013090e+00;-2.155093e+00;3.769125e+00;7.176744e+00;-7.592877e+00;3.451990e+00;3.334361e+00;-2.266663e+00;-1.923135e+00;-7.807961e-01;2.276588e+00
2;0.100000;1.266617e+00;-1.197973e+01;-3.945096e+00;-7.573883e+00;-9.747534e-01;9.604127e+00;4.755288e+00;-2.438016e+00;1.332339e+00;1.091114e+00;-3.829380e+00;-2.406867e+00;-1.079585e+00;9.947510e-01
3;0.150000;1.507948e+00;-1.057865e+01;-3.529227e+00;-8.590479e+00;-1.645138e+00;6.324881e+00;1.371830e+00;-1.598558e+00;9.003375e-01;-1.471482e+00;-5.930638e+00;-1.221118e+00;-1.825530e+00;9.675751e-01
4;0.200000;2.656781e+00;-6.086546e+00;-8.635998e-03;-4.203799e+00;3.078826e+00;3.523097e+00;2.896290e-01;2.912741e+00;-2.093831e-01;5.539074e-01;-4.442647e+00;3.895015e+00;1.202480e+00;7.157059e-01
5;0.250000;1.404820e+00;1.336031e-01;6.379852e-01;-1.706115e+00;4.961612e+00;-3.214839e+00;-5.250469e+00;7.437019e+00;-1.955718e+00;-1.084532e+00;-3.184996e+00;6.910044e+00;3.706796e+00;4.127808e-01
6;0.300000;-2.323067e+00;6.951333e+00;2.699523e+00;6.392968e-01;6.122246e+00;-1.134695e+01;-3.670002e+00;4.867735e+00;2.079109e+00;-7.171589e+00;-1.490926e+00;8.173739e+00;1.598987e+00;6.944885e-01
7;0.350000;-5.317824e+00;9.718756e+00;6.416130e+00;4.349477e+00;5.901639e+00;-1.276676e+01;1.560860e+00;-3.808222e-01;-1.841445e+00;-6.933172e+00;1.121622e+00;6.926514e+00;7.008719e-01;9.501801e-01
8;0.400000;-4.534570e+00;7.976277e+00;5.167190e+00;3.802637e+00;5.934514e+00;-9.772646e+00;3.599684e+00;-3.210858e+00;-4.687421e+00;-5.977285e+00;2.013052e+00;2.537226e+00;-1.188800e+00;7.947388e-01
9;0.450000;-3.640385e-01;-7.243538e-02;1.177113e+00;-1.030476e+00;7.343162e+00;-1.832992e+00;2.286053e-01;-7.999239e-01;-5.491063e-01;-6.126066e+00;2.027668e+00;-5.345622e+00;-2.234112e+00;-5.599976e-02
10;0.500000;2.122478e+00;-7.988419e+00;9.192247e-01;-3.645047e+00;7.782874e+00;6.065894e+00;-1.677631e+00;-3.290520e-01;6.121151e+00;-7.777168e+00;2.862236e+00;-7.920503e+00;1.822567e-02;-1.002975e+00
11;0.550000;-8.872547e-01;-9.061268e+00;-3.544271e+00;3.253589e-01;4.387108e+00;9.004836e+00;1.899986e-01;-1.422982e+00;8.203292e+00;-8.132742e+00;-1.892672e-01;-7.348598e+00;3.016876e+00;-9.156876e-01
12;0.600000;-2.058672e+00;-3.212341e+00;-7.735112e+00;6.275095e+00;2.402352e+00;1.039205e+01;3.446550e+00;-1.591703e+00;7.203651e+00;-4.387390e+00;-6.273495e+00;-4.491070e+00;2.227728e+00;-2.808762e-01
13;0.650000;-3.520530e+00;5.004362e+00;-1.103885e+01;7.716056e+00;3.145624e+00;5.886216e+00;6.883858e+00;-3.994638e+00;7.534401e+00;-7.754459e-01;-7.335450e+00;-2.582155e+00;1.285812e+00;-1.056595e+00
14;0.700000;-4.050324e+00;1.399926e+01;-1.131632e+01;1.888263e+00;4.927850e+00;-1.906126e+00;5.070782e-01;-6.955277e+00;6.917726e+00;5.124461e+00;-1.877699e+00;-6.928263e-01;4.279667e+00;-2.305573e+00
15;0.750000;-1.519596e+00;1.405336e+01;-9.313858e+00;-2.510238e+00;6.747292e+00;-1.862112e+00;-5.088587e+00;-7.571170e+00;8.417682e+00;3.302810e+00;-1.190642e+00;-8.853774e-01;3.708272e+00;-1.107529e+00
16;0.800000;1.535237e+00;1.201358e+01;-5.431300e+00;-4.012361e+00;8.585742e+00;2.060766e-01;-5.531940e+00;-6.076070e+00;9.254970e+00;2.878498e+00;2.688203e-01;-1.819139e+00;4.758376e+00;-3.486984e+00
17;0.850000;6.578504e+00;4.815306e+00;-1.156281e+00;-6.444388e+00;7.297472e+00;7.231770e+00;7.670574e-01;-4.629483e+00;8.076357e+00;7.337173e+00;4.161600e+00;-5.791332e+00;2.629635e+00;-8.615112e+00
18;0.900000;7.212494e+00;-8.671188e+00;-2.892928e+00;-6.748137e+00;1.997583e+00;8.787114e+00;3.800907e+00;-2.348482e+00;1.071760e+01;4.458948e+00;3.878268e+00;-2.478666e+00;4.090142e+00;-2.910919e+00
19;0.950000;5.895240e+00;-1.305632e+01;-4.556949e+00;-5.208629e+00;9.073563e-01;6.237682e+00;5.945767e+00;-3.595243e+00;1.026896e+01;6.914692e-01;1.595586e+00;-3.552525e+00;7.233465e+00;9.171524e-01
