frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-6.511433e+00;7.812355e+00;-1.268213e+00;5.225641e+00;-3.693256e+00;-4.911889e+00;2.194539e-01;8.413601e-02;4.413977e+00;9.146020e-01;8.839516e+00;3.945905e+00;1.078167e-01;-6.055611e+00
1;0.050000;-1.967792e+00;7.405865e+00;3.480476e-01;5.952830e+00;-5.876088e+00;-6.174117e+00;-7.117772e-01;4.898332e+00;5.261607e+00;1.742046e-01;6.930279e+00;3.034647e+00;1.247463e+00;-2.473053e+00
2;0.100000;6.827707e-01;1.696799e+00;1.328444e+00;8.109226e-01;-2.021947e+00;-1.590676e+00;1.836741e-02;8.587415e+00;1.428099e+00;-2.084327e+00;4.938527e+00;2.185415e+00;3.721728e+00;-8.373260e-02
3;0.150000;1.940140e+00;-6.134356e+00;5.607586e-01;-3.402899e+00;8.224277e-01;1.222607e+00;4.563921e+00;9.024471e+00;-2.114491e+00;-4.127323e+00;-3.158598e-01;3.190970e-01;1.414443e+00;2.696930e+00
4;0.200000;2.805433e+00;-7.870332e+00;9.205836e-01;-3.862715e+00;-7.062314e-01;1.933970e+00;6.462200e+00;7.454950e+00;-2.902979e+00;-3.895866e+00;-3.900770e+00;-3.270087e-01;-4.669256e-01;4.083733e+00
5;0.250000;1.787252e+00;-4.613141e+00;6.505328e-01;-2.330059e+00;-2.038764e+00;2.098556e+00;7.644706e+00;4.269335e+00;5.881214e-01;-4.816523e+00;-2.051656e+00;-3.619905e-01;-1.599656e+00;3.299019e+00
6;0.300000;-6.838636e-01;-1.035239e+00;6.426176e-01;-2.028215e+00;-2.746513e+00;5.947304e-01;3.061515e+00;2.398839e+00;1.585570e+00;-4.948412e+00;3.477424e+00;-1.047757e+00;-1.786335e+00;3.163689e+00
7;0.350000;3.532295e-01;-3.274406e+00;1.535859e+00;-1.953981e+00;-4.843576e+00;-1.920394e+00;2.719587e+00;2.233040e+00;-9.600525e-01;-3.643852e+00;1.840563e+00;-3.101926e-01;-2.161369e+00;4.907219e+00
8;0.400000;-1.766453e-01;-2.295175e+00;-2.500639e-01;1.724133e+00;-8.048657e+00;-1.090956e+00;6.522254e-01;4.473912e+00;-4.401278e+00;-1.178830e+00;-2.137868e+00;7.495928e-02;-3.799516e+00;5.110237e+00
9;0.450000;-2.523103e+00;3.079360e+00;-2.868157e+00;7.573296e+00;-9.025357e+00;8.107529e-01;9.597003e-02;4.178777e+00;-1.670897e+00;-2.258282e+00;-6.486654e-01;1.544189e-02;-4.241303e+00;3.712601e+00
10;0.500000;-4.486644e+00;5.827638e+00;-1.134353e+00;9.703192e+00;-9.080503e+00;2.679492e+00;-2.196938e-01;1.493704e+00;-1.054793e+00;-8.242133e-01;1.566210e-01;-9.707284e-01;-1.933434e+00;1.936035e+00
11;0.550000;-3.357268e+00;1.667900e+00;1.853316e+00;5.323472e+00;-1.022167e+01;1.981097e+00;5.323052e-01;1.818655e+00;-3.406255e+00;9.268904e-01;-2.528034e+00;-2.316965e+00;-2.668733e+00;3.220055e+00
12;0.600000;-2.358194e+00;-8.420539e-01;6.088116e+00;-1.423574e+00;-4.309538e+00;-3.235847e+00;3.039701e+00;2.800197e+00;-5.078777e+00;1.502628e+00;-3.203955e+00;-2.663591e+00;-2.602560e+00;3.327950e+00
13;0.650000;-2.225588e+00;-1.228987e+00;7.273179e+00;-4.289995e+00;1.899675e-01;-5.024770e+00;4.750143e+00;2.175381e+00;-5.133482e+00;7.308493e-01;-2.878153e+00;-4.964101e+00;-2.153167e+00;2.398605e+00
14;0.700000;-8.401508e-01;-2.828520e+00;8.410746e+00;-3.519365e+00;5.844254e-01;-2.440793e+00;6.280974e+00;2.721132e+00;-6.004110e+00;1.928406e+00;-2.900055e+00;-5.400611e+00;-3.319176e+00;5.339203e-01
15;0.750000;-1.155091e+00;-2.584557e+00;8.485143e+00;-1.053658e+00;8.966250e-01;-1.334836e+00;7.234665e+00;1.339498e+00;-2.889601e+00;-3.382044e-01;-2.061872e+00;-2.409266e+00;-5.205599e+00;-2.774857e+00
16;0.800000;-2.638483e-01;-5.120007e+00;2.675308e+00;-2.329275e+00;4.475928e+00;-7.783222e-01;5.919456e+00;-2.742605e-01;-6.880474e-02;-3.470168e+00;-4.327485e+00;2.412825e-01;-1.723941e+00;-1.178169e+00
