frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;4.343161e+00;1.645962e+00;-8.634072e+00;-1.236265e+01;5.348476e+00;1.234143e+01;3.007818e+00;-6.619430e-01;-1.940289e+00;7.992585e+00;3.061613e+00;-7.118175e+00;-6.199884e-02;1.059814e+00
1;0.050000;-5.135794e-01;4.177318e+00;-6.460841e+00;-8.045813e+00;4.332051e+00;9.126535e+00;4.810673e+00;1.695836e+00;-8.159293e-01;5.936830e+00;2.027962e+00;-2.069071e+00;-3.036371e+00;-1.898468e+00
2;0.100000;-8.965111e-01;5.154177e+00;-5.989918e+00;-6.999217e+00;4.670563e-01;3.214641e+00;3.638641e+00;2.936244e+00;-1.090186e+00;-3.217602e-01;1.014221e+00;5.709792e+00;4.049135e+00;-1.738029e+00
3;0.150000;1.359700e+00;3.548711e+00;-8.144139e+00;-1.019168e+01;-1.564634e+00;1.927653e+00;1.537771e+00;7.036276e-01;-2.576714e+00;-1.474889e+00;3.090960e+00;5.112374e+00;4.040954e+00;-7.234650e-01
4;0.200000;2.770523e+00;-2.909719e+00;-7.640160e+00;-8.171587e+00;-4.425049e-01;-2.113964e+00;-9.674368e-01;4.000764e-01;-2.943071e+00;2.138295e-01;7.068747e+00;3.236459e+00;-3.868008e-02;-1.083176e+00
5;0.250000;-1.370566e+00;-7.898235e-02;-6.051205e+00;5.661515e-01;2.696489e+00;-6.345042e+00;-1.913382e+00;-6.005158e-01;-5.678360e-01;2.547054e+00;7.755126e+00;4.034594e+00;-2.755518e+00;4.323578e-01
6;0.300000;-5.362295e+00;4.884893e+00;-2.823685e+00;5.345775e+00;4.316813e+00;-4.879626e+00;-1.954308e-01;1.504426e+00;1.284795e+00;4.298657e+00;5.453495e+00;3.748327e+00;-2.404500e+00;8.531494e-01
7;0.350000;-6.769608e+00;8.301420e+00;-1.628284e+00;7.452672e+00;1.507999e+00;-4.853963e+00;-1.709213e+00;4.526010e-01;-2.537610e+00;1.518138e+00;1.506248e+00;6.748040e+00;1.365918e+00;5.948257e-01
8;0.400000;-5.757959e+00;9.694965e+00;1.549959e-01;1.143403e+01;-7.927837e-01;-6.806670e+00;-3.712296e+00;-1.728052e+00;-8.663129e+00;-6.673962e+00;-5.719764e+00;5.848957e+00;3.943908e+00;7.290802e-01
9;0.450000;-5.258707e+00;1.057366e+01;-8.783898e-01;1.300744e+01;-1.742741e+00;-6.156754e+00;-4.944735e+00;-1.999214e+00;-8.850832e+00;-9.895594e+00;-9.551463e+00;3.450304e+00;3.320068e+00;-7.981110e-02
10;0.500000;-3.604510e+00;7.765228e+00;-8.166759e+00;5.184109e+00;-8.990879e-01;-8.070755e-01;-1.481182e+00;3.381189e+00;-5.817187e-02;-3.066471e+00;-9.383256e+00;1.829870e-01;1.952221e+00;1.512787e+00
11;0.550000;-1.754273e+00;2.251075e+00;-1.048510e+01;-2.430409e+00;-5.551052e-01;5.500975e-01;-1.796320e+00;3.388458e+00;4.411725e+00;3.701195e+00;-4.981166e+00;1.522155e+00;6.417683e+00;3.543221e+00
