frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;3.981681e-01;0;6.117337e-02;0;0;0
1;0.010000;4.613561e-01;0;5.488217e-02;0;0;0
2;0.020000;5.598636e-01;5.364964e+01;4.901170e-02;0;0;3.333333e-01
3;0.030000;6.356845e-01;1.055598e+02;4.838660e-02;0;0;6.666667e-01
4;0.040000;6.934052e-01;1.566168e+02;4.612075e-01;1.108631e-02;0;7.089124e-01
5;0.050000;7.219469e-01;1.561611e+02;8.694318e-01;1.802400e-02;5.930934e-03;4.229866e-01
6;0.060000;7.561775e-01;1.585950e+02;1.419223e+00;2.205274e-02;1.155924e-02;1.427593e-01
7;0.070000;7.945889e-01;1.627132e+02;1.556083e+00;1.834137e-02;1.500215e-02;1.689420e-01
8;0.080000;8.320400e-01;1.658419e+02;1.517166e+00;2.323856e-02;1.448056e-02;1.340697e-01
9;0.090000;8.530598e-01;1.685906e+02;1.135082e+00;3.104469e-02;1.426159e-02;9.349892e-02
10;0.100000;8.482053e-01;1.710625e+02;1.473096e+00;3.550464e-02;1.622801e-02;3.760569e-02
11;0.110000;8.196325e-01;1.728462e+02;1.845656e+00;2.849765e-02;1.632433e-02;1.380273e-01
12;0.120000;7.620320e-01;1.746734e+02;2.131109e+00;2.149065e-02;1.642065e-02;2.384489e-01
13;0.130000;6.441318e-01;1.754870e+02;1.457031e+00;1.088169e-02;1.109343e-02;4.185373e-01
14;0.140000;4.710833e-01;1.173806e+02;9.849249e-01;6.053801e-03;5.587777e-03;3.055804e-01
15;0.150000;3.097600e-01;5.846063e+01;6.726661e-01;1.225916e-03;8.211893e-05;1.926236e-01
16;0.160000;2.048154e-01;0;6.983392e-01;0;0;0
17;0.170000;2.006289e-01;0;7.043157e-01;0;0;0
18;0.180000;2.067841e-01;0;7.743921e-01;0;0;0
19;0.190000;2.118463e-01;0;7.138051e-01;0;0;0
20;0.200000;2.682508e-01;0;4.941082e-01;0;0;0
21;0.210000;3.900964e-01;0;4.188757e-01;0;0;6.237349e-02
22;0.220000;5.380653e-01;6.591929e+01;5.157275e-01;2.481583e-03;0;2.806564e-01
23;0.230000;6.787832e-01;1.315456e+02;7.299492e-01;1.525383e-02;1.571801e-02;3.361422e-01
24;0.240000;7.732482e-01;1.967344e+02;9.742255e-01;2.242680e-02;2.526197e-02;3.355292e-01
25;0.250000;8.299300e-01;1.957161e+02;1.009005e+00;2.027503e-02;2.611845e-02;1.780282e-01
26;0.260000;7.614868e-01;1.947055e+02;1.181394e+00;9.572593e-03;1.142344e-02;1.640616e-01
27;0.270000;6.188946e-01;1.938496e+02;1.697508e+00;4.469443e-03;2.902482e-03;1.438203e-01
28;0.280000;5.442604e-01;1.289486e+02;1.982649e+00;6.209450e-03;3.069001e-03;1.245575e-01
29;0.290000;4.742351e-01;6.433292e+01;1.618395e+00;3.307482e-02;4.770823e-02;1.363806e-01
30;0.300000;4.853601e-01;0;1.048481e+00;3.533589e-02;4.984606e-02;1.783975e-01
31;0.310000;4.803060e-01;0;6.197558e-01;4.141243e-02;5.451075e-02;2.038398e-01
32;0.320000;5.904460e-01;6.504424e+01;8.533581e-01;3.979568e-02;2.160250e-02;1.788440e-01
33;0.330000;7.261707e-01;1.302330e+02;1.061974e+00;5.862166e-02;2.450106e-02;1.065304e-01
34;0.340000;8.461895e-01;1.957122e+02;1.121657e+00;5.689378e-02;3.599765e-02;5.865682e-02
35;0.350000;9.036262e-01;1.965886e+02;1.285280e+00;3.120083e-02;2.592912e-02;4.315589e-02
36;0.360000;9.221602e-01;1.977658e+02;9.483013e-01;9.029848e-03;2.054464e-02;5.369057e-02
37;0.370000;9.264140e-01;1.988025e+02;1.239835e+00;3.597242e-03;4.035277e-03;5.635980e-02
38;0.380000;9.215609e-01;1.993977e+02;1.361039e+00;2.533812e-03;1.901748e-03;5.483223e-02
39;0.390000;8.976064e-01;1.993977e+02;1.747182e+00;2.211758e-03;1.454589e-03;3.703579e-02
40;0.400000;8.511310e-01;1.988025e+02;1.944002e+00;2.845653e-03;1.532682e-03;3.852735e-02
41;0.410000;7.977713e-01;1.979116e+02;2.025946e+00;3.903377e-03;1.733774e-03;5.045805e-02
42;0.420000;7.952722e-01;1.965950e+02;2.097233e+00;4.859325e-03;2.259024e-03;6.974607e-02
43;0.430000;8.226106e-01;1.926683e+02;1.582274e+00;4.859325e-03;2.259024e-03;6.974607e-02
44;0.440000;8.656084e-01;1.868004e+02;1.112405e+00;3.406779e-02;3.036154e-02;7.178059e-02
45;0.450000;8.767733e-01;1.821229e+02;7.686682e-01;3.575546e-02;5.743521e-02;5.159058e-02
46;0.460000;8.678572e-01;1.809988e+02;7.455137e-01;3.660357e-02;5.754626e-02;5.323029e-02
47;0.470000;8.317471e-01;1.823647e+02;1.089321e+00;7.440206e-03;2.943701e-02;6.747042e-02
48;0.480000;8.112237e-01;1.842988e+02;9.279669e-01;5.797628e-03;2.356606e-03;1.039351e-01
49;0.490000;8.212869e-01;1.880696e+02;1.041303e+00;2.449851e-02;1.772992e-02;1.739017e-01
50;0.500000;8.640461e-01;1.928660e+02;7.547175e-01;2.627089e-02;3.034341e-02;1.387773e-01
51;0.510000;8.890448e-01;1.969287e+02;8.379104e-01;3.097929e-02;3.789179e-02;1.422569e-01
52;0.520000;8.837338e-01;1.989550e+02;7.449537e-01;1.252753e-02;2.257068e-02;8.581883e-02
53;0.530000;8.653030e-01;1.994018e+02;6.175595e-01;1.063445e-02;1.037115e-02;1.548054e-01
54;0.540000;8.604532e-01;1.986633e+02;3.920574e-01;5.805351e-03;3.236744e-03;1.851879e-01
