frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;6.808111e-01;1.403509e+02;1.351737e-01;0;0;0
1;0.010000;6.371153e-01;2.807018e+02;1.306581e-01;0;0;0
2;0.020000;6.460900e-01;4.210526e+02;1.851426e-01;0;0;0
3;0.030000;7.023974e-01;4.167655e+02;5.656775e-01;0;0;1.064642e-01
4;0.040000;7.890427e-01;4.043050e+02;8.342962e-01;7.417602e-03;5.388195e-03;1.817894e-01
5;0.050000;8.063729e-01;3.844609e+02;9.842039e-01;1.329979e-02;6.662880e-03;2.238114e-01
6;0.060000;7.820415e-01;3.623729e+02;9.577200e-01;1.706562e-02;1.033827e-02;1.506598e-01
7;0.070000;7.137882e-01;3.427144e+02;7.919148e-01;1.541903e-02;1.014328e-02;9.010137e-02
8;0.080000;6.581540e-01;3.253002e+02;6.446343e-01;1.530786e-02;1.406181e-02;6.284607e-02
9;0.090000;6.596858e-01;3.097917e+02;3.333875e-01;1.511097e-02;1.265028e-02;1.047895e-01
10;0.100000;7.122642e-01;2.778642e+02;2.252886e-01;2.497766e-02;1.969326e-02;1.027249e-01
11;0.110000;7.367166e-01;2.306223e+02;1.848574e-01;3.689919e-02;1.572487e-02;1.054756e-01
12;0.120000;6.785372e-01;1.871405e+02;1.624504e-01;4.272188e-02;2.126343e-02;1.716586e-01
13;0.130000;5.255617e-01;1.661119e+02;2.176592e-01;3.575262e-02;9.994659e-03;2.193050e-01
14;0.140000;3.727970e-01;1.102612e+02;2.149491e-01;1.806008e-02;8.769839e-03;2.017874e-01
15;0.150000;2.574890e-01;5.527578e+01;1.739774e-01;8.668446e-03;9.674199e-04;6.034848e-02
16;0.160000;2.752994e-01;0;1.283532e-01;0;0;0
17;0.170000;3.694995e-01;0;1.896686e-01;0;0;0
18;0.180000;5.044381e-01;0;3.217366e-01;8.848068e-03;0;2.513521e-01
19;0.190000;6.003144e-01;64;6.282910e-01;1.769614e-02;0;5.027043e-01
20;0.200000;6.950138e-01;1.273726e+02;1.062896e+00;2.654421e-02;0;7.540564e-01
21;0.210000;7.736177e-01;1.901176e+02;1.577083e+00;3.443168e-02;2.307067e-02;5.063951e-01
22;0.220000;8.497894e-01;1.888627e+02;1.666799e+00;2.646351e-02;2.447671e-02;2.758262e-01
23;0.230000;8.898447e-01;1.882353e+02;1.683431e+00;1.790387e-02;2.506492e-02;2.628761e-02
24;0.240000;9.108033e-01;1.882353e+02;1.199660e+00;1.491465e-03;2.253520e-03;3.235439e-02
25;0.250000;9.203889e-01;1.882353e+02;8.233857e-01;8.053161e-04;9.130478e-04;1.981826e-02
26;0.260000;9.228632e-01;1.882353e+02;5.693960e-01;7.106381e-04;3.904093e-04;2.625192e-02
27;0.270000;9.209329e-01;1.883588e+02;3.829405e-01;4.676582e-04;2.115119e-04;1.830138e-02
28;0.280000;9.157903e-01;1.886058e+02;5.078829e-01;8.435133e-04;4.593314e-04;1.183523e-02
