frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;3.646307e-01;0;4.681289e-02;0;0;0
1;0.010000;3.149779e-01;0;3.544177e-02;0;0;0
2;0.020000;2.494375e-01;0;4.123152e-02;0;0;0
3;0.030000;2.223350e-01;0;4.891275e-02;0;0;0
4;0.040000;2.035370e-01;0;6.690165e-02;0;0;0
5;0.050000;1.910995e-01;0;5.455717e-02;0;0;0
6;0.060000;1.794592e-01;0;3.934893e-02;0;0;0
7;0.070000;1.647930e-01;0;2.749293e-02;0;0;0
8;0.080000;1.676300e-01;0;1.950410e-02;0;0;0
9;0.090000;1.826630e-01;0;4.766159e-02;0;0;0
10;0.100000;2.327285e-01;0;5.484867e-02;0;0;0
11;0.110000;2.744198e-01;0;5.983121e-02;0;0;0
12;0.120000;2.714752e-01;0;1.264869e-01;0;0;0
13;0.130000;2.404011e-01;0;2.621709e-01;0;0;0
14;0.140000;2.304376e-01;0;3.616543e-01;0;0;0
15;0.150000;2.582256e-01;0;3.607852e-01;0;0;0
16;0.160000;2.825260e-01;0;3.950025e-01;0;0;0
17;0.170000;2.666634e-01;0;5.487766e-01;0;0;0
18;0.180000;2.383873e-01;0;7.226514e-01;0;0;0
19;0.190000;2.417708e-01;0;7.517042e-01;0;0;0
20;0.200000;3.101684e-01;0;5.339360e-01;0;0;8.467206e-02
21;0.210000;4.472603e-01;0;3.127892e-01;3.333333e-01;0;4.076140e-01
22;0.220000;5.610123e-01;7.048458e+01;3.033181e-01;4.237888e-01;3.333333e-01;7.409472e-01
23;0.230000;6.547344e-01;1.434627e+02;5.703128e-01;4.613455e-01;3.551237e-01;7.231451e-01
24;0.240000;6.976079e-01;2.189344e+02;7.309864e-01;1.572024e-01;3.575771e-01;6.639095e-01
25;0.250000;7.665060e-01;2.241004e+02;6.441839e-01;1.255475e-01;4.870484e-02;3.534333e-01
26;0.260000;8.250847e-01;2.227922e+02;5.131616e-01;1.425644e-01;2.753152e-02;3.292994e-01
27;0.270000;8.795940e-01;2.142708e+02;5.261782e-01;1.309311e-01;6.445715e-02;1.332386e-01
28;0.280000;8.993859e-01;2.058578e+02;6.554846e-01;8.129961e-02;4.721129e-02;1.287802e-01
29;0.290000;9.094208e-01;2.024185e+02;7.107849e-01;3.358413e-02;4.952594e-02;1.565071e-01
30;0.300000;9.185887e-01;2.044388e+02;7.510229e-01;1.947838e-02;1.596470e-02;1.685547e-01
31;0.310000;9.270410e-01;2.069183e+02;9.025540e-01;2.009451e-02;1.266970e-02;2.007159e-01
32;0.320000;9.244702e-01;2.085567e+02;7.132900e-01;1.412671e-02;1.424754e-02;1.510633e-01
33;0.330000;9.012873e-01;2.094551e+02;6.005209e-01;1.197477e-02;9.095824e-03;7.726469e-02
34;0.340000;8.490545e-01;2.094551e+02;6.511016e-01;3.792326e-03;5.466979e-03;6.826756e-02
35;0.350000;8.077143e-01;2.088515e+02;9.243064e-01;8.541928e-03;5.746711e-03;1.532454e-01
36;0.360000;8.025734e-01;2.080973e+02;9.304778e-01;3.484830e-02;2.348220e-02;1.989062e-01
37;0.370000;8.437777e-01;2.080999e+02;6.402119e-01;4.611323e-02;3.269880e-02;2.532728e-01
38;0.380000;8.741577e-01;2.096366e+02;3.953370e-01;4.566848e-02;3.091986e-02;2.060132e-01
39;0.390000;8.375559e-01;2.119503e+02;2.571917e-01;2.344840e-02;1.510500e-02;1.664129e-01
40;0.400000;6.564100e-01;2.136592e+02;1.908104e-01;1.058080e-02;5.597071e-03;7.048348e-02
41;0.410000;4.319471e-01;1.428571e+02;2.101909e-01;5.385567e-03;2.586716e-03;1.195487e-02
42;0.420000;3.591532e-01;7.142857e+01;2.572899e-01;0;0;0
43;0.430000;4.173496e-01;0;2.953461e-01;0;0;0
44;0.440000;5.581503e-01;0;2.813219e-01;0;0;0
45;0.450000;5.934768e-01;7.079646e+01;2.775938e-01;0;0;0
46;0.460000;5.915868e-01;1.419090e+02;3.988986e-01;0;0;0
47;0.470000;5.979541e-01;1.419090e+02;3.812266e-01;0;0;1.116152e-01
48;0.480000;6.581637e-01;1.394886e+02;4.640696e-01;1.655253e-02;0;1.704800e-01
49;0.490000;7.771917e-01;1.370469e+02;4.224433e-01;2.496356e-02;8.559168e-03;2.451705e-01
50;0.500000;8.555369e-01;2.063122e+02;5.042625e-01;3.337459e-02;1.711834e-02;2.082459e-01
51;0.510000;8.702707e-01;2.073508e+02;5.432991e-01;2.780001e-02;1.949802e-02;1.832918e-01
52;0.520000;8.324012e-01;2.083998e+02;4.339352e-01;2.361184e-02;1.951840e-02;1.162775e-01
53;0.530000;7.272741e-01;2.091566e+02;5.080504e-01;3.847881e-02;2.324936e-02;7.299694e-02
54;0.540000;5.982024e-01;2.099188e+02;5.639140e-01;5.024023e-02;2.766494e-02;8.013982e-02
55;0.550000;5.210013e-01;1.401990e+02;7.937433e-01;5.454437e-02;3.843793e-02;1.519349e-01
56;0.560000;5.640314e-01;7.017679e+01;8.306733e-01;4.153698e-02;3.183958e-02;3.197004e-01
57;0.570000;6.501911e-01;7.239819e+01;8.265340e-01;6.707474e-02;6.156330e-02;3.533266e-01
58;0.580000;7.046983e-01;1.447964e+02;5.068318e-01;7.009163e-02;7.727205e-02;3.250917e-01
59;0.590000;6.816691e-01;2.143288e+02;3.129298e-01;6.217450e-02;7.725397e-02;1.826851e-01
60;0.600000;6.350780e-01;2.135415e+02;1.590974e-01;2.363642e-01;2.631904e-01;1.084772e-01
61;0.610000;5.303071e-01;2.224315e+02;2.293748e-01;4.472871e-01;4.505845e-01;5.771265e-02
62;0.620000;4.395787e-01;1.528991e+02;2.431189e-01;4.452368e-01;6.668720e-01;8.116854e-02
63;0.630000;3.791026e-01;8.128826e+01;4.123671e-01;2.227700e-01;4.447198e-01;1.609214e-01
64;0.640000;4.603400e-01;0;5.540526e-01;3.032189e-04;2.225676e-01;2.406742e-01
65;0.650000;6.037558e-01;6.896552e+01;6.430996e-01;3.169788e-01;3.339398e-01;2.243709e-01
66;0.660000;7.438894e-01;1.366433e+02;7.111782e-01;3.202696e-01;3.734964e-01;2.260686e-01
67;0.670000;8.182222e-01;2.060374e+02;7.736319e-01;3.354846e-01;3.849673e-01;1.652230e-01
68;0.680000;8.448457e-01;2.093070e+02;1.087689e+00;4.073371e-02;5.966135e-02;1.277214e-01
69;0.690000;8.576981e-01;2.138644e+02;1.159687e+00;6.673126e-02;2.490889e-02;1.073338e-01
