frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;2.659625e-01;0;4.748328e-02;0;0;0
1;0.010000;2.458813e-01;0;6.332493e-02;0;0;0
2;0.020000;2.337927e-01;0;9.847028e-02;0;0;0
3;0.030000;2.481103e-01;0;1.258175e-01;0;0;0
4;0.040000;2.211225e-01;0;1.510307e-01;0;0;0
5;0.050000;2.170294e-01;0;1.429150e-01;0;0;0
6;0.060000;2.124879e-01;0;9.016513e-02;0;0;0
7;0.070000;2.646950e-01;0;7.991523e-02;0;0;0
8;0.080000;3.606757e-01;0;1.027280e-01;0;0;2.963178e-02
9;0.090000;4.941948e-01;0;1.167129e-01;4.281799e-03;5.240348e-03;1.022603e-01
10;0.100000;6.291801e-01;8.546512e+01;3.028020e-01;2.496386e-02;2.135638e-02;2.102489e-01
11;0.110000;7.148526e-01;1.694898e+02;6.920388e-01;2.689873e-02;3.234372e-02;2.498499e-01
12;0.120000;7.728207e-01;2.509459e+02;6.729431e-01;2.455179e-02;3.809071e-02;2.464542e-01
13;0.130000;8.330964e-01;2.445336e+02;8.937664e-01;5.804596e-03;3.296202e-02;2.076982e-01
14;0.140000;8.740851e-01;2.395617e+02;5.853028e-01;1.420038e-02;3.966149e-02;1.880062e-01
15;0.150000;8.817242e-01;2.412520e+02;7.186295e-01;1.526131e-02;3.268681e-02;1.685032e-01
16;0.160000;8.505957e-01;2.453456e+02;9.333081e-01;1.371172e-02;2.216696e-02;1.294161e-01
17;0.170000;8.248951e-01;2.468413e+02;1.044040e+00;5.314400e-03;6.030448e-03;1.211552e-01
18;0.180000;8.257678e-01;2.444642e+02;1.272912e+00;2.915857e-02;2.234441e-02;1.081530e-01
19;0.190000;8.280993e-01;2.420870e+02;8.819806e-01;3.224410e-02;4.099651e-02;1.397321e-01
20;0.200000;7.890763e-01;2.423077e+02;7.929019e-01;3.611377e-02;4.171276e-02;2.062177e-01
21;0.210000;6.829913e-01;2.423077e+02;6.104268e-01;9.273800e-03;2.138613e-02;1.694901e-01
22;0.220000;6.028135e-01;1.615385e+02;4.828062e-01;5.802996e-03;2.266536e-03;3.385155e-01
23;0.230000;5.985892e-01;1.662344e+02;3.604774e-01;3.012299e-01;3.333333e-01;3.472550e-01
24;0.240000;6.890284e-01;1.688054e+02;2.701350e-01;3.182533e-01;3.350836e-01;4.064410e-01
25;0.250000;8.032849e-01;2.502465e+02;2.708456e-01;3.262681e-01;3.436829e-01;3.485639e-01
26;0.260000;8.826718e-01;2.466761e+02;4.427688e-01;3.549862e-02;1.254361e-02;4.152844e-01
27;0.270000;9.233028e-01;2.456895e+02;7.828588e-01;1.915437e-02;2.059591e-02;4.113632e-01
28;0.280000;9.397492e-01;2.468326e+02;1.357858e+00;1.383592e-02;1.400845e-02;2.494591e-01
29;0.290000;9.473286e-01;2.472914e+02;1.255238e+00;4.882125e-03;1.299193e-02;7.405024e-02
30;0.300000;9.524255e-01;2.468326e+02;1.219838e+00;6.849735e-03;4.341385e-03;2.732745e-02
31;0.310000;9.541017e-01;2.461432e+02;5.377732e-01;4.811017e-03;3.169148e-03;3.043125e-02
32;0.320000;9.532769e-01;2.461432e+02;1.011144e+00;3.458166e-03;2.397058e-03;3.461439e-02
33;0.330000;9.474764e-01;2.470659e+02;1.183544e+00;1.989514e-03;2.253791e-03;4.201403e-02
34;0.340000;9.378429e-01;2.484579e+02;1.431620e+00;1.818944e-03;1.785810e-03;3.347090e-02
35;0.350000;9.294250e-01;2.503513e+02;1.546914e+00;4.006262e-03;3.444652e-03;2.871288e-02
36;0.360000;9.251633e-01;2.532546e+02;1.461291e+00;8.390952e-03;5.618458e-03;1.386059e-02
37;0.370000;9.274092e-01;2.572151e+02;1.682306e+00;1.257986e-02;8.708959e-03;1.714374e-02
38;0.380000;9.303255e-01;2.617971e+02;1.652368e+00;1.417523e-02;7.869815e-03;1.637090e-02
39;0.390000;9.321483e-01;2.665456e+02;1.443063e+00;1.400505e-02;6.255534e-03;3.936457e-02
40;0.400000;9.316629e-01;2.714695e+02;1.887095e+00;1.121999e-02;5.401819e-03;4.929257e-02
41;0.410000;9.247150e-01;2.765788e+02;2.011737e+00;1.477762e-02;1.143015e-02;5.231131e-02
42;0.420000;9.171243e-01;2.818841e+02;2.444583e+00;1.341743e-02;1.341418e-02;3.932793e-02
43;0.430000;9.077857e-01;2.873971e+02;2.317118e+00;1.570258e-02;1.502697e-02;4.076901e-02
44;0.440000;9.015751e-01;2.924498e+02;2.287163e+00;1.064197e-02;1.000890e-02;3.813071e-02
45;0.450000;9.025843e-01;2.970270e+02;2.315854e+00;9.315990e-03;7.515693e-03;2.883491e-02
46;0.460000;8.949158e-01;3.014311e+02;2.015090e+00;8.088698e-03;3.980865e-03;2.201582e-02
47;0.470000;8.609602e-01;3.052373e+02;1.843453e+00;7.040363e-03;2.666516e-03;4.241055e-02
48;0.480000;7.801895e-01;3.076826e+02;1.618787e+00;6.600342e-03;5.579857e-03;1.878666e-01
49;0.490000;7.636479e-01;3.091207e+02;1.654189e+00;2.596206e-02;2.146986e-02;1.989437e-01
50;0.500000;8.036605e-01;3.109511e+02;1.264173e+00;3.152150e-02;3.083474e-02;2.785788e-01
51;0.510000;8.934312e-01;3.135316e+02;1.061197e+00;4.404079e-02;5.065359e-02;1.617730e-01
