frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;3.563200e-01;0;2.572091e-02;0;0;0
1;0.010000;3.429052e-01;0;2.215714e-02;0;0;0
2;0.020000;3.063012e-01;0;2.330487e-02;0;0;0
3;0.030000;2.566460e-01;0;1.360672e-02;0;0;0
4;0.040000;2.177518e-01;0;1.145978e-02;0;0;0
5;0.050000;2.033759e-01;0;1.251858e-02;0;0;0
6;0.060000;1.911963e-01;0;1.481924e-02;0;0;0
7;0.070000;1.785537e-01;0;1.600573e-02;0;0;0
8;0.080000;1.922126e-01;0;1.107336e-02;0;0;0
9;0.090000;2.420425e-01;0;1.225985e-02;0;0;0
10;0.100000;3.141603e-01;0;1.225985e-02;0;0;0
11;0.110000;3.635190e-01;0;1.667246e-02;0;0;0
12;0.120000;3.342470e-01;0;1.847085e-02;0;0;0
13;0.130000;3.203822e-01;0;2.172500e-02;0;0;0
14;0.140000;2.506249e-01;0;1.876815e-02;0;0;0
15;0.150000;2.298098e-01;0;2.318077e-02;0;0;0
16;0.160000;1.893383e-01;0;2.088706e-02;0;0;0
17;0.170000;2.012693e-01;0;2.628874e-02;0;0;0
18;0.180000;2.273118e-01;0;3.283999e-02;0;0;0
19;0.190000;3.107447e-01;0;5.244905e-02;0;0;0
20;0.200000;3.280026e-01;0;4.704737e-02;0;0;0
21;0.210000;3.471432e-01;0;4.294096e-02;0;0;0
22;0.220000;2.700025e-01;0;3.234616e-02;0;0;0
23;0.230000;2.317759e-01;0;3.005246e-02;0;0;0
24;0.240000;2.766018e-01;0;2.465078e-02;0;0;0
25;0.250000;3.726531e-01;0;1.978694e-02;0;0;0
26;0.260000;4.946511e-01;0;2.449845e-02;0;0;0
27;0.270000;4.841877e-01;0;3.245679e-02;0;0;0
28;0.280000;3.862081e-01;0;8.674047e-02;0;0;0
29;0.290000;3.103547e-01;0;1.622281e-01;0;0;2.783883e-02
30;0.300000;2.935545e-01;0;1.850747e-01;5.199053e-03;5.158151e-03;3.044596e-01
31;0.310000;3.548372e-01;0;1.919755e-01;1.634018e-01;1.619898e-01;6.377929e-01
32;0.320000;4.700052e-01;0;3.860410e-01;2.197968e-01;2.905631e-01;9.432874e-01
33;0.330000;5.998431e-01;6.966825e+01;8.093174e-01;2.657616e-01;2.888300e-01;7.379068e-01
34;0.340000;7.046168e-01;1.395024e+02;1.195664e+00;1.557438e-01;1.423732e-01;5.097591e-01
35;0.350000;6.311301e-01;2.100096e+02;1.484071e+00;1.475338e-01;2.417475e-02;2.816115e-01
36;0.360000;4.818555e-01;1.403414e+02;1.348624e+00;1.021988e-01;4.916880e-02;3.629194e-01
37;0.370000;3.612412e-01;7.050726e+01;1.014937e+00;7.445750e-02;4.779961e-02;3.155700e-01
38;0.380000;4.019028e-01;0;5.840866e-01;7.464857e-02;6.832412e-02;4.804264e-01
39;0.390000;4.666544e-01;0;3.040922e-01;1.158416e-01;4.808336e-02;3.366864e-01
40;0.400000;4.445301e-01;0;2.383970e-01;9.539797e-02;3.907770e-02;2.788501e-01
41;0.410000;3.604749e-01;0;1.515492e-01;4.702193e-02;8.178328e-03;8.807887e-03
42;0.420000;2.824285e-01;0;1.638872e-01;0;0;0
43;0.430000;3.089627e-01;0;1.151518e-01;0;0;0
44;0.440000;3.809577e-01;0;7.832288e-02;0;0;0
45;0.450000;4.229890e-01;0;2.799875e-02;0;0;0
46;0.460000;3.898988e-01;0;2.968552e-02;0;0;0
