frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;2.847429e-01;0;2.396348e-01;0;0;0
1;0.010000;2.683234e-01;0;1.848979e-01;0;0;0
2;0.020000;2.811349e-01;0;1.789196e-01;0;0;0
3;0.030000;2.473011e-01;0;1.162348e-01;0;0;0
4;0.040000;2.486182e-01;0;1.721077e-01;0;0;0
5;0.050000;2.420712e-01;0;1.051501e-01;0;0;0
6;0.060000;2.776966e-01;0;2.197724e-01;0;0;0
7;0.070000;3.246441e-01;0;2.087242e-01;0;0;0
8;0.080000;3.645175e-01;0;2.253233e-01;0;0;0
9;0.090000;3.610620e-01;0;2.160140e-01;0;0;0
10;0.100000;3.329379e-01;0;1.861682e-01;0;0;0
11;0.110000;2.726651e-01;0;2.766646e-01;0;0;0
12;0.120000;2.372756e-01;0;2.334908e-01;0;0;0
13;0.130000;2.197685e-01;0;3.896332e-01;0;0;0
14;0.140000;1.954817e-01;0;3.282730e-01;0;0;0
15;0.150000;1.990698e-01;0;4.118997e-01;0;0;0
16;0.160000;2.135750e-01;0;3.152813e-01;0;0;0
17;0.170000;2.897950e-01;0;3.635614e-01;0;0;0
18;0.180000;3.510537e-01;0;2.840948e-01;0;0;0
19;0.190000;3.632673e-01;0;3.019776e-01;0;0;0
20;0.200000;3.599420e-01;0;4.044658e-01;1.286225e-02;0;1.062749e-01
21;0.210000;3.798139e-01;0;3.434727e-01;2.907322e-02;6.374672e-03;2.849819e-01
22;0.220000;4.265276e-01;0;3.337294e-01;1.200843e-01;4.522834e-02;5.010132e-01
23;0.230000;3.907824e-01;0;2.121745e-01;1.072221e-01;4.522834e-02;3.947383e-01
24;0.240000;3.150535e-01;0;3.252752e-01;9.101108e-02;3.885367e-02;2.160313e-01
25;0.250000;2.763144e-01;0;3.782927e-01;0;0;4.652832e-02
26;0.260000;3.345530e-01;0;3.053277e-01;1.190612e-01;9.359776e-02;3.798617e-01
27;0.270000;5.059572e-01;0;2.064096e-01;2.013401e-01;1.320180e-01;6.521763e-01
28;0.280000;6.874401e-01;105;2.141704e-01;2.404927e-01;2.141191e-01;6.110830e-01
29;0.290000;8.243780e-01;210;2.602073e-01;1.605841e-01;2.026224e-01;2.831848e-01
30;0.300000;8.180685e-01;3.142606e+02;6.159092e-01;8.288381e-02;1.993137e-01;2.861498e-02
31;0.310000;7.241195e-01;3.120628e+02;6.727667e-01;5.205536e-02;1.210725e-01;2.984729e-02
