frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;3.409950e-01;0;1.657565e-01;0;0;0
1;0.010000;5.070679e-01;0;1.440196e-01;0;0;0
2;0.020000;6.672079e-01;7.945947e+01;1.194927e-01;0;0;5.823068e-02
3;0.030000;7.548577e-01;1.580781e+02;1.034784e-01;1.403226e-02;0;3.695126e-01
4;0.040000;8.063533e-01;2.318011e+02;1.551775e-01;5.443033e-02;2.466519e-02;5.995770e-01
5;0.050000;8.630370e-01;2.220099e+02;5.799077e-01;8.534252e-02;3.040470e-02;5.498526e-01
6;0.060000;8.909603e-01;2.130595e+02;6.951178e-01;7.255271e-02;5.995922e-02;2.785343e-01
7;0.070000;8.938459e-01;2.111053e+02;8.670465e-01;3.580386e-02;3.768720e-02;6.534661e-02
8;0.080000;9.058141e-01;2.147579e+02;6.563153e-01;1.628541e-02;3.956748e-02;9.278488e-02
9;0.090000;9.186945e-01;2.173294e+02;9.709792e-01;2.447287e-02;1.229912e-02;6.378449e-02
10;0.100000;9.030290e-01;2.172679e+02;1.286407e+00;2.395480e-02;1.629329e-02;6.584424e-02
11;0.110000;8.047572e-01;2.167354e+02;1.390648e+00;1.797549e-02;1.116650e-02;5.548772e-02
12;0.120000;5.922679e-01;2.183650e+02;1.282322e+00;8.545578e-03;8.880336e-03;4.452447e-02
13;0.130000;3.428797e-01;1.466577e+02;8.977723e-01;5.414431e-03;2.492997e-03;2.558806e-02
14;0.140000;1.711565e-01;7.386935e+01;5.739354e-01;0;0;0
15;0.150000;1.124325e-01;0;6.125197e-01;0;0;0
16;0.160000;1.144407e-01;0;7.279758e-01;0;0;0
17;0.170000;1.133577e-01;0;1.027567e+00;0;0;0
18;0.180000;1.422655e-01;0;8.574891e-01;0;0;0
19;0.190000;2.434438e-01;0;1.148330e+00;0;0;0
20;0.200000;4.656180e-01;0;1.275282e+00;0;0;1.429423e-01
21;0.210000;6.981995e-01;7.989130e+01;1.247280e+00;5.794701e-02;0;3.119462e-01
22;0.220000;8.676284e-01;1.587258e+02;7.704912e-01;7.543660e-02;2.518792e-02;3.778753e-01
23;0.230000;9.090449e-01;2.365036e+02;9.108913e-01;7.773351e-02;3.049437e-02;2.487691e-01
24;0.240000;9.074616e-01;2.341854e+02;7.908413e-01;2.105925e-02;3.132985e-02;9.151015e-02
25;0.250000;8.952734e-01;2.321180e+02;1.322134e+00;1.034701e-02;1.135724e-02;8.335131e-02
26;0.260000;8.969290e-01;2.284525e+02;1.301203e+00;1.766734e-02;1.088402e-02;1.001644e-01
27;0.270000;9.071214e-01;2.229382e+02;1.484685e+00;2.163577e-02;1.258416e-02;1.565529e-01
28;0.280000;9.116700e-01;2.193218e+02;8.743476e-01;1.796383e-02;8.770261e-03;1.024503e-01
29;0.290000;9.131310e-01;2.194519e+02;3.127577e-01;1.145202e-02;5.338425e-03;7.546908e-02
30;0.300000;9.177229e-01;2.229959e+02;5.851425e-01;1.388863e-02;1.126145e-02;2.343878e-02
31;0.310000;9.299628e-01;2.270112e+02;9.621075e-01;1.419848e-02;1.002032e-02;2.631097e-02
32;0.320000;9.400780e-01;2.301372e+02;1.263570e+00;1.249885e-02;1.000255e-02;3.799726e-02
33;0.330000;9.461331e-01;2.319027e+02;1.021659e+00;4.939523e-03;1.944272e-03;4.053115e-02
34;0.340000;9.453934e-01;2.319027e+02;9.980947e-01;2.488517e-03;2.211105e-03;4.586544e-02
35;0.350000;9.377456e-01;2.312972e+02;1.146743e+00;1.405021e-03;1.528516e-03;4.900632e-02
36;0.360000;9.145058e-01;2.300967e+02;1.029461e+00;2.714435e-03;1.999241e-03;3.974526e-02
37;0.370000;8.646392e-01;2.289003e+02;1.169859e+00;3.834124e-03;2.077214e-03;4.742940e-02
38;0.380000;8.172493e-01;2.289045e+02;1.204253e+00;2.451856e-02;2.038420e-02;9.101728e-02
39;0.390000;7.669012e-01;2.351708e+02;1.190138e+00;4.082551e-02;2.166738e-02;8.471140e-02
40;0.400000;7.751607e-01;2.414330e+02;7.137578e-01;4.068540e-02;3.684986e-02;1.122362e-01
41;0.410000;8.097484e-01;2.402688e+02;2.691954e-01;2.645648e-02;2.316435e-02;1.382969e-01
42;0.420000;8.749555e-01;2.322654e+02;3.678234e-01;3.127879e-02;3.059884e-02;1.741777e-01
43;0.430000;9.019586e-01;2.246530e+02;5.500258e-01;3.387222e-02;2.482296e-02;1.420758e-01
44;0.440000;8.745532e-01;2.236694e+02;6.002184e-01;2.777494e-02;2.208064e-02;8.287391e-02
45;0.450000;8.458923e-01;2.236694e+02;4.496245e-01;1.472000e-02;2.133292e-02;6.801944e-02
46;0.460000;8.481846e-01;2.222008e+02;3.045041e-01;2.117463e-02;1.302258e-02;1.567929e-01
47;0.470000;8.877501e-01;2.196403e+02;3.513249e-01;2.674490e-02;1.496432e-02;1.917523e-01
48;0.480000;9.195250e-01;2.174458e+02;3.581227e-01;1.978700e-02;7.000198e-03;1.724214e-01
49;0.490000;9.302097e-01;2.168882e+02;5.742651e-01;1.133153e-02;6.362961e-03;7.942244e-02
50;0.500000;9.318520e-01;2.177827e+02;9.650369e-01;5.673566e-03;3.345987e-03;3.186847e-02
51;0.510000;9.191073e-01;2.186807e+02;1.380807e+00;5.070874e-03;4.230195e-03;3.935384e-02
52;0.520000;8.828452e-01;2.195895e+02;1.767501e+00;4.476046e-03;5.027226e-03;4.084898e-02
53;0.530000;8.303738e-01;2.205055e+02;1.425950e+00;4.247074e-03;5.097862e-03;9.099539e-02
54;0.540000;7.586620e-01;2.214271e+02;1.206594e+00;1.238382e-02;2.248822e-02;1.669697e-01
55;0.550000;6.971558e-01;2.214326e+02;8.555073e-01;1.419496e-02;2.392976e-02;2.218875e-01
56;0.560000;6.482040e-01;2.199788e+02;8.400286e-01;3.381211e-02;3.880740e-02;2.121441e-01
57;0.570000;6.569681e-01;2.179817e+02;6.340606e-01;2.786569e-02;3.575270e-02;1.648747e-01
58;0.580000;7.066389e-01;2.163574e+02;3.085611e-01;2.915327e-02;3.339596e-02;1.026516e-01
59;0.590000;7.872971e-01;2.167302e+02;6.581041e-01;9.295672e-03;2.185775e-02;7.317025e-02
60;0.600000;8.563485e-01;2.185408e+02;9.203894e-01;2.414527e-02;2.461201e-02;4.580244e-02
61;0.610000;9.041576e-01;2.194460e+02;1.478382e+00;2.913945e-02;3.328449e-02;4.783098e-02
62;0.620000;9.252911e-01;2.183650e+02;1.660959e+00;3.279087e-02;3.474276e-02;2.140727e-02
63;0.630000;9.262065e-01;2.158566e+02;1.533637e+00;1.504849e-02;1.757045e-02;1.240494e-02
64;0.640000;9.155648e-01;2.137429e+02;1.449774e+00;6.046588e-03;9.407726e-03;1.750577e-02
65;0.650000;9.126477e-01;2.122031e+02;1.183093e+00;3.304344e-03;4.390132e-03;2.873555e-02
66;0.660000;9.183550e-01;2.108422e+02;1.249215e+00;5.094469e-03;4.448737e-03;5.212243e-02
67;0.670000;9.280120e-01;2.103349e+02;1.287073e+00;4.203940e-03;6.328076e-03;7.384337e-02
68;0.680000;9.326205e-01;2.105024e+02;1.237647e+00;6.010620e-03;7.668376e-03;7.282553e-02
69;0.690000;9.338529e-01;2.110064e+02;1.404587e+00;3.621006e-03;7.095886e-03;5.406691e-02
70;0.700000;9.313273e-01;2.118551e+02;1.254070e+00;4.118579e-03;5.025700e-03;2.948498e-02
71;0.710000;9.077592e-01;2.130534e+02;1.387343e+00;1.918941e-03;3.494551e-03;2.764183e-02
72;0.720000;8.447576e-01;2.144325e+02;1.148656e+00;1.918941e-03;3.494551e-03;2.764183e-02
73;0.730000;7.391119e-01;2.158319e+02;1.179464e+00;1.918941e-03;3.494551e-03;2.764183e-02
74;0.740000;7.150850e-01;2.185714e+02;7.942719e-01;1.160338e-01;1.740605e-01;1.267410e-01
75;0.750000;7.662274e-01;2.210683e+02;6.772906e-01;1.342296e-01;1.871665e-01;2.790459e-01
76;0.760000;7.372029e-01;2.215322e+02;3.215199e-01;1.524254e-01;2.002725e-01;4.313506e-01
77;0.770000;5.638497e-01;1.472595e+02;3.397278e-01;3.767095e-02;2.854174e-02;3.230375e-01
78;0.780000;3.428842e-01;7.287952e+01;4.584056e-01;1.883548e-02;1.427087e-02;1.615187e-01
79;0.790000;2.897664e-01;0;4.574244e-01;0;0;0
80;0.800000;4.538429e-01;0;1.069815e+00;0;0;0
81;0.810000;6.665531e-01;7.101450e+01;9.461989e-01;0;0;0
82;0.820000;8.502390e-01;1.413559e+02;1.288013e+00;5.283161e-03;0;7.109667e-02
83;0.830000;9.011491e-01;2.108598e+02;7.555201e-01;7.873975e-03;2.693158e-03;7.693251e-02
84;0.840000;9.167764e-01;2.087012e+02;7.242511e-01;1.187345e-02;4.132909e-03;9.890360e-02
85;0.850000;9.200613e-01;2.062614e+02;5.304299e-01;1.130964e-02;4.909400e-03;3.124748e-02
86;0.860000;9.227105e-01;2.038822e+02;4.652864e-01;9.851816e-03;5.786558e-03;3.273590e-02
87;0.870000;9.209547e-01;2.018445e+02;6.171500e-01;7.030595e-03;5.538962e-03;1.825922e-02
88;0.880000;9.140746e-01;2.006099e+02;6.171501e-01;2.960208e-03;5.011431e-03;1.830737e-02
89;0.890000;8.943251e-01;1.998512e+02;6.950845e-01;2.745717e-03;1.712446e-03;2.965802e-02
90;0.900000;8.561556e-01;1.991008e+02;7.782823e-01;5.834147e-03;3.880235e-03;7.430454e-02
91;0.910000;8.343589e-01;1.980601e+02;6.103844e-01;9.451876e-03;6.991219e-03;1.229568e-01
92;0.920000;8.479275e-01;1.977698e+02;7.044484e-01;1.309052e-02;1.214611e-02;2.047992e-01
93;0.930000;8.900514e-01;1.983691e+02;6.342256e-01;1.306778e-02;1.213236e-02;1.830261e-01
94;0.940000;9.152595e-01;1.992586e+02;9.100706e-01;1.107698e-02;9.504410e-03;1.840207e-01
95;0.950000;9.048972e-01;1.996987e+02;7.220284e-01;9.773895e-03;4.361863e-03;9.753660e-02
96;0.960000;7.733945e-01;1.996987e+02;5.938933e-01;8.462318e-03;1.308741e-03;1.128086e-01
97;0.970000;5.747555e-01;1.331828e+02;4.451009e-01;9.118802e-03;8.698241e-04;1.053128e-01
98;0.980000;3.608797e-01;6.666702e+01;3.663156e-01;5.864734e-03;5.861469e-04;9.127954e-02
99;0.990000;3.300249e-01;0;3.008227e-01;2.932367e-03;2.930734e-04;4.563977e-02
100;1.000000;5.035779e-01;0;3.886922e-01;0;0;0
101;1.010000;7.339099e-01;7.386935e+01;5.032911e-01;1.775011e-02;0;1.149126e-01
102;1.020000;8.997629e-01;1.477387e+02;6.456618e-01;2.114896e-02;7.780122e-03;1.318610e-01
103;1.030000;9.314649e-01;2.210595e+02;6.799784e-01;2.228720e-02;8.574692e-03;1.697926e-01
104;1.040000;9.327812e-01;2.196057e+02;1.153069e+00;5.366500e-03;8.813162e-03;6.273127e-02
105;1.050000;9.289234e-01;2.176194e+02;1.619077e+00;2.797057e-03;1.271512e-03;5.363419e-02
106;1.060000;9.252391e-01;2.160059e+02;1.729999e+00;4.539247e-03;5.381256e-03;3.585179e-02
107;1.070000;9.112006e-01;2.156509e+02;1.450506e+00;7.680319e-03;8.627657e-03;3.622333e-02
108;1.080000;8.848820e-01;2.169094e+02;1.256358e+00;7.878678e-03;1.131966e-02;2.883773e-02
109;1.090000;8.508579e-01;2.196368e+02;1.286082e+00;7.639412e-03;8.020592e-03;2.895247e-02
110;1.100000;8.047960e-01;2.220109e+02;1.234202e+00;5.245139e-03;5.613164e-03;4.405716e-02
111;1.110000;7.196609e-01;2.227387e+02;8.612989e-01;9.167206e-03;6.079726e-03;5.276579e-02
112;1.120000;5.770874e-01;2.216248e+02;7.123565e-01;1.147588e-02;7.871510e-03;4.167620e-02
113;1.130000;4.682888e-01;1.471902e+02;7.019270e-01;2.106525e-02;1.317561e-02;8.524399e-02
114;1.140000;4.977916e-01;7.332081e+01;6.726720e-01;4.024530e-02;2.355116e-02;1.750330e-01
115;1.150000;6.411932e-01;7.277228e+01;5.500841e-01;5.805789e-02;2.316936e-02;1.931605e-01
116;1.160000;7.882023e-01;1.464681e+02;3.861136e-01;5.009435e-02;2.738070e-02;1.453241e-01
117;1.170000;8.242657e-01;2.210874e+02;4.335868e-01;4.564076e-02;3.121593e-02;9.213128e-02
118;1.180000;7.650175e-01;2.237076e+02;7.806346e-01;2.889746e-02;3.799171e-02;1.081506e-01
119;1.190000;7.345840e-01;2.252160e+02;1.061807e+00;5.170910e-02;4.716044e-02;2.247016e-01
120;1.200000;6.689736e-01;2.242850e+02;1.244171e+00;4.210472e-02;5.624117e-02;1.882378e-01
121;1.210000;5.706776e-01;2.256236e+02;9.672971e-01;1.211504e-01;1.240133e-01;3.039187e-01
122;1.220000;4.237429e-01;1.504195e+02;6.684966e-01;9.513668e-02;1.042517e-01;1.683089e-01
123;1.230000;3.266657e-01;7.673110e+01;5.644379e-01;8.506476e-02;7.756314e-02;1.590021e-01
124;1.240000;4.413799e-01;0;4.497992e-01;0;0;0
