frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;5.487165e-01;0;8.671840e-03;0;0;0
1;0.010000;5.584621e-01;1.059603e+02;2.391217e-02;0;0;0
2;0.020000;5.088437e-01;2.102225e+02;3.683786e-02;0;0;0
3;0.030000;4.404772e-01;2.102225e+02;4.117377e-02;0;0;0
4;0.040000;4.024235e-01;1.042622e+02;2.159753e-02;0;0;3.333333e-01
5;0.050000;5.063515e-01;0;1.943447e-02;1.158141e-02;0;6.058293e-01
6;0.060000;6.621714e-01;6.722689e+01;5.689807e-02;4.006692e-02;2.012964e-02;7.520173e-01
7;0.070000;7.347789e-01;1.359281e+02;2.982222e-01;6.698423e-02;2.361816e-02;4.637728e-01
8;0.080000;6.105979e-01;2.061035e+02;5.829549e-01;6.345367e-02;4.183450e-02;2.678629e-01
9;0.090000;4.113976e-01;1.388766e+02;7.615850e-01;3.496816e-02;2.170486e-02;1.216749e-01
10;0.100000;2.664252e-01;7.017544e+01;6.160708e-01;8.050849e-03;1.821634e-02;7.658604e-02
11;0.110000;2.142382e-01;0;3.986391e-01;0;0;0
12;0.120000;1.972783e-01;0;2.398082e-01;0;0;0
13;0.130000;1.851417e-01;0;2.651637e-01;0;0;0
14;0.140000;2.036437e-01;0;2.766897e-01;0;0;0
15;0.150000;2.358581e-01;0;3.823348e-01;0;0;0
16;0.160000;2.828820e-01;0;3.588394e-01;0;0;0
17;0.170000;4.649494e-01;0;3.890684e-01;0;0;0
18;0.180000;6.715009e-01;6.896552e+01;3.451432e-01;0;0;0
19;0.190000;8.529766e-01;1.376363e+02;4.134222e-01;1.785799e-03;0;1.661029e-01
20;0.200000;8.758016e-01;2.058669e+02;4.475386e-01;3.516687e-03;4.089115e-05;2.341216e-01
21;0.210000;8.618591e-01;2.046992e+02;7.363937e-01;5.446405e-03;4.271740e-04;2.435393e-01
22;0.220000;8.460643e-01;2.033971e+02;1.042619e+00;5.590324e-03;8.134569e-04;8.685423e-02
23;0.230000;8.365078e-01;2.023934e+02;1.236523e+00;2.012071e-02;1.489302e-02;8.168206e-02
24;0.240000;8.396544e-01;2.018225e+02;1.005564e+00;1.940713e-02;2.961121e-02;2.075331e-01
25;0.250000;8.309636e-01;2.016807e+02;5.994642e-01;2.576094e-02;3.629414e-02;2.262788e-01
26;0.260000;8.199684e-01;2.016807e+02;3.021334e-01;1.234106e-02;2.479903e-02;2.242436e-01
27;0.270000;8.124704e-01;2.015400e+02;1.792049e-01;1.580084e-02;1.410127e-02;2.240123e-01
28;0.280000;8.262900e-01;2.015412e+02;2.344844e-01;2.784566e-02;1.880085e-02;4.796773e-01
29;0.290000;8.624677e-01;2.018249e+02;2.667016e-01;2.879561e-02;2.547860e-02;5.191871e-01
30;0.300000;8.936799e-01;2.021073e+02;5.942089e-01;2.617354e-02;2.362558e-02;3.994444e-01
31;0.310000;9.113035e-01;2.021062e+02;9.912251e-01;1.197084e-02;1.511622e-02;1.333087e-01
32;0.320000;9.076110e-01;2.018225e+02;1.520949e+00;9.623258e-03;1.046848e-02;4.496027e-02
33;0.330000;8.798640e-01;2.016807e+02;1.700873e+00;8.891382e-03;8.030850e-03;5.359968e-02
34;0.340000;8.362350e-01;2.015400e+02;1.708519e+00;1.035741e-02;1.107122e-02;6.630259e-02
35;0.350000;7.779850e-01;2.011193e+02;1.318423e+00;1.179756e-02;9.939660e-03;2.221141e-01
36;0.360000;7.421100e-01;2.006985e+02;1.068121e+00;1.985644e-02;1.400380e-02;3.694886e-01
37;0.370000;7.470835e-01;2.005579e+02;6.088832e-01;1.399177e-02;1.339287e-02;4.581543e-01
38;0.380000;7.792863e-01;2.006973e+02;4.659253e-01;1.944245e-02;1.630262e-02;3.537358e-01
39;0.390000;8.136671e-01;2.008368e+02;2.326645e-01;1.414037e-02;1.438749e-02;2.624101e-01
40;0.400000;8.436157e-01;2.008368e+02;2.433152e-01;1.201189e-01;1.729861e-01;2.938592e-01
41;0.410000;7.243946e-01;2.008447e+02;2.292608e-01;1.164979e-01;1.691865e-01;2.610950e-01
42;0.420000;5.201983e-01;1.338991e+02;2.388941e-01;1.124191e-01;1.669214e-01;1.811120e-01
43;0.430000;3.748653e-01;6.695350e+01;2.438657e-01;4.713601e-03;2.633906e-03;3.060161e-02
44;0.440000;4.659438e-01;0;2.128453e-01;0;0;1.184110e-01
45;0.450000;6.575039e-01;6.837607e+01;2.106750e-01;4.409857e-02;0;4.517444e-01
46;0.460000;7.755402e-01;1.360369e+02;3.760271e-01;1.002705e-01;1.950468e-02;4.579783e-01
47;0.470000;8.209212e-01;2.028430e+02;4.862329e-01;1.081252e-01;4.588042e-02;4.616320e-01
48;0.480000;8.538666e-01;2.001890e+02;4.142188e-01;8.404565e-02;5.158414e-02;2.511619e-01
49;0.490000;8.863320e-01;1.974371e+02;4.505268e-01;4.789266e-02;3.778319e-02;3.677913e-01
50;0.500000;9.016331e-01;1.954094e+02;7.284459e-01;4.309674e-02;2.082963e-02;2.576806e-01
51;0.510000;9.041616e-01;1.939454e+02;1.152343e+00;2.910993e-02;1.832808e-02;1.431080e-01
52;0.520000;9.024490e-01;1.926570e+02;1.014254e+00;1.386053e-02;1.380062e-02;4.135206e-02
