frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;3.682493e-01;0;7.655799e-02;0;0;0
1;0.010000;3.825133e-01;0;8.394974e-02;0;0;0
2;0.020000;4.345469e-01;0;7.846829e-02;0;0;0
3;0.030000;5.523908e-01;8.909091e+01;7.293526e-02;0;0;0
4;0.040000;6.772675e-01;1.784534e+02;6.068118e-02;9.547982e-02;0;3.333333e-01
5;0.050000;8.045362e-01;2.680876e+02;1.420545e-01;1.531350e-01;3.450973e-02;4.507029e-01
6;0.060000;9.045967e-01;2.686308e+02;3.202449e-01;1.577943e-01;6.114337e-02;4.693684e-01
7;0.070000;9.521850e-01;2.689024e+02;3.963214e-01;7.039517e-02;6.536276e-02;1.520603e-01
8;0.080000;9.599855e-01;2.691774e+02;6.053509e-01;1.349503e-02;3.505416e-02;5.733381e-02
9;0.090000;9.561418e-01;2.694524e+02;7.945499e-01;1.045618e-02;9.331969e-03;4.601394e-02
10;0.100000;9.432859e-01;2.689124e+02;8.230886e-01;4.437423e-03;5.918796e-03;4.494966e-02
11;0.110000;9.314049e-01;2.695068e+02;8.492076e-01;7.452878e-03;5.903236e-03;4.451388e-02
12;0.120000;9.310182e-01;2.695741e+02;9.014084e-01;1.211881e-02;1.024691e-02;7.125899e-02
13;0.130000;9.405065e-01;2.677211e+02;9.386964e-01;1.029799e-02;2.173455e-02;6.195204e-02
14;0.140000;9.467563e-01;2.629500e+02;1.130926e+00;1.691217e-02;2.770003e-02;4.166323e-02
15;0.150000;9.429062e-01;2.572150e+02;9.823417e-01;1.158568e-02;2.770478e-02;2.051220e-02
16;0.160000;9.265656e-01;2.534993e+02;9.121506e-01;1.362209e-02;1.600404e-02;2.149530e-02
17;0.170000;8.960784e-01;2.503537e+02;7.520868e-01;8.929147e-03;8.825303e-03;5.848171e-02
18;0.180000;8.899220e-01;2.477815e+02;5.473759e-01;1.590919e-02;5.949132e-03;2.055553e-01
19;0.190000;9.019392e-01;2.448094e+02;6.419982e-01;2.376045e-02;6.550701e-03;2.351407e-01
20;0.200000;9.294108e-01;2.416844e+02;4.223663e-01;1.832109e-02;1.320561e-02;2.179407e-01
21;0.210000;9.377101e-01;2.386270e+02;4.460977e-01;1.165858e-02;1.154671e-02;6.862920e-02
22;0.220000;9.186080e-01;2.358536e+02;5.184017e-01;1.240770e-02;1.986449e-02;5.074381e-02
23;0.230000;8.736385e-01;2.331590e+02;6.650761e-01;1.832292e-02;1.514889e-02;4.530595e-02
24;0.240000;8.591306e-01;2.299396e+02;6.424717e-01;2.036749e-02;1.720832e-02;5.009711e-02
25;0.250000;8.768766e-01;2.265905e+02;5.740945e-01;1.491143e-02;1.513564e-02;5.793558e-02
26;0.260000;9.200094e-01;2.238793e+02;6.413755e-01;1.416571e-02;1.766383e-02;6.784414e-02
27;0.270000;9.261861e-01;2.221714e+02;7.639065e-01;1.294587e-02;1.644441e-02;5.992424e-02
28;0.280000;9.115050e-01;2.210577e+02;8.047705e-01;9.626047e-03;1.056942e-02;4.132160e-02
29;0.290000;8.951160e-01;2.199552e+02;6.098425e-01;8.023064e-03;6.538315e-03;6.997105e-02
30;0.300000;8.852744e-01;2.190428e+02;6.670846e-01;1.224593e-02;8.977882e-03;1.128653e-01
31;0.310000;8.705031e-01;2.201946e+02;4.959482e-01;1.646879e-02;1.141745e-02;1.557595e-01
32;0.320000;8.141646e-01;2.218914e+02;5.665283e-01;1.264988e-02;8.008745e-03;1.009344e-01
33;0.330000;6.050243e-01;2.233786e+02;4.979520e-01;6.324939e-03;4.004373e-03;5.046720e-02
34;0.340000;3.852070e-01;1.489095e+02;5.584295e-01;0;0;0
35;0.350000;2.113440e-01;7.425947e+01;3.916831e-01;0;0;0
36;0.360000;2.015688e-01;0;2.487982e-01;0;0;0
37;0.370000;2.101266e-01;0;3.286736e-01;0;0;0
38;0.380000;2.764041e-01;0;4.085184e-01;0;0;0
39;0.390000;4.274690e-01;0;4.508612e-01;0;0;0
40;0.400000;6.288712e-01;7.313433e+01;2.717237e-01;0;0;0
41;0.410000;8.010967e-01;1.448690e+02;2.822435e-01;0;0;8.178850e-02
42;0.420000;8.805329e-01;2.128489e+02;3.494073e-01;1.528861e-02;0;1.201530e-01
43;0.430000;9.011433e-01;2.049060e+02;4.551886e-01;2.297145e-02;7.253399e-03;1.216606e-01
44;0.440000;8.634393e-01;2.002200e+02;4.245236e-01;2.699880e-02;1.100170e-02;4.704660e-02
45;0.450000;8.319959e-01;2.049927e+02;3.483156e-01;1.401440e-02;1.269701e-02;1.010117e-02
46;0.460000;8.286806e-01;2.161655e+02;2.453786e-01;7.950694e-03;6.117498e-03;2.241132e-01
47;0.470000;8.608756e-01;2.237843e+02;2.303037e-01;2.096539e-02;2.859178e-02;3.507876e-01
48;0.480000;8.883781e-01;2.225851e+02;4.644417e-01;3.886804e-02;4.219783e-02;3.758796e-01
49;0.490000;8.882244e-01;2.165559e+02;7.526813e-01;4.585853e-02;5.067135e-02;1.910077e-01
50;0.500000;8.323560e-01;2.122234e+02;9.381477e-01;3.453876e-02;2.923103e-02;6.326378e-02
51;0.510000;7.577367e-01;2.110048e+02;8.078351e-01;2.005418e-02;1.871195e-02;4.285774e-02
52;0.520000;7.172053e-01;2.108373e+02;5.109211e-01;2.485469e-01;2.450150e-01;1.805716e-01
53;0.530000;6.875375e-01;2.106699e+02;2.401632e-01;4.799271e-01;4.756831e-01;3.428282e-01
54;0.540000;6.723204e-01;2.106699e+02;1.684528e-01;7.113072e-01;7.063512e-01;5.050847e-01
55;0.550000;6.352585e-01;2.011024e+02;2.506184e-01;4.742048e-01;4.709008e-01;3.367231e-01
56;0.560000;5.882486e-01;1.886680e+02;2.953326e-01;2.371024e-01;2.354504e-01;1.683616e-01
57;0.570000;5.101582e-01;1.183331e+02;2.848492e-01;0;0;3.087719e-02
