frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;5.034221e-01;0;3.909652e-02;0;0;0
1;0.010000;4.414460e-01;0;6.052141e-02;0;0;0
2;0.020000;4.348010e-01;0;8.609828e-02;0;0;0
3;0.030000;4.751684e-01;0;9.379098e-02;0;0;0
4;0.040000;5.219231e-01;0;1.020134e-01;0;0;0
5;0.050000;5.103995e-01;0;8.039262e-02;0;0;3.333333e-01
6;0.060000;4.679447e-01;0;1.530049e-01;0;0;6.666667e-01
7;0.070000;5.645959e-01;0;1.177200e-01;3.314534e-01;3.333333e-01;7.914216e-01
8;0.080000;7.078878e-01;1.515464e+02;3.649844e-01;3.847735e-01;3.409830e-01;4.896114e-01
9;0.090000;8.598099e-01;2.997887e+02;5.538965e-01;4.380937e-01;3.486327e-01;1.878012e-01
10;0.100000;8.792117e-01;4.142579e+02;7.530480e-01;1.147390e-01;3.906012e-02;7.276037e-02
11;0.110000;8.307819e-01;3.471970e+02;7.401602e-01;6.461137e-02;3.496783e-02;8.281399e-02
12;0.120000;8.176975e-01;2.805360e+02;6.077267e-01;3.084125e-02;3.924385e-02;1.140501e-01
13;0.130000;8.397573e-01;2.430492e+02;7.346256e-01;3.329068e-02;2.627031e-02;1.157654e-01
14;0.140000;8.831041e-01;2.333849e+02;5.637202e-01;4.064622e-02;3.350022e-02;8.561810e-02
15;0.150000;8.638787e-01;2.251244e+02;5.760092e-01;4.206005e-02;3.100615e-02;8.479363e-02
16;0.160000;7.010601e-01;2.207351e+02;3.706754e-01;3.151195e-02;2.021887e-02;7.336419e-02
17;0.170000;5.261186e-01;1.459138e+02;2.955016e-01;2.096386e-02;9.431596e-03;6.193476e-02
18;0.180000;4.114156e-01;7.259304e+01;1.961262e-01;0;0;0
19;0.190000;4.930781e-01;0;1.249245e-01;0;0;1.740666e-01
20;0.200000;6.222335e-01;8.305085e+01;4.380482e-01;5.068813e-02;5.340135e-02;5.074000e-01
21;0.210000;7.612348e-01;1.640924e+02;4.143474e-01;8.673877e-02;5.871320e-02;6.003709e-01
22;0.220000;8.444371e-01;2.429133e+02;7.764161e-01;9.040073e-02;9.028325e-02;4.434117e-01
23;0.230000;8.996442e-01;2.380562e+02;9.488673e-01;4.097205e-02;3.873741e-02;1.461240e-01
24;0.240000;9.116802e-01;2.345878e+02;1.013661e+00;9.230491e-03;3.533381e-02;8.447259e-02
25;0.250000;9.193172e-01;2.329327e+02;7.617540e-01;1.043759e-02;6.879093e-03;1.092417e-01
26;0.260000;9.165567e-01;2.317023e+02;6.549045e-01;1.140947e-02;5.549714e-03;1.217804e-01
27;0.270000;9.111567e-01;2.325566e+02;6.190030e-01;1.155318e-02;7.592489e-03;1.151608e-01
28;0.280000;9.047963e-01;2.355003e+02;5.692281e-01;1.271876e-02;7.927631e-03;7.468072e-02
29;0.290000;8.967974e-01;2.388648e+02;6.729004e-01;1.652207e-02;1.085198e-02;2.749270e-02
30;0.300000;8.585590e-01;2.414347e+02;6.783898e-01;2.080128e-02;1.030594e-02;5.081696e-02
31;0.310000;7.691231e-01;2.429918e+02;6.996219e-01;1.879520e-01;1.767895e-01;3.095395e-01
32;0.320000;6.622610e-01;2.443306e+02;3.321226e-01;2.342294e-01;2.670334e-01;6.414765e-01
33;0.330000;5.795648e-01;2.441124e+02;3.131469e-01;2.254974e-01;2.636284e-01;5.934523e-01
34;0.340000;5.149349e-01;1.624457e+02;2.121649e-01;5.231202e-02;9.369433e-02;3.333333e-01
35;0.350000;4.132747e-01;8.077899e+01;1.565214e-01;0;0;0
36;0.360000;3.054769e-01;0;1.625021e-01;0;0;0
37;0.370000;2.532486e-01;0;1.720176e-01;0;0;0
38;0.380000;2.434546e-01;0;1.272300e-01;0;0;0
39;0.390000;2.405719e-01;0;1.776674e-01;0;0;0
40;0.400000;2.436786e-01;0;2.886303e-01;0;0;0
41;0.410000;2.535954e-01;0;4.298466e-01;0;0;0
42;0.420000;2.635043e-01;0;4.790674e-01;0;0;0
43;0.430000;2.548207e-01;0;5.827165e-01;0;0;0
44;0.440000;2.529835e-01;0;5.589232e-01;0;0;0
45;0.450000;2.356366e-01;0;5.330191e-01;0;0;0
46;0.460000;2.750904e-01;0;2.989802e-01;0;0;0
47;0.470000;3.066222e-01;0;1.618042e-01;0;0;0
48;0.480000;2.900825e-01;0;5.732476e-02;0;0;0
49;0.490000;2.430198e-01;0;5.937975e-02;0;0;0
50;0.500000;2.954172e-01;0;7.978413e-02;0;0;0
51;0.510000;4.867977e-01;0;8.589701e-02;0;0;7.856730e-02
52;0.520000;6.844273e-01;7.241380e+01;6.741519e-02;6.473077e-02;0;4.119006e-01
53;0.530000;8.183077e-01;1.446501e+02;1.212412e-01;1.388588e-01;2.379239e-02;4.130224e-01
54;0.540000;8.815334e-01;2.167089e+02;4.426858e-01;1.428645e-01;6.096325e-02;4.159465e-01
55;0.550000;9.100018e-01;2.167107e+02;5.959180e-01;8.237393e-02;6.253754e-02;1.009524e-01
56;0.560000;9.191055e-01;2.174277e+02;5.831900e-01;9.916770e-03;4.058848e-02;1.359399e-01
57;0.570000;9.238658e-01;2.185032e+02;4.002844e-01;7.582004e-03;5.260941e-03;9.055785e-02
58;0.580000;9.198282e-01;2.190410e+02;4.354971e-01;7.991542e-03;7.751841e-03;9.394068e-02
59;0.590000;9.055786e-01;2.188599e+02;5.433554e-01;8.847431e-03;7.996213e-03;1.350593e-01
60;0.600000;8.894547e-01;2.203930e+02;4.086663e-01;1.176900e-02;8.183753e-03;1.490645e-01
