frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;2.932997e-01;0;1.414703e-01;0;0;7.619683e-02
1;0.010000;2.948276e-01;0;1.575079e-01;0;0;1.523937e-01
2;0.020000;3.138685e-01;0;1.568050e-01;0;0;2.285905e-01
3;0.030000;3.117698e-01;0;1.640513e-01;0;0;2.285905e-01
4;0.040000;3.380381e-01;0;1.336827e-01;0;0;2.285905e-01
5;0.050000;3.452203e-01;0;1.492502e-01;0;0;1.523937e-01
6;0.060000;3.334787e-01;0;1.390216e-01;0;0;7.619683e-02
7;0.070000;2.850011e-01;0;1.339942e-01;0;0;0
8;0.080000;2.505341e-01;0;1.034751e-01;0;0;3.333333e-01
9;0.090000;3.231190e-01;0;7.722997e-02;2.942052e-01;3.333333e-01;4.227907e-01
10;0.100000;5.220866e-01;0;7.450658e-02;3.083733e-01;3.444442e-01;7.561240e-01
11;0.110000;7.437401e-01;7.819149e+01;1.555390e-01;3.335067e-01;3.868894e-01;5.933214e-01
12;0.120000;8.643255e-01;1.561761e+02;1.841403e-01;6.722606e-02;8.038736e-02;5.839494e-01
13;0.130000;8.784183e-01;2.343698e+02;4.470236e-01;5.599346e-02;8.243923e-02;2.873985e-01
14;0.140000;8.726949e-01;2.347880e+02;9.668245e-01;3.379564e-02;5.315683e-02;1.536502e-01
15;0.150000;8.888876e-01;2.352039e+02;1.287636e+00;2.430361e-02;3.731195e-02;1.517231e-01
16;0.160000;9.238210e-01;2.352017e+02;1.130816e+00;2.259935e-02;3.244127e-02;1.258684e-01
17;0.170000;9.442684e-01;2.352039e+02;8.267171e-01;2.719270e-02;2.497965e-02;1.055400e-01
18;0.180000;9.482377e-01;2.360492e+02;6.172429e-01;9.193768e-03;2.109835e-02;3.333066e-02
19;0.190000;9.334102e-01;2.375331e+02;6.367913e-01;8.424127e-03;1.283371e-02;2.833435e-02
20;0.200000;9.129939e-01;2.390308e+02;3.528595e-01;2.706458e-03;7.884079e-03;1.943302e-02
21;0.210000;9.061739e-01;2.401128e+02;7.559447e-01;6.345244e-03;4.806943e-03;8.769733e-02
22;0.220000;9.176876e-01;2.412091e+02;1.139804e+00;9.762879e-03;7.470341e-03;1.809597e-01
23;0.230000;9.373269e-01;2.423150e+02;1.164641e+00;1.049109e-02;8.587087e-03;2.080389e-01
24;0.240000;9.452684e-01;2.432026e+02;8.496079e-01;8.064805e-03;5.966292e-03;1.686267e-01
25;0.250000;9.457118e-01;2.436464e+02;8.002084e-01;5.230317e-03;3.554836e-03;8.495767e-02
26;0.260000;9.281559e-01;2.434233e+02;1.025592e+00;3.912466e-03;3.177712e-03;9.007043e-02
27;0.270000;8.837568e-01;2.429771e+02;1.323565e+00;6.404621e-03;3.735803e-03;7.365156e-02
28;0.280000;8.328729e-01;2.423101e+02;1.460881e+00;7.966942e-03;4.831609e-03;7.536317e-02
29;0.290000;8.359478e-01;2.414274e+02;1.873734e+00;2.315363e-02;1.139656e-02;1.408706e-01
30;0.300000;8.719757e-01;2.407677e+02;1.750139e+00;2.154713e-02;3.541088e-02;1.292146e-01
31;0.310000;9.220063e-01;2.407677e+02;1.294357e+00;2.121835e-02;3.515625e-02;1.156579e-01
32;0.320000;9.334808e-01;2.416505e+02;8.174291e-01;6.746320e-03;2.841189e-02;2.117826e-02
33;0.330000;9.298880e-01;2.432101e+02;6.306904e-01;5.823726e-03;2.862602e-03;3.185201e-02
34;0.340000;8.550915e-01;2.450151e+02;6.429169e-01;4.769165e-03;3.119838e-03;3.739572e-02
35;0.350000;7.674728e-01;2.470763e+02;7.847824e-01;2.893826e-03;3.818031e-03;4.531977e-02
36;0.360000;7.224040e-01;2.494098e+02;8.931293e-01;3.208056e-03;5.249835e-03;4.860741e-02
37;0.370000;7.180380e-01;2.520302e+02;1.058796e+00;7.703739e-03;7.635108e-03;4.654002e-02
38;0.380000;6.715114e-01;2.549445e+02;1.276809e+00;1.336227e-02;9.388254e-03;3.499940e-02
39;0.390000;5.809586e-01;1.709418e+02;1.004271e+00;1.734043e-02;1.084651e-02;3.662789e-02
40;0.400000;5.181268e-01;8.596786e+01;1.027888e+00;1.480883e-02;7.534172e-03;5.161742e-02
41;0.410000;4.651225e-01;0;6.752771e-01;1.797628e-02;1.350160e-02;5.657467e-02
42;0.420000;4.355422e-01;0;1.170282e+00;2.333773e-02;1.717261e-02;1.084783e-01
43;0.430000;5.036182e-01;0;1.372627e+00;3.050729e-02;1.802772e-02;1.253559e-01
44;0.440000;6.736083e-01;1.176000e+02;1.603711e+00;3.618442e-02;1.903488e-02;1.343676e-01
45;0.450000;8.402638e-01;2.356742e+02;1.352698e+00;2.776342e-02;1.660084e-02;1.117506e-01
46;0.460000;9.047081e-01;3.547045e+02;1.297020e+00;1.918867e-02;1.826644e-02;1.444736e-01
47;0.470000;9.055247e-01;3.556606e+02;1.129588e+00;1.907789e-02;1.574680e-02;1.587380e-01
48;0.480000;8.832161e-01;3.551864e+02;9.914063e-01;3.990124e-02;1.561066e-02;1.732705e-01
49;0.490000;8.359355e-01;3.605811e+02;7.458995e-01;6.349875e-02;3.139357e-02;1.546684e-01
50;0.500000;7.453545e-01;3.629132e+02;8.288595e-01;7.442567e-02;4.192992e-02;1.724230e-01
51;0.510000;5.477758e-01;3.579982e+02;7.803869e-01;5.076034e-02;3.750873e-02;1.062877e-01
52;0.520000;5.306725e-01;2.335732e+02;6.775602e-01;2.538017e-02;1.875436e-02;5.314386e-02
53;0.530000;6.154612e-01;2.742235e+02;4.136615e-01;6.578933e-02;0;2.344715e-02
54;0.540000;8.334873e-01;3.079327e+02;3.288961e-01;9.057739e-02;1.954159e-02;1.410847e-01
55;0.550000;8.807639e-01;4.374707e+02;4.245753e-01;9.838042e-02;2.680901e-02;1.615699e-01
