frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;2.875877e-01;0;2.399219e-02;0;0;0
1;0.010000;3.647667e-01;0;3.168757e-02;0;0;0
2;0.020000;5.245769e-01;0;5.158417e-02;0;0;0
3;0.030000;6.799513e-01;9.130435e+01;4.951936e-02;0;0;1.326861e-01
4;0.040000;8.299704e-01;1.812336e+02;5.399793e-02;3.902453e-02;4.629642e-02;4.660194e-01
5;0.050000;9.074080e-01;2.700562e+02;1.179906e-01;6.570514e-02;6.928017e-02;5.460584e-01
6;0.060000;9.411514e-01;2.678428e+02;3.365953e-01;6.840774e-02;7.468161e-02;4.297574e-01
7;0.070000;9.416836e-01;2.667361e+02;7.410110e-01;3.195813e-02;2.849199e-02;1.010322e-01
8;0.080000;9.290009e-01;2.649232e+02;7.510648e-01;1.433783e-02;1.206363e-02;8.107278e-02
9;0.090000;9.140834e-01;2.615472e+02;6.575064e-01;1.630193e-02;9.845680e-03;9.312498e-02
10;0.100000;9.101210e-01;2.605242e+02;9.189325e-01;2.387967e-02;1.376667e-02;1.335747e-01
11;0.110000;8.954254e-01;2.648506e+02;1.038912e+00;1.734632e-02;1.151863e-02;8.846078e-02
12;0.120000;8.868597e-01;2.740098e+02;1.516576e+00;2.915197e-02;2.115441e-02;1.091605e-01
13;0.130000;8.706895e-01;2.845656e+02;1.482166e+00;2.309961e-02;2.308393e-02;1.178494e-01
14;0.140000;8.784177e-01;2.953572e+02;1.529099e+00;2.496368e-02;2.110751e-02;1.364252e-01
15;0.150000;8.900282e-01;3.062602e+02;1.159429e+00;1.215930e-02;1.031472e-02;1.286396e-01
16;0.160000;9.040689e-01;3.168178e+02;1.188955e+00;1.119562e-02;6.130230e-03;8.747693e-02
17;0.170000;9.031062e-01;3.269300e+02;1.334064e+00;1.280540e-02;7.540575e-03;6.832698e-02
18;0.180000;9.040568e-01;3.369295e+02;1.559220e+00;2.012767e-02;1.182408e-02;6.216908e-02
19;0.190000;9.163697e-01;3.470626e+02;1.000038e+00;2.115334e-02;1.278031e-02;5.542887e-02
20;0.200000;9.388116e-01;3.568333e+02;1.306401e+00;1.871979e-02;1.090376e-02;6.180967e-02
21;0.210000;9.571930e-01;3.656418e+02;1.030569e+00;8.878523e-03;5.972557e-03;5.863959e-02
22;0.220000;9.668091e-01;3.733294e+02;1.411719e+00;6.847965e-03;4.751902e-03;5.874589e-02
23;0.230000;9.725497e-01;3.802761e+02;1.296315e+00;4.738058e-03;3.736338e-03;5.198148e-02
24;0.240000;9.777031e-01;3.863601e+02;1.795444e+00;4.783888e-03;3.336917e-03;2.964549e-02
25;0.250000;9.800153e-01;3.914678e+02;1.867465e+00;3.148142e-03;2.687610e-03;3.072076e-02
26;0.260000;9.815509e-01;3.955449e+02;1.760079e+00;1.974620e-03;2.014527e-03;2.333473e-02
27;0.270000;9.821270e-01;3.985120e+02;1.372578e+00;9.585845e-04;1.430284e-03;1.586987e-02
28;0.280000;9.820364e-01;3.997052e+02;8.534103e-01;9.740639e-04;1.052411e-03;1.296885e-02
29;0.290000;9.807630e-01;3.985120e+02;5.406903e-01;1.957952e-03;1.693897e-03;1.669939e-02
30;0.300000;9.798751e-01;3.955449e+02;6.169919e-01;2.794564e-03;1.939594e-03;2.231884e-02
31;0.310000;9.794784e-01;3.920284e+02;1.243730e+00;7.324472e-03;4.954209e-03;1.939562e-02
32;0.320000;9.797488e-01;3.885739e+02;1.950666e+00;6.961577e-03;6.121177e-03;1.966296e-02
33;0.330000;9.802180e-01;3.857307e+02;2.078149e+00;6.434106e-03;5.921574e-03;2.826748e-02
34;0.340000;9.794738e-01;3.834879e+02;1.929487e+00;1.875491e-03;2.877908e-03;4.805762e-02
35;0.350000;9.776998e-01;3.818253e+02;1.686153e+00;2.112031e-03;1.877171e-03;5.172693e-02
36;0.360000;9.752553e-01;3.801819e+02;1.284203e+00;2.698283e-03;1.732168e-03;4.956692e-02
37;0.370000;9.726768e-01;3.785478e+02;1.240828e+00;3.242812e-03;2.291756e-03;7.089251e-02
