frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;4.765683e-01;0;2.279377e-01;0;0;0
1;0.010000;6.416647e-01;6.374502e+01;2.212949e-01;0;0;0
2;0.020000;8.135145e-01;1.274900e+02;2.864945e-01;5.486917e-03;0;5.676493e-02
3;0.030000;8.431382e-01;1.911086e+02;5.754295e-01;1.097383e-02;0;1.135299e-01
4;0.040000;7.520142e-01;1.909821e+02;9.141381e-01;1.520696e-02;1.278112e-03;1.300337e-01
5;0.050000;5.725426e-01;1.909821e+02;1.076466e+00;1.848690e-02;4.525732e-03;1.228850e-01
6;0.060000;3.813076e-01;1.273636e+02;8.832248e-01;4.334019e-02;1.519928e-02;1.166615e-01
7;0.070000;2.614124e-01;6.374502e+01;8.428318e-01;6.944729e-02;2.459471e-02;1.506991e-01
8;0.080000;2.138082e-01;0;8.054561e-01;6.560457e-02;4.740639e-02;1.499301e-01
9;0.090000;2.196267e-01;0;9.414456e-01;3.526435e-02;3.673285e-02;9.938869e-02
10;0.100000;2.987563e-01;0;9.427029e-01;4.924141e-03;2.605931e-02;4.884724e-02
11;0.110000;4.950446e-01;0;1.007273e+00;0;0;0
12;0.120000;7.030602e-01;7.142857e+01;8.160928e-01;0;0;1.984822e-01
13;0.130000;8.493049e-01;1.410412e+02;6.530183e-01;1.439043e-02;2.069638e-02;2.398055e-01
14;0.140000;8.850731e-01;2.086947e+02;5.211182e-01;2.033880e-02;2.227045e-02;2.697780e-01
15;0.150000;8.705103e-01;2.043548e+02;5.952772e-01;2.292530e-02;2.535602e-02;8.002236e-02
16;0.160000;8.219970e-01;2.011334e+02;4.126697e-01;1.181563e-02;4.786708e-03;8.568353e-02
17;0.170000;7.992535e-01;1.995955e+02;2.762516e-01;9.148006e-03;3.339714e-03;1.026955e-01
18;0.180000;7.979565e-01;1.986226e+02;1.918735e-01;9.842265e-03;3.812142e-04;1.409533e-01
