frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;3.259241e-01;0;1.144603e-01;0;0;0
1;0.010000;3.172285e-01;0;1.409981e-01;0;0;0
2;0.020000;3.159927e-01;0;1.625527e-01;0;0;0
3;0.030000;2.918740e-01;0;1.558588e-01;0;0;0
4;0.040000;2.800765e-01;0;2.257354e-01;0;0;0
5;0.050000;2.838369e-01;0;4.153786e-01;0;0;0
6;0.060000;3.060515e-01;0;4.873675e-01;0;0;0
7;0.070000;3.699280e-01;0;6.493734e-01;0;0;0
8;0.080000;4.257266e-01;0;4.662924e-01;0;0;0
9;0.090000;4.550983e-01;0;4.796720e-01;0;0;0
10;0.100000;4.632342e-01;0;5.540284e-01;0;0;0
11;0.110000;4.627863e-01;0;8.099323e-01;0;0;0
12;0.120000;4.316182e-01;0;9.209027e-01;0;0;0
13;0.130000;4.033410e-01;0;7.804331e-01;0;0;0
14;0.140000;3.430319e-01;0;5.672553e-01;0;0;0
15;0.150000;3.004742e-01;0;3.352351e-01;0;0;0
16;0.160000;3.106480e-01;0;1.384081e-01;0;0;0
17;0.170000;4.189623e-01;0;8.980787e-02;0;0;3.333333e-01
18;0.180000;5.835468e-01;7.207207e+01;1.065384e-01;8.819047e-02;0;3.401625e-01
19;0.190000;7.109654e-01;1.446378e+02;1.448734e-01;1.446177e-01;5.561647e-02;5.548337e-01
20;0.200000;7.634417e-01;2.187262e+02;4.534746e-01;1.524321e-01;9.283048e-02;2.604508e-01
21;0.210000;7.448466e-01;2.217714e+02;8.688195e-01;6.931600e-02;9.314980e-02;2.896209e-01
22;0.220000;6.135865e-01;2.243231e+02;1.083409e+00;1.288873e-02;3.753333e-02;7.494973e-02
23;0.230000;4.636811e-01;1.502347e+02;1.023883e+00;5.074381e-03;3.193218e-04;3.599932e-02
24;0.240000;3.736616e-01;7.511737e+01;6.429664e-01;0;0;0
25;0.250000;3.140076e-01;0;6.665193e-01;0;0;0
26;0.260000;2.833459e-01;0;5.683736e-01;0;0;0
27;0.270000;2.531379e-01;0;6.378540e-01;0;0;0
28;0.280000;3.713648e-01;0;3.933862e-01;0;0;0
29;0.290000;5.483488e-01;9.523809e+01;2.250801e-01;6.091649e-04;0;2.380335e-01
30;0.300000;7.309101e-01;1.913420e+02;2.930174e-01;4.181959e-02;5.477465e-02;3.368747e-01
31;0.310000;8.358313e-01;2.892095e+02;4.838071e-01;5.608048e-02;6.652956e-02;4.284728e-01
32;0.320000;8.819626e-01;2.936686e+02;9.681983e-01;6.023341e-02;6.871207e-02;2.276218e-01
33;0.330000;8.922837e-01;2.991613e+02;1.032135e+00;2.190405e-02;1.687097e-02;1.454070e-01
34;0.340000;8.765510e-01;3.038578e+02;1.128056e+00;9.527362e-03;7.382486e-03;7.834154e-02
35;0.350000;8.290222e-01;3.057571e+02;1.329775e+00;8.146413e-03;7.549732e-03;9.003887e-02
36;0.360000;6.938575e-01;3.057571e+02;2.068041e+00;5.265343e-03;4.616182e-03;7.341240e-02
37;0.370000;4.898666e-01;2.031930e+02;2.902622e+00;3.381144e-03;2.349753e-03;4.887984e-02
38;0.380000;2.838326e-01;1.015965e+02;2.654341e+00;0;0;0
39;0.390000;1.931722e-01;0;1.864016e+00;0;0;0
40;0.400000;1.760742e-01;0;1.133229e+00;0;0;0
41;0.410000;1.947846e-01;0;1.354989e+00;0;0;0
42;0.420000;2.164102e-01;0;1.778655e+00;0;0;0
43;0.430000;2.949286e-01;0;1.737139e+00;0;0;0
44;0.440000;4.977339e-01;0;1.881451e+00;0;0;4.869936e-02
45;0.450000;7.095533e-01;1.045752e+02;1.546161e+00;5.345479e-02;9.805474e-02;1.759519e-01
46;0.460000;8.834002e-01;2.091503e+02;1.475393e+00;9.103016e-02;1.306707e-01;2.453884e-01
47;0.470000;9.239202e-01;3.117523e+02;1.413688e+00;1.013816e-01;1.410297e-01;2.245209e-01
48;0.480000;9.287298e-01;3.087737e+02;1.230779e+00;5.477352e-02;4.627506e-02;1.126396e-01
49;0.490000;9.202787e-01;3.067627e+02;1.515676e+00;1.727660e-02;2.042902e-02;5.752209e-02
50;0.500000;9.177474e-01;3.077302e+02;1.160643e+00;9.404029e-03;1.275169e-02;7.595388e-02
51;0.510000;9.302289e-01;3.107089e+02;1.704472e+00;4.905941e-03;1.103273e-02;9.620611e-02
52;0.520000;9.408031e-01;3.127199e+02;1.774344e+00;6.372495e-03;6.815828e-03;9.733975e-02
53;0.530000;9.379136e-01;3.147712e+02;2.104550e+00;6.829325e-03;6.172679e-03;6.417140e-02
54;0.540000;8.960108e-01;3.168627e+02;2.066413e+00;6.475800e-03;5.378020e-03;4.775530e-02
55;0.550000;8.254008e-01;3.189543e+02;1.594487e+00;1.256935e-02;9.084688e-03;5.649231e-02
56;0.560000;8.098175e-01;3.189543e+02;1.230382e+00;2.115773e-02;1.026935e-02;1.145999e-01
57;0.570000;8.408282e-01;3.168627e+02;6.332155e-01;2.647651e-02;1.213088e-02;1.600673e-01
58;0.580000;9.044477e-01;3.147712e+02;5.974545e-01;2.166143e-02;8.756421e-03;1.853161e-01
59;0.590000;9.102845e-01;3.137255e+02;1.192413e+00;1.095226e-02;6.017003e-03;1.253976e-01
60;0.600000;8.577659e-01;3.137255e+02;1.421060e+00;6.837273e-03;5.772675e-03;9.680074e-02
61;0.610000;7.622531e-01;3.127199e+02;1.494618e+00;4.013789e-03;2.887467e-03;4.736230e-02
62;0.620000;6.525027e-01;3.127602e+02;8.592991e-01;3.198922e-03;2.403697e-03;3.607783e-02
63;0.630000;5.628099e-01;3.148517e+02;1.116158e+00;7.084053e-03;0;5.168070e-02
64;0.640000;5.252560e-01;2.112820e+02;1.254955e+00;4.424246e-02;2.951519e-02;1.233212e-01
65;0.650000;5.092841e-01;1.066667e+02;1.035119e+00;1.004974e-01;3.554349e-02;1.392900e-01
66;0.660000;4.275366e-01;0;7.823498e-01;9.341332e-02;3.554349e-02;8.760930e-02
67;0.670000;3.291523e-01;0;5.716785e-01;5.625491e-02;6.028296e-03;1.596885e-02
68;0.680000;3.600407e-01;0;6.036620e-01;0;0;0
69;0.690000;5.714600e-01;1.134752e+02;4.373455e-01;0;0;0
70;0.700000;7.987542e-01;2.246345e+02;4.868374e-01;5.152315e-02;0;2.119608e-01
71;0.710000;8.735483e-01;3.334781e+02;7.541406e-01;6.436827e-02;4.514526e-02;3.161020e-01
72;0.720000;8.540342e-01;3.277580e+02;1.156847e+00;6.689719e-02;4.899756e-02;3.503281e-01
73;0.730000;8.295158e-01;3.222195e+02;1.281784e+00;1.969831e-02;5.154983e-02;1.741063e-01
74;0.740000;8.425524e-01;3.189969e+02;1.759105e+00;8.426579e-03;9.321008e-03;7.953566e-02
75;0.750000;8.740204e-01;3.189969e+02;2.211458e+00;1.430204e-02;1.174121e-02;5.111463e-02
76;0.760000;8.629909e-01;3.222196e+02;2.282214e+00;1.248475e-02;1.270851e-02;2.585169e-02
77;0.770000;8.111060e-01;3.254422e+02;1.597479e+00;1.211802e-02;1.114240e-02;7.722589e-02
78;0.780000;7.402646e-01;3.254422e+02;8.365860e-01;1.165773e-02;1.095605e-02;1.125820e-01
79;0.790000;6.789079e-01;3.232653e+02;1.564376e+00;9.150759e-03;7.436479e-03;1.021059e-01
80;0.800000;5.857140e-01;3.210884e+02;1.660273e+00;7.944100e-03;6.086154e-03;4.116115e-02
81;0.810000;4.670109e-01;2.133333e+02;1.878219e+00;0;0;0
82;0.820000;3.715941e-01;1.066667e+02;1.334672e+00;0;0;0
83;0.830000;3.204201e-01;0;1.453828e+00;0;0;0
84;0.840000;2.987430e-01;0;1.227217e+00;0;0;0
85;0.850000;2.697135e-01;0;7.257285e-01;0;0;0
86;0.860000;2.600180e-01;0;5.273342e-01;0;0;0
87;0.870000;2.338578e-01;0;7.936385e-01;0;0;0
88;0.880000;2.498681e-01;0;1.286112e+00;0;0;0
89;0.890000;3.953307e-01;0;1.644567e+00;0;0;0
90;0.900000;6.280711e-01;8.080808e+01;1.826438e+00;0;0;0
91;0.910000;8.354159e-01;1.572482e+02;1.421082e+00;0;0;2.412104e-03
92;0.920000;9.137040e-01;2.319315e+02;1.357575e+00;1.010218e-02;6.307669e-03;5.894718e-02
93;0.930000;9.263151e-01;2.295718e+02;1.322484e+00;2.257114e-02;7.869574e-03;1.252970e-01
94;0.940000;9.448343e-01;2.327337e+02;1.606156e+00;3.312306e-02;1.197658e-02;1.435398e-01
95;0.950000;9.635612e-01;2.401794e+02;1.932598e+00;3.935407e-02;5.712970e-03;1.131280e-01
96;0.960000;9.779727e-01;2.463871e+02;1.686725e+00;3.033898e-02;1.095392e-02;6.647600e-02
97;0.970000;9.821090e-01;2.514412e+02;1.342078e+00;2.314541e-02;8.346000e-03;8.147187e-02
98;0.980000;9.810657e-01;2.539682e+02;6.755769e-01;8.779654e-03;9.929663e-03;6.435830e-02
99;0.990000;9.714883e-01;2.546510e+02;9.120218e-01;7.385523e-03;3.536205e-03;5.485319e-02
100;1.000000;9.299688e-01;2.560164e+02;1.354297e+00;5.086140e-03;2.723041e-03;2.802673e-02
101;1.010000;9.104006e-01;2.637538e+02;2.054751e+00;1.536897e-02;1.259092e-02;3.803643e-02
102;1.020000;9.038242e-01;2.781122e+02;2.602091e+00;4.791320e-02;3.326352e-02;4.525232e-02
103;1.030000;9.293053e-01;2.936872e+02;2.457324e+00;5.720838e-02;5.790230e-02;1.349199e-01
104;1.040000;9.401448e-01;3.048633e+02;2.699628e+00;5.529695e-02;5.374673e-02;1.435564e-01
105;1.050000;9.440724e-01;3.107870e+02;2.528894e+00;2.251585e-02;4.293177e-02;1.553849e-01
106;1.060000;9.280437e-01;3.158572e+02;3.187055e+00;1.936884e-02;2.301653e-02;8.856917e-02
107;1.070000;8.514246e-01;3.223585e+02;2.442836e+00;9.030030e-03;1.567650e-02;6.091340e-02
108;1.080000;7.575389e-01;3.302128e+02;2.550766e+00;7.207153e-03;5.409450e-03;3.167626e-02
109;1.090000;7.285838e-01;3.347054e+02;2.325207e+00;0;0;0
110;1.100000;7.409509e-01;3.323896e+02;2.474300e+00;0;0;0
111;1.110000;7.640001e-01;3.255811e+02;1.739749e+00;0;0;0
112;1.120000;6.372584e-01;3.190371e+02;9.875200e-01;0;0;0
113;1.130000;6.294527e-01;2.112820e+02;7.448874e-01;0;0;0
114;1.140000;6.770558e-01;2.315995e+02;5.148318e-01;0;0;0
115;1.150000;8.195774e-01;2.448979e+02;6.132602e-01;0;0;0
116;1.160000;8.183300e-01;3.526531e+02;6.010644e-01;0;0;0
117;1.170000;8.247644e-01;3.323356e+02;1.342958e+00;0;0;0
118;1.180000;8.391832e-01;3.145387e+02;1.678210e+00;0;0;0
119;1.190000;8.880375e-01;2.980117e+02;2.024512e+00;0;0;0
120;1.200000;8.643438e-01;2.750051e+02;1.751865e+00;3.587351e-03;0;8.242732e-02
121;1.210000;8.129696e-01;2.557705e+02;1.683099e+00;8.768171e-03;9.787148e-04;2.145745e-01
122;1.220000;6.566579e-01;2.499250e+02;1.292232e+00;8.768171e-03;9.787148e-04;2.145745e-01
123;1.230000;5.955298e-01;1.662648e+02;1.054468e+00;5.180819e-03;9.787148e-04;1.321472e-01
124;1.240000;6.150376e-01;1.920492e+02;8.883769e-01;7.009142e-02;2.974504e-03;2.348704e-01
125;1.250000;7.787884e-01;2.133333e+02;8.783589e-01;9.750083e-02;2.852855e-02;2.741405e-01
126;1.260000;8.721854e-01;320;1.121859e+00;9.919817e-02;3.310937e-02;2.952079e-01
127;1.270000;9.239476e-01;3.189543e+02;1.262399e+00;3.121890e-02;3.158337e-02;6.192846e-02
128;1.280000;9.414318e-01;3.168627e+02;1.943991e+00;7.150693e-03;6.189767e-03;2.718595e-02
129;1.290000;9.535827e-01;3.147712e+02;1.877493e+00;6.069827e-03;2.702739e-03;1.175054e-02
130;1.300000;9.574301e-01;3.137255e+02;2.416833e+00;4.557923e-03;1.640366e-03;2.546439e-02
131;1.310000;9.598073e-01;3.137255e+02;2.582667e+00;2.052857e-03;1.760292e-03;3.281151e-02
132;1.320000;9.495025e-01;3.137255e+02;2.336559e+00;2.167634e-03;1.243829e-03;3.822801e-02
133;1.330000;9.218578e-01;3.137255e+02;2.276394e+00;4.026758e-03;2.656630e-03;3.554495e-02
134;1.340000;8.705657e-01;3.127199e+02;1.665086e+00;5.628154e-03;5.160084e-03;4.848464e-02
135;1.350000;7.980547e-01;3.088095e+02;1.896760e+00;1.031307e-02;6.976863e-03;4.621781e-02
136;1.360000;6.917157e-01;3.021019e+02;1.847745e+00;7.853703e-03;5.177937e-03;3.359600e-02
137;1.370000;6.289709e-01;2.938008e+02;1.829282e+00;5.416167e-03;2.394110e-03;3.421150e-01
138;1.380000;6.527786e-01;2.843641e+02;1.641232e+00;7.424755e-02;0;4.374906e-01
139;1.390000;7.264149e-01;2.753854e+02;9.023666e-01;9.223316e-02;4.584711e-02;4.712130e-01
140;1.400000;7.474104e-01;2.713450e+02;6.534477e-01;1.102188e-01;9.169421e-02;1.716021e-01
141;1.410000;7.261230e-01;2.736842e+02;4.032881e-01;3.597122e-02;9.169421e-02;6.744476e-02
142;1.420000;7.611641e-01;2.745897e+02;7.754470e-01;1.798561e-02;4.584711e-02;1.725282e-01
143;1.430000;8.479052e-01;2.693831e+02;9.878363e-01;3.527248e-02;9.638113e-03;2.316279e-01
144;1.440000;9.266317e-01;2.625425e+02;1.532081e+00;3.566915e-02;4.111460e-02;2.602341e-01
