frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;2.860903e-01;0;2.290051e-01;0;0;0
1;0.010000;2.966793e-01;0;1.784052e-01;0;0;0
2;0.020000;2.955392e-01;0;1.504688e-01;0;0;0
3;0.030000;4.437718e-01;0;2.078731e-01;0;0;5.249519e-03
4;0.040000;5.991797e-01;5.263158e+01;5.982235e-01;0;0;1.049904e-02
5;0.050000;7.715729e-01;1.033376e+02;1.164953e+00;0;0;1.574856e-02
6;0.060000;8.228536e-01;1.519703e+02;1.538655e+00;4.143944e-02;0;3.841526e-02
7;0.070000;8.142527e-01;1.476051e+02;1.401751e+00;8.287888e-02;0;6.108196e-02
8;0.080000;7.704475e-01;1.460804e+02;1.166659e+00;8.847598e-02;3.514652e-02;9.933379e-02
9;0.090000;7.493920e-01;1.474497e+02;1.138689e+00;4.703655e-02;3.514652e-02;7.141757e-02
10;0.100000;6.865835e-01;1.487957e+02;1.270649e+00;5.597105e-03;3.514652e-02;4.350135e-02
11;0.110000;6.441450e-01;1.506118e+02;1.138428e+00;0;0;0
12;0.120000;6.175407e-01;1.530688e+02;8.333578e-01;0;0;0
13;0.130000;4.790021e-01;1.559153e+02;4.704701e-01;0;0;0
14;0.140000;3.349223e-01;1.049180e+02;3.652455e-01;0;0;0
15;0.150000;1.712847e-01;5.245901e+01;2.929668e-01;0;0;0
16;0.160000;1.691411e-01;0;3.827672e-01;0;0;0
17;0.170000;3.027398e-01;0;3.078662e-01;0;0;0
18;0.180000;4.794503e-01;0;6.760165e-01;0;0;0
19;0.190000;6.993155e-01;5.633803e+01;7.563947e-01;0;0;0
20;0.200000;8.096055e-01;1.108228e+02;8.837051e-01;0;0;0
21;0.210000;8.604820e-01;1.632824e+02;7.317781e-01;0;0;7.261063e-02
22;0.220000;8.718882e-01;1.591468e+02;1.157529e+00;3.518025e-03;0;9.718209e-02
23;0.230000;8.763580e-01;1.566947e+02;1.683538e+00;8.808966e-03;1.828757e-03;9.761173e-02
24;0.240000;8.811903e-01;1.558501e+02;2.303114e+00;1.409991e-02;3.657513e-03;2.543074e-02
25;0.250000;8.790786e-01;1.549297e+02;2.331429e+00;1.286279e-02;6.126339e-03;7.814378e-03
26;0.260000;8.449299e-01;1.541791e+02;1.883998e+00;9.852760e-03;6.766407e-03;1.433982e-02
27;0.270000;7.672639e-01;1.539286e+02;1.245285e+00;4.751480e-03;5.030836e-03;3.122696e-02
28;0.280000;7.200184e-01;1.540935e+02;1.094468e+00;2.660232e-03;2.655195e-03;4.158865e-02
29;0.290000;7.282123e-01;1.560263e+02;1.437711e+00;5.689842e-04;2.795550e-04;5.195035e-02
