frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;1.909276e-01;0;5.137684e-02;0;0;0
1;0.010000;2.348467e-01;0;5.462427e-02;0;0;0
2;0.020000;2.435800e-01;0;5.729799e-02;0;0;0
3;0.030000;2.286152e-01;0;3.503579e-02;0;0;0
4;0.040000;2.037133e-01;0;6.388091e-02;0;0;0
5;0.050000;2.303606e-01;0;5.755256e-02;0;0;0
6;0.060000;3.641426e-01;0;7.031482e-02;0;0;0
7;0.070000;4.254939e-01;0;2.939525e-02;0;0;0
8;0.080000;5.018623e-01;0;2.993429e-02;0;0;3.333333e-01
9;0.090000;5.064449e-01;0;2.390280e-02;0;0;6.666667e-01
10;0.100000;6.574208e-01;9.245283e+01;6.843920e-02;2.011595e-01;1.797891e-01;7.788073e-01
11;0.110000;7.891902e-01;1.849057e+02;1.303527e-01;2.158205e-01;2.231917e-01;5.338095e-01
12;0.120000;8.649096e-01;2.776511e+02;2.403683e-01;2.177589e-01;2.286874e-01;2.584003e-01
13;0.130000;8.695316e-01;2.785325e+02;3.716041e-01;1.861412e-02;5.189281e-02;1.709495e-01
14;0.140000;8.687425e-01;2.812502e+02;6.264088e-01;9.321702e-03;1.263675e-02;1.005337e-01
15;0.150000;8.905284e-01;2.861889e+02;9.499934e-01;1.069080e-02;8.373523e-03;5.843804e-02
16;0.160000;9.020321e-01;2.932252e+02;1.156881e+00;1.220122e-02;9.035293e-03;5.966476e-02
17;0.170000;8.801916e-01;3.004949e+02;1.427096e+00;1.113189e-02;5.819814e-03;7.158423e-02
18;0.180000;7.933393e-01;3.059700e+02;1.241881e+00;7.824400e-03;4.587349e-03;5.575581e-02
19;0.190000;6.470277e-01;3.073600e+02;1.249223e+00;4.299249e-03;9.311336e-04;2.983930e-02
20;0.200000;5.722386e-01;2.049197e+02;9.673500e-01;0;0;0
21;0.210000;5.062888e-01;1.017606e+02;8.555568e-01;0;0;0
22;0.220000;5.394896e-01;0;5.420281e-01;0;0;0
23;0.230000;4.160755e-01;0;2.683538e-01;0;0;0
24;0.240000;3.457210e-01;0;1.835842e-01;0;0;0
25;0.250000;2.095907e-01;0;1.178246e-01;0;0;0
26;0.260000;2.179355e-01;0;1.029019e-01;0;0;0
27;0.270000;2.025281e-01;0;2.031273e-01;0;0;0
28;0.280000;2.282724e-01;0;2.519160e-01;0;0;0
29;0.290000;3.168238e-01;0;3.985116e-01;0;0;0
30;0.300000;5.078878e-01;0;5.079923e-01;0;0;3.145766e-02
31;0.310000;7.141314e-01;9.018405e+01;5.769678e-01;2.612065e-02;3.713956e-02;8.373605e-02
32;0.320000;8.495429e-01;1.812136e+02;9.180841e-01;3.065287e-02;3.978885e-02;1.813835e-01
33;0.330000;9.119316e-01;2.730886e+02;8.536393e-01;3.330210e-02;4.150891e-02;1.757424e-01
34;0.340000;9.441707e-01;2.744942e+02;9.632443e-01;8.275631e-03;6.059635e-03;1.477020e-01
35;0.350000;9.501215e-01;2.747690e+02;1.035125e+00;4.270396e-03;3.819894e-03;5.341273e-02
36;0.360000;9.408557e-01;2.741984e+02;1.315642e+00;2.088644e-03;2.160067e-03;4.069221e-02
37;0.370000;8.853652e-01;2.739131e+02;1.120172e+00;1.246048e-03;6.364016e-04;2.343144e-02
38;0.380000;7.567399e-01;2.736313e+02;7.971194e-01;7.190718e-04;2.268500e-04;2.007323e-02
39;0.390000;7.077039e-01;2.730677e+02;7.667072e-01;2.515891e-04;1.666169e-04;6.977156e-03
40;0.400000;6.746974e-01;2.722257e+02;8.230570e-01;0;0;3.365388e-02
41;0.410000;6.923721e-01;2.651841e+02;7.788918e-01;3.328486e-03;3.281392e-03;5.850870e-02
42;0.420000;6.416839e-01;2.522211e+02;5.182720e-01;2.407715e-02;1.854989e-02;2.458548e-01
