frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;3.376228e-01;0;4.393867e-02;0;0;0
1;0.010000;4.395045e-01;0;4.988470e-02;3.776256e-02;0;1.275572e-01
2;0.020000;5.723231e-01;1.633333e+02;5.670032e-02;5.004818e-02;2.324991e-02;2.435709e-01
3;0.030000;5.636069e-01;3.266667e+02;5.777909e-02;5.004818e-02;2.324991e-02;2.435709e-01
4;0.040000;4.667819e-01;3.266667e+02;1.309352e-01;1.228562e-02;2.324991e-02;1.160138e-01
5;0.050000;3.006431e-01;1.633333e+02;1.122636e-01;0;0;0
6;0.060000;2.701079e-01;0;1.690613e-01;0;0;0
7;0.070000;3.149115e-01;0;1.192150e-01;0;0;0
8;0.080000;3.325465e-01;0;1.599553e-01;0;0;0
9;0.090000;3.156900e-01;0;1.640389e-01;0;0;0
10;0.100000;2.444525e-01;0;1.617789e-01;0;0;0
11;0.110000;2.493079e-01;0;1.532332e-01;0;0;0
12;0.120000;2.293170e-01;0;1.272026e-01;0;0;0
13;0.130000;2.235026e-01;0;1.934787e-01;0;0;0
14;0.140000;2.005002e-01;0;1.829823e-01;0;0;0
15;0.150000;1.892055e-01;0;2.635173e-01;0;0;0
16;0.160000;1.906409e-01;0;1.980029e-01;0;0;0
17;0.170000;1.791959e-01;0;3.224855e-01;0;0;0
18;0.180000;1.679050e-01;0;2.793290e-01;0;0;0
19;0.190000;1.702580e-01;0;3.956618e-01;0;0;0
20;0.200000;1.811301e-01;0;3.488241e-01;0;0;0
21;0.210000;1.767183e-01;0;3.975184e-01;0;0;0
22;0.220000;1.581023e-01;0;2.517710e-01;0;0;0
23;0.230000;1.559629e-01;0;2.424116e-01;0;0;0
24;0.240000;1.743516e-01;0;2.161107e-01;0;0;0
25;0.250000;1.908859e-01;0;2.402013e-01;0;0;0
26;0.260000;2.018274e-01;0;1.668255e-01;0;0;0
27;0.270000;2.135213e-01;0;3.497429e-01;0;0;0
28;0.280000;2.153999e-01;0;5.272210e-01;0;0;0
29;0.290000;2.096059e-01;0;5.903957e-01;0;0;0
30;0.300000;2.072109e-01;0;5.372959e-01;6.513275e-02;3.347092e-02;6.038278e-02
31;0.310000;2.354780e-01;0;4.724264e-01;8.922983e-02;5.847662e-02;1.340161e-01
