frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;2.724402e-01;0;4.601330e-03;0;0;0
1;0.010000;3.654324e-01;0;1.089869e-02;0;0;6.909431e-02
2;0.020000;5.142319e-01;4.757281e+01;2.074101e-02;0;0;1.381886e-01
3;0.030000;7.026019e-01;9.553686e+01;2.875239e-02;0;0;2.072829e-01
4;0.040000;7.959864e-01;1.435781e+02;4.778925e-02;7.899418e-02;0;3.896786e-01
5;0.050000;8.400927e-01;1.437326e+02;5.300549e-01;1.579884e-01;0;5.720744e-01
6;0.060000;8.563542e-01;1.430398e+02;9.283478e-01;1.590201e-01;3.916418e-02;5.342838e-01
7;0.070000;8.569589e-01;1.418138e+02;1.115749e+00;8.105767e-02;7.832836e-02;3.140975e-01
8;0.080000;8.558612e-01;1.409019e+02;7.233004e-01;3.777212e-03;7.919557e-02;7.645849e-02
9;0.090000;8.616058e-01;1.401514e+02;6.681888e-01;4.459200e-03;4.089860e-02;5.900583e-02
10;0.100000;8.629593e-01;1.395626e+02;9.752498e-01;5.141188e-03;2.601623e-03;4.155317e-02
11;0.110000;8.610168e-01;1.389012e+02;1.026408e+00;5.954995e-03;5.118337e-03;6.156005e-02
12;0.120000;8.596315e-01;1.385343e+02;9.471630e-01;6.069750e-03;5.532073e-03;7.744914e-02
13;0.130000;8.656316e-01;1.385343e+02;9.912366e-01;6.184505e-03;5.945809e-03;9.333824e-02
14;0.140000;8.701143e-01;1.386797e+02;1.059855e+00;4.806334e-03;3.115785e-03;8.735486e-02
15;0.150000;8.718586e-01;1.388980e+02;1.307180e+00;4.127216e-03;2.388739e-03;8.548925e-02
16;0.160000;8.712258e-01;1.391172e+02;8.885961e-01;3.091117e-03;1.283863e-03;5.935686e-02
17;0.170000;8.726417e-01;1.394850e+02;1.065973e+00;2.356292e-03;1.011211e-03;4.347691e-02
18;0.180000;8.732049e-01;1.401538e+02;8.767827e-01;1.621468e-03;7.385600e-04;2.759696e-02
19;0.190000;8.730590e-01;1.409751e+02;8.704021e-01;5.322228e-03;4.635511e-03;2.994918e-02
20;0.200000;8.688323e-01;1.419610e+02;1.057678e+00;9.400833e-03;8.427282e-03;2.391458e-02
21;0.210000;8.617136e-01;1.437706e+02;8.617652e-01;1.334804e-02;8.336228e-03;1.375342e-02
22;0.220000;8.515638e-01;1.465925e+02;1.009355e+00;1.321664e-02;4.453402e-03;9.626863e-03
23;0.230000;8.391090e-01;1.506361e+02;8.946308e-01;2.081552e-02;7.952434e-03;8.337281e-03
24;0.240000;8.355085e-01;1.558558e+02;1.177719e+00;3.841349e-02;1.683332e-02;1.154581e-02
25;0.250000;8.317745e-01;1.615595e+02;1.196741e+00;4.292713e-02;3.031215e-02;1.039006e-02
26;0.260000;8.376713e-01;1.673067e+02;1.229079e+00;4.407843e-02;2.675541e-02;8.373927e-03
27;0.270000;8.412304e-01;1.731442e+02;8.605258e-01;2.962981e-02;2.176992e-02;2.031380e-02
28;0.280000;8.561285e-01;1.792533e+02;8.490370e-01;2.826551e-02;1.218648e-02;3.661796e-02
29;0.290000;8.725758e-01;1.861942e+02;3.641202e-01;2.905081e-02;1.920939e-02;3.758514e-02
30;0.300000;8.906476e-01;1.937402e+02;9.933073e-01;2.693308e-02;1.777489e-02;3.552318e-02
31;0.310000;9.053965e-01;2.011844e+02;1.238681e+00;2.481536e-02;1.634039e-02;3.346122e-02
32;0.320000;9.185781e-01;2.078291e+02;1.796974e+00;1.618010e-02;7.953248e-03;4.475965e-02
33;0.330000;9.293435e-01;2.126115e+02;1.819971e+00;4.322803e-02;3.103158e-02;3.736455e-02
34;0.340000;9.339116e-01;2.156795e+02;1.732569e+00;3.938057e-02;4.526709e-02;2.691727e-02
35;0.350000;9.326228e-01;2.179782e+02;1.613344e+00;3.717626e-02;4.359937e-02;3.189472e-02
36;0.360000;9.261590e-01;2.217520e+02;1.444252e+00;9.351614e-03;1.967022e-02;9.010804e-02
37;0.370000;9.132642e-01;2.267088e+02;1.316596e+00;1.107045e-02;4.090339e-03;1.685573e-01
38;0.380000;8.763771e-01;2.333878e+02;1.149762e+00;1.173525e-02;3.733833e-03;2.979962e-01
39;0.390000;8.318093e-01;2.384192e+02;6.557267e-01;1.698906e-02;1.031860e-02;3.298267e-01
40;0.400000;8.056479e-01;2.392490e+02;4.465790e-01;2.398268e-02;1.381160e-02;2.804598e-01
41;0.410000;7.988098e-01;2.372309e+02;1.669391e-01;2.888825e-02;2.083750e-02;1.573436e-01
42;0.420000;7.946170e-01;2.339758e+02;2.100246e-01;2.110609e-02;2.242416e-02;1.196783e-01
43;0.430000;7.918286e-01;2.357826e+02;1.352072e-01;1.356434e-02;1.826976e-02;1.450897e-01
44;0.440000;7.788046e-01;2.441361e+02;1.337434e-01;4.244131e-02;4.523006e-02;1.422868e-01
45;0.450000;7.234319e-01;2.498509e+02;1.196555e-01;4.035300e-02;3.525836e-02;8.238336e-02
46;0.460000;6.157549e-01;2.500534e+02;1.157952e-01;3.763639e-02;3.461306e-02;2.341698e-02
47;0.470000;5.234292e-01;1.637109e+02;1.393482e-01;0;0;0
48;0.480000;4.680707e-01;8.020963e+01;1.017754e-01;0;0;0
49;0.490000;4.166632e-01;0;9.532606e-02;0;0;0
50;0.500000;3.890113e-01;0;6.956652e-02;0;0;0
51;0.510000;3.868982e-01;0;6.853928e-02;0;0;0
52;0.520000;4.748213e-01;0;1.038007e-01;0;0;0
53;0.530000;5.386692e-01;4.932886e+01;1.960867e-01;0;0;2.290771e-01
54;0.540000;5.774218e-01;9.874076e+01;4.927441e-01;5.477438e-02;0;4.468530e-01
55;0.550000;5.869762e-01;9.874076e+01;6.644462e-01;6.819826e-02;3.914466e-02;5.230344e-01
56;0.560000;6.004093e-01;9.436603e+01;9.564335e-01;8.019196e-02;4.009181e-02;4.053894e-01
57;0.570000;6.624807e-01;8.956974e+01;8.935270e-01;4.268911e-02;4.599108e-02;2.882762e-01
58;0.580000;7.186874e-01;1.333259e+02;1.031610e+00;3.650903e-02;1.649883e-02;3.086751e-01
59;0.590000;7.720695e-01;1.316709e+02;9.139010e-01;3.020121e-02;1.698601e-02;2.320599e-01
60;0.600000;7.881148e-01;1.308752e+02;7.938190e-01;1.478978e-02;1.382705e-02;1.918941e-01
61;0.610000;7.874603e-01;1.316661e+02;4.285457e-01;9.406086e-03;6.914953e-03;1.558108e-01
62;0.620000;7.740136e-01;1.331841e+02;6.533253e-01;5.580286e-03;8.220933e-03;1.814908e-01
63;0.630000;7.130563e-01;1.337787e+02;7.153476e-01;8.204627e-03;1.257231e-02;1.350834e-01
64;0.640000;6.123662e-01;1.332436e+02;7.889695e-01;1.082897e-02;1.692369e-02;8.867612e-02
65;0.650000;4.692760e-01;8.842651e+01;5.874023e-01;1.106806e-02;1.513121e-02;7.586560e-02
66;0.660000;4.566318e-01;4.401198e+01;9.683614e-01;5.606465e-02;5.573297e-02;3.925495e-01
67;0.670000;4.912404e-01;4.579439e+01;9.339580e-01;1.010612e-01;9.633473e-02;7.092335e-01
