frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;3.249203e-01;0;1.507463e-01;0;0;3.333333e-01
1;0.010000;4.141467e-01;0;1.338036e-01;0;0;6.666667e-01
2;0.020000;5.745810e-01;6.274510e+01;1.368402e-01;4.103389e-02;0;7.046314e-01
3;0.030000;7.491172e-01;1.258637e+02;2.635885e-01;4.918576e-02;2.124321e-02;3.743338e-01
4;0.040000;8.087170e-01;1.898678e+02;4.115710e-01;5.516988e-02;2.675120e-02;6.694557e-02
5;0.050000;7.821506e-01;1.920338e+02;6.359547e-01;1.733919e-02;3.100058e-02;5.365112e-02
6;0.060000;7.762738e-01;1.942214e+02;5.029408e-01;9.943156e-03;1.413828e-02;1.304856e-01
7;0.070000;8.040154e-01;1.951284e+02;4.088392e-01;2.468225e-02;2.864467e-02;2.167860e-01
8;0.080000;8.476164e-01;1.940959e+02;2.809425e-01;2.402491e-02;3.480735e-02;2.151499e-01
9;0.090000;8.567687e-01;1.922828e+02;2.668345e-01;2.581493e-02;4.083851e-02;1.583140e-01
10;0.100000;7.436514e-01;1.911167e+02;4.365833e-01;7.637554e-03;3.123619e-02;6.910273e-02
11;0.110000;6.228892e-01;1.272381e+02;5.144628e-01;7.637554e-03;3.123619e-02;6.910273e-02
12;0.120000;5.118648e-01;6.374502e+01;5.677425e-01;8.686646e-03;2.259024e-02;1.127592e-01
13;0.130000;6.010095e-01;0;4.040601e-01;2.596291e-02;2.769106e-02;3.513466e-01
14;0.140000;7.204825e-01;6.530613e+01;4.771961e-01;4.323917e-02;3.279189e-02;5.899339e-01
15;0.150000;8.516967e-01;1.312925e+02;6.204612e-01;6.122555e-02;4.839991e-02;6.396841e-01
16;0.160000;8.880100e-01;1.976837e+02;9.162309e-01;4.469520e-02;3.560684e-02;4.089324e-01
17;0.170000;9.043821e-01;1.984933e+02;7.710690e-01;2.848549e-02;2.100871e-02;1.519071e-01
18;0.180000;9.123595e-01;1.986226e+02;7.797883e-01;1.051658e-02;4.549321e-03;4.006238e-02
19;0.190000;9.159167e-01;1.983471e+02;4.622303e-01;7.539906e-03;5.123405e-03;4.105630e-02
20;0.200000;9.156378e-01;1.983471e+02;4.225676e-01;5.314395e-03;5.309460e-03;5.421300e-02
21;0.210000;9.157359e-01;1.984843e+02;3.589820e-01;2.689133e-03;5.311224e-03;7.206035e-02
22;0.220000;9.105458e-01;1.988969e+02;4.139026e-01;3.629375e-03;2.360383e-03;5.092625e-02
23;0.230000;8.841344e-01;1.997280e+02;4.762104e-01;3.497810e-03;1.602637e-03;4.390302e-02
24;0.240000;8.044097e-01;2.007020e+02;5.539786e-01;3.765996e-03;1.029182e-03;3.218913e-02
25;0.250000;7.591217e-01;2.015424e+02;6.838708e-01;4.301353e-03;2.397633e-03;6.085810e-02
26;0.260000;7.713923e-01;2.021062e+02;7.561470e-01;5.737156e-03;2.435492e-03;2.229711e-01
