frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;3.611648e-01;0;1.774601e-01;0;0;0
1;0.010000;5.324978e-01;0;2.001042e-01;0;0;3.333333e-01
2;0.020000;7.346821e-01;6.504065e+01;3.498287e-01;8.737195e-02;0;3.347641e-01
3;0.030000;8.651422e-01;1.300813e+02;4.449686e-01;1.158162e-01;6.638341e-02;3.446717e-01
4;0.040000;8.925688e-01;1.951219e+02;5.841038e-01;1.194954e-01;9.083448e-02;7.334986e-02
5;0.050000;8.878098e-01;1.969364e+02;7.440577e-01;3.519803e-02;9.142988e-02;1.422997e-01
6;0.060000;8.922136e-01;2.010131e+02;9.168103e-01;9.103081e-03;2.559579e-02;1.585720e-01
7;0.070000;9.038522e-01;2.045103e+02;8.378117e-01;1.250364e-02;5.835944e-03;1.104840e-01
8;0.080000;9.128962e-01;2.035390e+02;6.976134e-01;1.213628e-02;8.009081e-03;5.989931e-02
9;0.090000;9.123372e-01;1.986787e+02;6.244969e-01;1.249421e-02;1.022829e-02;5.351539e-02
10;0.100000;8.899860e-01;1.947897e+02;7.034332e-01;7.910278e-03;7.575680e-03;4.886274e-02
11;0.110000;7.988653e-01;1.939465e+02;6.952335e-01;7.985175e-03;6.370322e-03;4.636466e-02
12;0.120000;7.160786e-01;1.947301e+02;6.135888e-01;6.761181e-03;5.637484e-03;5.412723e-02
13;0.130000;6.953977e-01;1.955234e+02;4.229857e-01;5.748563e-03;5.634569e-03;7.241497e-02
14;0.140000;7.553418e-01;1.967379e+02;2.621395e-01;2.755936e-02;1.884046e-02;2.408215e-01
15;0.150000;8.104531e-01;1.986441e+02;4.713398e-01;2.969732e-02;4.463922e-02;2.268011e-01
16;0.160000;8.382782e-01;2.004288e+02;8.007972e-01;3.727410e-02;4.794392e-02;2.138332e-01
17;0.170000;8.627028e-01;2.014006e+02;1.378818e+00;1.559557e-02;3.924127e-02;4.723477e-02
18;0.180000;8.749490e-01;2.018225e+02;1.192514e+00;1.281179e-02;1.347647e-02;7.898226e-02
19;0.190000;8.743418e-01;2.026857e+02;1.115465e+00;4.589181e-03;1.020573e-02;1.096773e-01
20;0.200000;8.653242e-01;2.041283e+02;8.373094e-01;8.074958e-03;9.685987e-03;1.068675e-01
21;0.210000;8.709514e-01;2.060289e+02;1.050259e+00;8.223943e-03;1.172978e-02;9.678148e-02
22;0.220000;8.688782e-01;2.078078e+02;1.073693e+00;9.923373e-03;1.273964e-02;8.512092e-02
23;0.230000;8.658209e-01;2.094710e+02;7.255103e-01;6.285410e-03;8.148614e-03;8.171652e-02
24;0.240000;8.556579e-01;2.113143e+02;5.813470e-01;7.064390e-03;5.612704e-03;8.414253e-02
25;0.250000;8.409721e-01;2.130340e+02;4.347589e-01;1.057177e-02;6.091273e-03;5.939429e-02
26;0.260000;8.363673e-01;2.151054e+02;6.699489e-01;1.269736e-02;6.380687e-03;5.015340e-02
27;0.270000;8.182447e-01;2.177318e+02;8.625764e-01;1.279134e-02;7.858847e-03;7.403142e-02
28;0.280000;7.793173e-01;2.207356e+02;1.034013e+00;8.918436e-03;7.174186e-03;9.704345e-02
29;0.290000;7.174537e-01;2.230978e+02;8.967193e-01;6.201968e-03;8.802557e-03;1.252814e-01
30;0.300000;6.656653e-01;2.231056e+02;6.041863e-01;2.123906e-02;2.139578e-02;1.592135e-01
31;0.310000;6.392906e-01;2.201191e+02;3.546698e-01;3.596418e-02;3.417127e-02;2.227602e-01
