frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;4.857923e-01;0;1.452106e-01;0;0;0
1;0.010000;4.002875e-01;0;1.237125e-01;0;0;0
2;0.020000;3.769144e-01;0;1.085964e-01;0;0;0
3;0.030000;4.690935e-01;0;7.060411e-02;0;0;0
4;0.040000;6.380023e-01;5.228758e+01;7.350249e-02;0;0;2.569421e-01
5;0.050000;7.607393e-01;1.045752e+02;1.678115e-01;5.116519e-02;0;3.351060e-01
6;0.060000;8.439904e-01;1.571216e+02;3.318840e-01;1.023304e-01;0;4.132698e-01
7;0.070000;8.415568e-01;1.579033e+02;3.710314e-01;1.534956e-01;0;2.344916e-01
8;0.080000;7.822670e-01;1.597738e+02;2.932959e-01;1.079678e-01;4.639307e-02;1.614386e-01
9;0.090000;6.273625e-01;1.622102e+02;5.604256e-01;5.680263e-02;4.639307e-02;8.327469e-02
10;0.100000;4.516853e-01;1.091409e+02;6.775414e-01;5.637441e-03;4.639307e-02;5.110828e-03
11;0.110000;2.959788e-01;5.498282e+01;7.337357e-01;0;0;0
12;0.120000;2.225300e-01;0;3.456874e-01;0;0;0
13;0.130000;1.937241e-01;0;2.803737e-01;0;0;0
14;0.140000;1.957592e-01;0;3.685553e-01;0;0;0
15;0.150000;2.289743e-01;0;4.151347e-01;0;0;0
16;0.160000;2.763486e-01;0;4.420570e-01;0;0;0
17;0.170000;3.668385e-01;0;4.959008e-01;0;0;0
18;0.180000;4.869163e-01;0;5.040093e-01;0;0;0
19;0.190000;6.329601e-01;6.274510e+01;5.012956e-01;0;0;1.516288e-01
20;0.200000;7.642541e-01;1.234217e+02;5.390224e-01;4.411092e-02;0;2.100157e-01
21;0.210000;8.505933e-01;1.820297e+02;6.932690e-01;8.822185e-02;0;2.684027e-01
22;0.220000;8.928863e-01;1.760801e+02;7.206294e-01;9.236903e-02;2.079024e-02;1.704661e-01
23;0.230000;8.970542e-01;1.701058e+02;5.903121e-01;4.831612e-02;2.563794e-02;1.272343e-01
24;0.240000;8.930535e-01;1.662000e+02;4.613680e-01;6.535214e-03;2.791034e-02;8.106930e-02
25;0.250000;8.786736e-01;1.649662e+02;4.981890e-01;7.651621e-03;1.001688e-02;1.093864e-01
26;0.260000;8.694232e-01;1.673195e+02;4.435507e-01;8.178727e-03;7.731594e-03;1.411107e-01
27;0.270000;8.736243e-01;1.705883e+02;4.005395e-01;1.322702e-02;1.268052e-02;2.471708e-01
28;0.280000;8.896435e-01;1.729977e+02;4.985135e-01;1.641115e-02;1.066616e-02;1.926671e-01
29;0.290000;8.971224e-01;1.739130e+02;4.517388e-01;1.965849e-02;1.262189e-02;1.954554e-01
30;0.300000;8.784173e-01;1.742316e+02;9.505172e-01;1.539849e-02;6.078854e-03;1.092450e-01
31;0.310000;8.130899e-01;1.745501e+02;1.037186e+00;8.462239e-03;6.789135e-03;1.068354e-01
32;0.320000;7.320794e-01;1.745501e+02;1.246689e+00;2.352747e-01;2.324502e-01;3.905009e-01
33;0.330000;6.845489e-01;1.742316e+02;1.029852e+00;2.321564e-01;2.317720e-01;3.584292e-01
34;0.340000;6.444413e-01;1.739130e+02;7.535490e-01;2.306449e-01;2.301793e-01;3.333333e-01
35;0.350000;6.028482e-01;1.739130e+02;6.189667e-01;0;0;0
36;0.360000;4.990692e-01;1.159420e+02;2.991612e-01;0;0;0
37;0.370000;4.113889e-01;5.797101e+01;2.777109e-01;0;0;0
38;0.380000;3.355183e-01;0;1.502093e-01;0;0;0
39;0.390000;3.450662e-01;0;1.835271e-01;0;0;0
40;0.400000;4.257004e-01;0;1.931967e-01;0;0;0
41;0.410000;5.284835e-01;5.387205e+01;3.356538e-01;0;0;5.450399e-02
42;0.420000;5.981501e-01;1.062049e+02;4.701436e-01;1.923679e-02;0;1.233919e-01
43;0.430000;6.400156e-01;1.572428e+02;7.919839e-01;5.432025e-02;1.787136e-02;3.968152e-01
44;0.440000;7.043762e-01;1.549017e+02;8.884761e-01;9.380853e-02;1.812003e-02;4.342354e-01
45;0.450000;7.787164e-01;1.533809e+02;8.808691e-01;8.676039e-02;4.686360e-02;5.731595e-01
46;0.460000;8.274274e-01;1.515076e+02;5.461205e-01;6.832478e-02;4.382232e-02;3.576225e-01
47;0.470000;8.253137e-01;1.484615e+02;5.622239e-01;3.844184e-02;4.481930e-02;2.693294e-01
48;0.480000;8.044384e-01;1.461342e+02;7.132230e-01;2.737125e-02;2.459524e-02;1.168754e-01
49;0.490000;7.966197e-01;1.454545e+02;8.786504e-01;1.184145e-02;1.828468e-02;1.143470e-01
