frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;6.995595e-01;3.951613e+01;8.606544e-01;0;0;0
1;0.010000;6.730128e-01;7.908552e+01;7.036824e-01;0;0;9.356440e-02
2;0.020000;6.659210e-01;1.182389e+02;6.281459e-01;0;0;1.871288e-01
3;0.030000;6.635000e-01;1.175609e+02;5.335894e-01;7.355040e-03;0;2.486468e-01
4;0.040000;6.400149e-01;1.164798e+02;6.183569e-01;9.540419e-03;5.217882e-03;1.843482e-01
5;0.050000;5.700117e-01;1.153109e+02;5.299962e-01;1.666358e-02;1.020236e-02;1.197657e-01
6;0.060000;4.605938e-01;7.647277e+01;5.193247e-01;1.643169e-02;1.518684e-02;8.722946e-02
7;0.070000;3.750673e-01;3.798450e+01;3.837693e-01;2.136947e-02;1.495344e-02;8.694547e-02
8;0.080000;3.237477e-01;0;4.228512e-01;2.136947e-02;1.495344e-02;8.694547e-02
9;0.090000;3.298095e-01;0;4.780486e-01;2.136947e-02;1.495344e-02;8.694547e-02
10;0.100000;3.580567e-01;0;6.314228e-01;3.581281e-02;2.487317e-02;7.789721e-02
11;0.110000;3.986315e-01;0;5.776666e-01;5.025616e-02;3.479289e-02;6.884894e-02
12;0.120000;5.027859e-01;0;5.337339e-01;6.469950e-02;4.471262e-02;5.980067e-02
13;0.130000;6.066509e-01;3.798450e+01;5.154505e-01;6.469950e-02;4.471262e-02;5.980067e-02
14;0.140000;7.027625e-01;7.606766e+01;4.635071e-01;7.159682e-02;3.486414e-02;1.070578e-01
15;0.150000;7.327285e-01;1.142495e+02;5.367305e-01;5.384013e-02;4.493926e-02;2.588271e-01
16;0.160000;7.573774e-01;1.143973e+02;5.368633e-01;3.608343e-02;5.501438e-02;4.105964e-01
17;0.170000;7.740586e-01;1.143971e+02;6.233287e-01;7.983952e-03;5.340831e-02;4.129566e-01
18;0.180000;7.886355e-01;1.142490e+02;5.796629e-01;4.538471e-03;3.187862e-02;3.108046e-01
19;0.190000;7.874735e-01;1.140522e+02;5.767966e-01;1.092991e-03;1.034893e-02;2.086527e-01
20;0.200000;7.537989e-01;1.138072e+02;5.826009e-01;4.749478e-03;1.056017e-02;1.789748e-01
21;0.210000;6.507520e-01;1.134660e+02;5.153149e-01;8.405965e-03;1.077141e-02;1.492969e-01
22;0.220000;5.569639e-01;7.553046e+01;6.870880e-01;1.206245e-02;1.098264e-02;1.196190e-01
