frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;3.472318e-01;0;2.002463e-01;0;0;0
1;0.010000;3.817916e-01;0;1.500754e-01;0;0;0
2;0.020000;3.658961e-01;0;1.741443e-01;0;0;0
3;0.030000;3.008448e-01;0;3.039434e-01;0;0;0
4;0.040000;2.252956e-01;0;3.298886e-01;0;0;0
5;0.050000;2.112653e-01;0;2.829766e-01;0;0;0
6;0.060000;2.126311e-01;0;2.577834e-01;0;0;0
7;0.070000;2.360419e-01;0;4.211498e-01;0;0;0
8;0.080000;2.395538e-01;0;5.170034e-01;0;0;0
9;0.090000;2.279842e-01;0;5.994293e-01;0;0;0
10;0.100000;2.063338e-01;0;5.261981e-01;0;0;0
11;0.110000;1.855780e-01;0;7.858620e-01;0;0;0
12;0.120000;1.800421e-01;0;7.797170e-01;0;0;0
13;0.130000;1.867971e-01;0;1.146778e+00;0;0;0
14;0.140000;1.803244e-01;0;9.958575e-01;0;0;0
15;0.150000;1.836885e-01;0;1.525668e+00;0;0;0
16;0.160000;2.911819e-01;0;1.412766e+00;0;0;0
17;0.170000;4.388804e-01;0;1.186258e+00;0;0;1.104176e-01
18;0.180000;6.213253e-01;7.736842e+01;5.931855e-01;1.781500e-02;1.710466e-02;3.032856e-01
19;0.190000;7.336292e-01;1.541355e+02;6.309811e-01;5.623651e-02;4.721568e-02;3.283065e-01
20;0.200000;8.345761e-01;2.293397e+02;7.707010e-01;6.457601e-02;6.325234e-02;2.429664e-01
21;0.210000;8.758047e-01;2.258425e+02;9.083864e-01;5.084530e-02;4.666975e-02;7.893027e-02
22;0.220000;8.703477e-01;2.218547e+02;1.039807e+00;1.522950e-02;2.126019e-02;6.435497e-02
23;0.230000;8.536946e-01;2.185337e+02;1.524819e+00;9.261622e-03;8.292258e-03;4.473084e-02
24;0.240000;8.568529e-01;2.158527e+02;1.690458e+00;1.595213e-02;1.625003e-02;2.962294e-02
