frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-2.032393e+01;1.277873e+01;-1.424181e+00;7.781322e+00;5.686331e+00;-7.473444e+00;9.584028e+00;9.774130e+00;9.766023e+00;2.901499e+00;7.381017e+00;8.683979e+00;6.880980e-01;3.679932e+00
1;0.010000;-2.079041e+01;1.336798e+01;-3.298954e+00;2.758227e+00;2.899994e+00;-1.045821e+01;8.048855e+00;9.212435e+00;8.464745e+00;4.952803e+00;7.031202e+00;1.063534e+01;2.769306e+00;3.725159e+00
2;0.020000;-2.088745e+01;1.298832e+01;-1.960773e+00;2.406036e+00;5.820168e+00;-7.199987e+00;9.619357e+00;8.132647e+00;9.181984e+00;8.165866e+00;5.656223e+00;8.497660e+00;3.736689e+00;3.227776e+00
3;0.030000;-2.281818e+01;1.122403e+01;1.123631e+00;4.322489e+00;1.127801e+01;-2.730875e+00;1.254461e+01;8.931590e+00;6.486041e+00;5.476289e+00;3.284310e+00;5.947494e+00;2.015564e+00;2.336578e+00
4;0.040000;-2.002529e+01;1.346418e+01;6.288435e+00;3.248436e+00;5.845922e+00;-1.071726e+01;1.350531e+00;-2.771279e+00;1.097544e+00;2.407160e-01;3.231997e-01;3.660559e+00;1.233895e+00;3.315033e+00
5;0.050000;-1.520662e+01;1.574786e+01;9.823915e+00;1.893982e+00;-2.940045e+00;-1.649640e+01;-1.426705e+00;-9.117513e+00;-3.016567e-02;1.665547e+00;1.986951e+00;2.348612e+00;-8.381779e-01;4.843147e+00
6;0.060000;-1.230059e+01;1.567550e+01;1.170711e+01;1.267749e+00;-8.904262e+00;-1.703828e+01;-1.034876e+00;-1.039772e+01;-1.670601e+00;1.941032e-01;1.018684e+00;2.275052e+00;2.574968e-01;4.586220e+00
7;0.070000;-1.058048e+01;1.416293e+01;1.187982e+01;-3.372192e-02;-9.103322e+00;-1.354891e+01;-1.978640e+00;-1.086011e+01;-1.438800e+00;-7.227929e-01;-3.427711e+00;1.420145e+00;1.780763e-01;3.361931e+00
8;0.080000;-8.540556e+00;1.307019e+01;1.106318e+01;-1.203154e+00;-5.125530e+00;-9.076977e+00;-1.405659e+00;-8.128028e+00;-9.821844e-01;-3.762200e+00;-6.189576e+00;1.052922e+00;-3.581345e+00;3.075928e+00
9;0.090000;-7.053656e+00;1.000832e+01;9.814867e+00;-2.172318e+00;-3.333403e+00;-7.970734e+00;-2.385345e+00;-7.530477e+00;-2.184729e+00;-9.398654e+00;-5.286635e+00;-5.645034e-01;-6.279445e+00;3.001480e+00
10;0.100000;-6.109972e+00;8.079186e+00;1.099922e+01;9.138832e-01;1.604690e+00;-3.488021e+00;-2.163706e+00;-3.583500e+00;1.934147e-02;-1.088099e+01;-1.631872e+00;6.847217e-01;-5.685471e+00;1.926842e+00
11;0.110000;-7.010878e+00;8.732058e+00;1.244526e+01;5.542319e+00;4.543947e+00;-6.019993e-01;-3.740973e+00;-4.067738e+00;-1.780167e-01;-1.222359e+01;-1.205289e+00;2.102801e+00;-3.643968e+00;-1.157738e+00
12;0.120000;-8.149500e+00;1.168653e+01;1.170944e+01;7.721407e+00;3.146242e+00;-1.771356e+00;-4.126702e+00;-3.705685e+00;3.394150e+00;-8.962528e+00;-1.729385e+00;3.262342e+00;-5.392697e-01;-5.512360e+00
13;0.130000;-9.122627e+00;1.156707e+01;1.137864e+01;1.074356e+01;3.477508e+00;-3.137608e-01;-3.043408e+00;-3.671913e+00;6.817500e+00;-6.145395e+00;-1.438608e-01;4.357437e+00;1.234360e+00;-8.215416e+00
14;0.140000;-9.534538e+00;1.024842e+01;1.051175e+01;1.116389e+01;4.609739e+00;1.315854e+00;-3.244681e-01;-2.277142e+00;4.933977e+00;-8.119651e+00;-1.033029e+00;2.837900e+00;3.871679e-03;-9.915749e+00
15;0.150000;-9.686195e+00;9.163427e+00;9.636608e+00;1.048217e+01;6.611612e+00;3.168475e+00;1.175185e+00;-4.059381e-01;5.119807e+00;-7.915161e+00;-2.452536e+00;1.221220e+00;-1.507823e-01;-1.130746e+01
16;0.160000;-8.958145e+00;9.151615e+00;9.838995e+00;1.029830e+01;6.536540e+00;1.624598e+00;1.944992e+00;3.024502e-01;5.421805e+00;-4.452664e+00;1.370631e+00;4.180529e+00;9.670951e-01;-1.251239e+01
17;0.170000;-8.001541e+00;4.512290e+00;8.719282e+00;8.222206e+00;7.485867e+00;4.069962e+00;3.307456e+00;-1.894417e+00;3.268363e+00;-7.150149e-02;1.976247e+00;7.323112e+00;5.280492e+00;-1.130560e+01
18;0.180000;-6.961164e+00;-1.160150e+00;9.579676e+00;3.413457e+00;3.136933e+00;5.898974e+00;-3.246579e-01;-3.121413e+00;1.288944e+00;3.968780e+00;3.673667e+00;6.281955e+00;7.354918e+00;-3.045105e+00
19;0.190000;-7.251440e+00;-2.709532e-02;9.985981e+00;1.402464e+00;3.402599e-01;2.260391e+00;-5.192264e+00;-3.976110e+00;-2.965149e+00;8.366719e-01;4.948045e+00;6.630022e+00;8.370585e+00;3.162239e+00
20;0.200000;-5.742706e+00;3.179119e+00;1.085449e+01;-4.227070e+00;-5.797240e+00;-3.249042e+00;-6.612055e+00;-1.657099e+00;-2.297805e+00;2.156353e-02;4.627012e+00;4.939753e+00;5.190695e+00;5.993431e+00
21;0.210000;-4.682650e+00;1.628067e+00;1.350655e+01;-9.828537e+00;-1.389015e+01;-4.325451e+00;4.675541e-01;-4.205046e-01;-3.282826e+00;-1.243965e+00;2.167239e-01;4.165880e+00;1.646529e+00;7.492073e+00
22;0.220000;-4.657138e+00;-2.880993e+00;1.401908e+01;-1.328798e+01;-1.385421e+01;-2.480186e+00;8.570305e+00;7.039137e-01;-3.789537e+00;-1.328475e+00;-4.437587e+00;2.124973e+00;-3.556846e+00;9.006538e+00
23;0.230000;-5.986460e+00;-6.818191e+00;1.059273e+01;-1.464430e+01;-1.070402e+01;-1.336857e+00;1.542456e+01;-2.900991e-01;-6.551012e+00;-3.788220e+00;-8.596836e+00;-6.660614e-01;-4.951942e+00;9.411003e+00
24;0.240000;-5.852970e+00;-8.669545e+00;1.148985e+01;-1.031424e+01;-2.505543e+00;2.481444e+00;2.272716e+01;2.390621e+00;-1.112470e+01;-4.021670e+00;-8.462505e+00;3.262169e+00;-1.546804e+00;1.020123e+01
25;0.250000;-8.404280e+00;-1.397680e+01;7.721944e+00;-1.179861e+01;-2.277893e+00;5.504236e-01;1.979329e+01;-1.371087e+00;-1.871008e+01;-9.935501e+00;-1.037038e+01;4.825645e+00;1.537770e+00;9.331947e+00
26;0.260000;-8.809904e+00;-1.584786e+01;5.405713e+00;-1.188454e+01;-2.105239e+00;-3.256989e-02;1.888470e+01;-1.962452e+00;-2.045016e+01;-1.425780e+01;-1.253117e+01;1.822041e+00;1.172020e+00;8.827263e+00
27;0.270000;-6.390778e+00;-1.289312e+01;7.753436e+00;-7.135330e+00;2.051523e+00;1.133338e+00;2.110682e+01;1.704869e+00;-1.519831e+01;-1.250961e+01;-9.209820e+00;2.744040e+00;3.668891e+00;9.890884e+00
