frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-3.015121e+00;-1.549142e+01;2.818949e+00;1.266565e+00;1.837328e+01;1.514661e+01;-9.193878e+00;1.235626e+01;-2.647930e+00;5.523684e-01;1.783547e+00;-1.525824e+00;2.742421e+00;4.736069e+00
1;0.010000;-2.680480e+00;-1.568370e+01;2.864633e+00;1.697297e+00;1.853400e+01;1.720973e+01;-8.276434e+00;1.082016e+01;-3.907018e+00;1.741405e-01;1.536339e+00;-1.399982e+00;2.098991e+00;7.250381e+00
2;0.020000;-2.595083e+00;-1.627689e+01;1.566058e+00;1.251595e+00;1.505745e+01;1.419588e+01;-9.000580e+00;6.630330e+00;-2.775719e+00;-1.985528e+00;2.375581e+00;-2.629118e-01;1.052381e+00;7.159851e+00
3;0.030000;-6.333065e-01;-1.390162e+01;6.846485e-01;2.140402e+00;1.300408e+01;1.191440e+01;-1.065772e+01;3.725973e+00;-1.558432e+00;-2.072509e+00;9.244418e-01;7.762827e-01;-6.606972e-01;6.306511e+00
4;0.040000;6.936703e-01;-1.157853e+01;-3.629403e-01;1.275190e+00;8.802757e+00;1.195341e+01;-1.091823e+01;7.915568e-01;-2.014519e+00;9.057474e-02;-2.930640e+00;2.483232e+00;-1.412905e+00;5.351791e+00
5;0.050000;6.000719e-01;-1.019753e+01;-8.162341e-01;1.414429e+00;4.708456e+00;8.770124e+00;-8.408426e+00;-2.388663e+00;-4.958826e+00;-4.310380e-01;-4.864971e+00;3.919556e+00;-3.349895e+00;4.046036e+00
6;0.060000;4.400997e-01;-6.336301e+00;2.979546e-01;6.427379e+00;6.239454e+00;6.048929e+00;-2.760350e+00;-3.226566e+00;-2.356459e+00;-3.791722e+00;1.115638e+00;5.921618e+00;-2.280864e+00;2.402962e+00
7;0.070000;-1.991467e+00;-1.595286e+00;-3.797040e-01;1.144383e+01;9.639524e+00;6.783112e+00;3.210478e-01;-7.659825e+00;2.201061e-01;-8.929224e+00;6.751552e+00;5.594854e+00;-1.659806e+00;-4.699707e-01
8;0.080000;-3.384792e+00;-7.870893e-01;1.943488e-01;1.611835e+01;1.466510e+01;8.834272e+00;3.142148e+00;-1.065752e+01;-1.918187e+00;-8.581890e+00;9.309930e+00;4.639377e+00;-2.619643e+00;-2.825851e+00
9;0.090000;-8.400097e-01;-3.245016e+00;-1.292281e+00;1.440783e+01;1.576371e+01;7.064084e+00;-1.353267e+00;-1.212110e+01;-4.561729e+00;-7.067306e+00;1.050971e+01;2.469118e+00;-6.861712e+00;-3.973839e+00
