frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-1.840136e+00;1.195760e+00;-1.061456e+01;8.188323e+00;8.544661e+00;8.295491e+00;1.229110e+01;2.861827e+00;9.104659e+00;-7.376631e+00;5.097329e+00;8.176412e+00;7.523325e-01;-2.485895e+01
1;0.010000;-1.570167e+00;2.308906e+00;-7.537797e+00;1.180976e+01;1.130817e+01;7.550495e+00;1.049724e+01;1.666488e+00;9.982218e+00;-5.205428e+00;7.971228e+00;6.997126e+00;-1.497753e+00;-2.646791e+01
2;0.020000;-2.633760e+00;3.373765e+00;-4.725602e+00;1.333055e+01;1.172821e+01;3.623911e+00;6.634937e+00;3.746578e+00;8.191153e+00;-3.729900e+00;9.624975e+00;9.610853e+00;-2.054789e+00;-2.691141e+01
3;0.030000;-3.946232e+00;3.655233e+00;-4.093903e+00;8.565704e+00;8.812143e+00;3.237329e+00;4.006208e+00;4.351881e+00;4.395973e+00;-3.440794e+00;8.318775e+00;1.046977e+01;-2.712991e-01;-2.576986e+01
4;0.040000;4.860601e-01;9.246317e+00;2.160704e+00;6.138579e+00;8.342789e+00;5.933721e+00;1.328719e+00;2.457435e+00;-7.973766e-01;-5.666014e+00;4.283785e+00;8.969254e+00;2.393497e+00;-2.256241e+01
5;0.050000;1.093631e+01;8.545535e+00;6.342286e+00;-5.270117e+00;-5.538417e+00;9.478057e+00;2.499641e+00;-2.689298e+00;-4.231565e+00;-2.418202e+00;1.844780e+00;3.825441e+00;2.211886e+00;-1.352701e+01
6;0.060000;1.279072e+01;4.683316e+00;7.797534e+00;-1.147723e+01;-7.345771e+00;9.605581e+00;-1.448297e+00;-5.602878e+00;-7.649709e+00;5.919307e-02;1.730694e+00;2.493588e+00;1.206740e+00;-6.427902e+00
7;0.070000;1.224072e+01;2.576805e+00;8.687631e+00;-1.543519e+01;-6.343986e+00;9.426596e+00;-5.101119e+00;-4.513275e+00;-1.116307e+01;2.422116e+00;1.988881e+00;2.398664e+00;-3.348749e-01;-2.964478e+00
8;0.080000;9.586324e+00;1.756019e+00;8.349084e+00;-1.648229e+01;-3.070760e+00;7.864837e+00;-5.294492e+00;-4.676699e+00;-1.226401e+01;3.304182e+00;5.776412e+00;1.428747e+00;-2.239583e+00;-9.123077e-01
9;0.090000;7.226140e+00;2.191306e+00;8.114201e+00;-1.510157e+01;6.215067e-01;7.198023e+00;-5.998006e+00;-5.506278e+00;-1.255633e+01;3.623125e+00;8.473263e+00;-1.711545e-01;-1.703196e+00;4.220276e-01
10;0.100000;2.283484e+00;7.498925e+00;3.851068e+00;-1.035656e+01;1.388131e+00;7.169832e+00;-4.326026e+00;-7.980737e+00;-1.274675e+01;2.205778e+00;1.008490e+01;-1.078451e+00;-2.155673e+00;2.530365e+00
11;0.110000;-2.765293e+00;1.183726e+01;4.676185e-01;-4.527321e+00;4.698410e+00;6.081777e+00;-8.727932e-01;-7.294749e+00;-1.423147e+01;1.929819e+00;1.019009e+01;-9.177213e-01;-2.807700e+00;4.641472e+00
12;0.120000;-6.138756e+00;1.447602e+01;-2.337237e+00;-8.081493e-01;8.524126e+00;4.668502e+00;3.508444e-01;-5.732112e+00;-1.504652e+01;3.204083e+00;8.872802e+00;-1.408981e+00;-1.593477e+00;5.514450e+00
13;0.130000;-8.449198e+00;1.629760e+01;-4.430573e+00;6.423788e-01;1.047262e+01;2.451379e+00;-1.193176e+00;-5.313532e+00;-1.391588e+01;6.462749e+00;5.446368e+00;-2.104216e-01;-6.926356e-01;4.902603e+00
14;0.140000;-9.838102e+00;1.803930e+01;-4.783807e+00;3.666496e+00;1.126188e+01;2.117460e+00;-7.824678e-01;-2.738790e+00;-1.098733e+01;1.132077e+01;3.573020e+00;2.304807e+00;8.329993e-02;3.565025e+00
15;0.150000;-1.061224e+01;1.853910e+01;-4.384784e+00;5.164872e+00;1.202602e+01;3.042329e+00;1.993889e+00;-2.133358e+00;-9.439507e+00;1.131844e+01;3.576251e+00;3.189256e+00;-3.435194e+00;2.142685e+00
16;0.160000;-1.064537e+01;1.962705e+01;-4.541762e+00;5.703372e+00;1.301224e+01;2.052614e+00;2.846563e+00;-4.439523e+00;-1.071023e+01;9.893270e+00;2.286733e+00;1.879363e+00;-4.777681e+00;1.246353e+00
17;0.170000;-1.018085e+01;1.944992e+01;-4.715097e+00;8.252115e+00;1.537840e+01;3.508031e-01;3.312726e+00;-1.279366e+00;-9.161954e+00;8.968007e+00;2.582338e+00;1.696657e+00;-1.851438e+00;1.572906e+00
18;0.180000;-1.106848e+01;1.784948e+01;-5.693369e+00;8.685864e+00;1.712348e+01;-1.089586e+00;3.986472e+00;-3.592721e+00;-9.170838e+00;5.167654e+00;5.366303e+00;3.064332e+00;-1.440470e+00;1.993797e+00
19;0.190000;-9.985794e+00;1.748699e+01;-6.786380e+00;4.519308e+00;1.306058e+01;-6.758010e-01;4.083694e+00;-8.389145e+00;-7.660182e+00;3.566922e+00;6.393673e+00;2.964503e+00;-1.613143e+00;2.840622e+00
20;0.200000;-6.721376e+00;1.605302e+01;-6.912712e+00;-7.632008e-01;8.649429e+00;8.702512e-01;1.226181e+00;-9.837882e+00;-4.662033e+00;5.922789e+00;8.162926e+00;1.647302e+00;-1.106199e+00;4.085640e+00
21;0.210000;-3.659384e+00;1.144927e+01;-8.242807e+00;-8.927528e+00;3.332869e+00;7.108514e-01;-4.644532e+00;-1.223582e+01;-6.195064e+00;5.547429e+00;5.629595e+00;-4.091353e-01;-1.172114e+00;4.733223e+00
22;0.220000;8.947945e-02;5.845061e+00;-3.513048e+00;-1.294389e+01;-1.123724e-01;6.742043e+00;-5.226349e+00;-9.421966e+00;-4.288598e+00;5.538530e+00;6.440712e+00;3.671815e+00;1.885838e+00;5.275688e+00
23;0.230000;1.876344e+00;4.330454e-01;4.806943e-01;-1.845232e+01;-4.184318e+00;1.060159e+01;-9.736078e+00;-6.474272e+00;-8.078385e+00;2.813510e+00;4.607240e+00;1.191807e+00;1.706425e+00;4.822067e+00
24;0.240000;2.857681e+00;2.386079e-01;4.009461e+00;-1.921093e+01;-3.079326e+00;1.465951e+01;-6.836193e+00;-9.487822e-01;-6.187814e+00;2.761146e+00;5.668248e+00;2.036856e+00;2.082652e+00;4.536179e+00
25;0.250000;2.760979e+00;2.408338e-01;3.912936e+00;-2.020469e+01;-5.088973e+00;1.479608e+01;-4.630971e+00;-6.841028e-01;-5.486194e+00;2.843451e-02;4.025883e+00;3.721060e+00;2.243267e-01;3.839073e+00
26;0.260000;2.368109e+00;-1.676273e+00;2.765470e+00;-2.277991e+01;-9.383468e+00;1.192719e+01;-5.393493e+00;-6.129438e+00;-7.394380e+00;-3.617519e+00;4.970646e-01;3.442739e+00;-2.445835e+00;3.045403e+00
27;0.270000;3.099889e+00;-1.510176e+00;5.166664e+00;-1.999104e+01;-6.179713e+00;1.362991e+01;-2.009497e+00;-4.988471e+00;-3.692462e+00;-1.256643e+00;1.525138e+00;5.913585e+00;3.448984e-01;3.390884e+00
28;0.280000;3.143006e+00;-1.735904e+00;4.101873e+00;-1.745499e+01;-5.917024e+00;1.326374e+01;-2.968399e+00;-6.439319e+00;-4.321936e+00;-2.192569e+00;-1.685333e-02;3.873677e+00;-3.380305e-02;1.967873e+00
29;0.290000;4.246172e+00;1.022956e+00;4.075582e+00;-1.083817e+01;-1.587611e+00;1.691207e+01;1.000002e+00;-3.932451e+00;-7.309389e-01;-3.382754e-01;1.683534e+00;4.063784e+00;1.643294e+00;-8.675385e-01
30;0.300000;5.215405e+00;4.976281e+00;2.689884e+00;-5.426144e+00;2.328084e+00;1.643026e+01;1.200296e+00;-2.483865e+00;6.339564e-01;-3.311512e+00;1.130733e+00;2.221939e+00;1.890419e+00;-4.645645e+00
31;0.310000;4.243700e+00;8.089031e+00;2.014831e+00;-7.165659e+00;3.508485e+00;1.824687e+01;6.058025e-01;-5.532081e-01;1.446095e+00;-8.880527e+00;-7.906256e-01;1.662487e+00;5.418652e-01;-7.147560e+00
32;0.320000;3.705725e+00;7.690338e+00;1.253754e+00;-8.475750e+00;3.303882e+00;1.951600e+01;2.565080e+00;1.992977e-01;3.025399e+00;-9.154002e+00;-5.065269e-01;7.880402e-02;-6.883661e-01;-8.731537e+00
33;0.330000;2.516989e+00;4.815142e+00;-3.635955e-02;-9.647005e+00;3.132736e+00;2.234967e+01;5.387451e+00;9.399319e-01;4.093072e+00;-6.722415e+00;3.691511e-01;7.358618e-01;-1.174311e+00;-1.044943e+01
34;0.340000;1.406991e+00;2.206843e+00;-2.352203e+00;-1.202951e+01;1.010070e+00;1.947983e+01;2.601331e+00;-1.103774e+00;1.641216e+00;-8.383470e+00;-1.482391e+00;3.145637e+00;-1.272534e+00;-1.187766e+01
35;0.350000;1.691180e+00;3.582206e+00;-2.768562e+00;-1.091453e+01;-7.041006e-01;1.424679e+01;5.732269e-01;-3.663283e+00;2.193193e+00;-7.678141e+00;4.504461e-01;5.033500e+00;-2.484319e+00;-1.277608e+01
36;0.360000;-1.947933e+00;3.411926e+00;-4.336528e+00;1.089054e+00;-3.359244e+00;3.552222e+00;4.596164e+00;1.229466e+00;-2.612638e-01;-5.388196e+00;2.021986e+00;4.524223e+00;6.417895e-01;-1.010896e+01
37;0.370000;-3.860645e+00;1.605140e+00;-2.930444e+00;1.177469e+01;-5.287476e-01;3.450363e-01;9.985985e+00;2.165843e+00;-1.736129e+00;-3.849039e+00;-1.421288e+00;3.508734e+00;3.607158e+00;-4.866005e+00
38;0.380000;-1.244864e+00;2.571950e+00;-1.311457e-01;1.086885e+01;-5.270205e+00;-7.147241e+00;3.514149e+00;8.228040e-02;-9.981728e-01;-4.291085e+00;-3.831215e-01;5.165719e+00;2.243057e+00;-1.048187e+00
39;0.390000;9.603462e-01;-7.072797e-01;5.161450e+00;6.601863e+00;-7.424626e+00;-1.514512e+01;-5.677615e+00;3.200672e+00;-2.535891e+00;-5.444120e+00;1.555573e+00;3.211720e+00;5.864179e-01;2.129623e+00
