frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-2.542695e+00;5.998105e+00;-1.430773e+01;1.139610e+01;1.295294e+00;-8.414854e-01;5.915736e+00;-2.341000e+00;5.263474e-01;-8.307585e+00;3.684087e+00;1.681701e+00;3.590051e+00;-2.038071e+00
1;0.010000;-2.884664e+00;6.826203e+00;-1.433070e+01;1.013739e+01;1.416486e+00;-2.612899e+00;5.359687e+00;-2.190645e+00;-2.005887e-01;-9.362420e+00;3.288665e+00;1.721494e+00;5.234484e+00;-2.386032e+00
2;0.020000;-3.146348e+00;8.162501e+00;-1.503387e+01;9.091315e+00;2.392489e+00;-1.129340e+00;6.532543e+00;-3.715108e+00;-2.296509e+00;-9.121983e+00;2.534902e+00;3.049238e+00;7.491152e+00;-2.988548e+00
3;0.030000;-3.585156e+00;8.410260e+00;-1.569605e+01;8.449173e+00;1.363952e+00;-1.612017e+00;6.857514e+00;-3.525986e+00;-2.143933e+00;-9.918439e+00;-2.549858e+00;3.053357e+00;6.087243e+00;-3.241013e+00
4;0.040000;-4.347387e+00;8.361737e+00;-1.608046e+01;8.395542e+00;1.093802e+00;-3.161927e+00;7.296117e+00;-3.880177e-01;2.005124e-02;-1.029955e+01;-5.861353e+00;5.994160e-01;1.968548e+00;-3.226097e+00
5;0.050000;-5.439194e+00;8.961686e+00;-1.614300e+01;1.014725e+01;3.751491e+00;-2.209517e+00;8.727856e+00;7.976966e-01;2.730667e+00;-7.791773e+00;-2.503345e+00;-2.503581e+00;-1.801594e+00;-3.572243e+00
6;0.060000;-7.397151e+00;1.105649e+01;-1.571696e+01;1.332187e+01;6.781478e+00;2.135249e+00;1.109827e+01;-2.391254e+00;4.516671e-01;-7.737605e+00;4.685416e-01;-3.455301e+00;-1.846284e+00;-3.619827e+00
7;0.070000;-8.455530e+00;1.337792e+01;-1.639964e+01;1.180207e+01;7.037486e+00;1.995845e+00;1.069087e+01;-3.937589e+00;-6.644716e-01;-7.048540e+00;-4.848995e-01;-9.351293e-01;1.013711e+00;-2.377296e+00
8;0.080000;-9.213297e+00;1.526881e+01;-1.509851e+01;8.639487e+00;3.677639e+00;-3.781011e-01;1.253679e+01;-3.996693e+00;-1.338765e+00;-4.541471e+00;-2.185625e+00;-1.048554e-01;5.122693e+00;-1.362083e+00
9;0.090000;-9.653969e+00;1.487143e+01;-1.267812e+01;7.705705e+00;4.056108e+00;-1.224574e+00;1.245423e+01;-5.151147e+00;-9.661150e-01;-1.810561e+00;2.805424e-02;4.305049e-01;6.742114e+00;-6.485138e-01
