frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-2.344775e+00;-8.100047e-01;-2.545968e+00;-3.025055e-01;3.127822e+00;-1.720616e+00;-5.219413e+00;-3.206369e+00;2.433019e+00;7.102716e+00;3.999480e+00;1.224768e-02;5.241536e-01;-5.813049e+00
1;0.010000;-6.182351e+00;-1.387577e-01;-1.391663e+00;-1.778732e+00;1.197408e+00;7.461578e-01;-3.974077e+00;-4.427657e+00;2.247192e+00;6.272785e+00;-1.175058e+00;2.139770e-01;8.784272e-01;-4.038490e+00
2;0.020000;-9.831677e+00;-4.816804e-01;-1.915578e+00;-2.339866e+00;4.781520e-01;2.748815e+00;-1.871762e+00;-2.951867e+00;7.534158e-01;7.208915e+00;-2.533063e+00;1.336325e+00;7.288402e-01;-2.726219e+00
3;0.030000;-1.290579e+01;3.118000e-01;-3.026155e+00;-3.248906e+00;3.323829e+00;3.800356e+00;3.604560e+00;5.883102e-01;1.970680e+00;8.036554e+00;-1.485801e-01;4.846391e+00;2.970898e-01;-2.114601e+00
4;0.040000;-1.633666e+01;4.452085e-01;-9.782867e-01;-4.703683e+00;6.657093e+00;6.633789e+00;8.660943e+00;4.161089e+00;3.179729e+00;7.040765e+00;-1.041825e+00;5.981870e+00;-7.015424e-01;-2.555611e+00
5;0.050000;-1.773215e+01;8.298473e-01;1.034009e+00;-3.076101e+00;7.539907e+00;3.717658e+00;5.540917e+00;4.073261e+00;7.935219e-01;3.043167e+00;-6.210285e+00;6.674265e+00;2.288162e+00;-2.459015e+00
6;0.060000;-1.861301e+01;9.960837e-01;-2.914405e-01;-2.692066e+00;8.219591e+00;1.425151e+00;4.786320e+00;2.591823e+00;4.645991e-01;4.472761e+00;-3.731966e+00;7.507588e+00;2.238258e+00;-2.467239e+00
7;0.070000;-1.810781e+01;7.944527e-01;-1.147742e+00;-4.185160e+00;8.521056e+00;7.696189e-01;5.470673e+00;5.540147e-01;1.784636e+00;2.947759e+00;-2.078686e+00;9.842848e+00;9.366238e-02;-1.489906e+00
8;0.080000;-1.773582e+01;-6.186900e-01;-2.264112e+00;-4.551071e+00;4.122156e+00;-2.091653e+00;4.980056e+00;-4.802297e+00;-1.089408e+00;1.163875e+00;-1.631343e+00;1.130112e+01;7.857368e-01;-5.540466e-01
9;0.090000;-1.485290e+01;2.014828e-02;5.734015e-02;-4.750967e-01;2.872817e+00;-1.667190e+00;4.671016e+00;-5.307878e+00;-2.577162e-01;1.936568e+00;-2.034030e+00;5.979521e+00;-1.938678e+00;9.985123e-01
10;0.100000;-8.725612e+00;4.702327e+00;7.149459e+00;3.562391e+00;2.404279e+00;-4.164243e+00;-2.479813e+00;-5.493169e+00;-1.881120e+00;-1.402775e+00;-5.611628e+00;3.286850e-01;-2.984641e+00;3.564529e+00
11;0.110000;-2.558343e+00;5.973340e+00;6.253532e+00;-7.371063e-01;-2.205415e+00;-6.880647e+00;-7.337563e+00;-8.270165e+00;-3.512164e+00;-2.293182e+00;-6.655496e+00;-1.578898e-01;-6.999042e-01;5.869904e+00
12;0.120000;3.066706e+00;4.789793e+00;1.760106e+00;-2.884187e+00;-3.590828e+00;-3.277948e+00;-1.047746e+01;-1.139714e+01;-1.748965e+00;-1.810777e+00;-4.311688e+00;-1.164801e+00;-3.752662e-01;6.700943e+00
13;0.130000;6.733601e+00;2.983303e+00;-1.438077e+00;-1.262318e+00;-5.568084e+00;1.941020e-01;-1.214481e+01;-1.315189e+01;-8.194399e-02;-1.448646e-01;-2.355174e+00;-8.877786e-01;-6.824017e-01;5.573334e+00
14;0.140000;7.642763e+00;2.476023e+00;-2.194949e+00;-9.319906e-01;-3.910062e+00;2.609955e+00;-1.021260e+01;-1.241727e+01;-4.496064e-01;5.201983e+00;-3.026255e+00;-5.387282e-02;1.204755e+00;3.221275e+00
15;0.150000;5.843153e+00;3.711956e+00;-6.113296e-01;1.143531e+00;9.937863e-01;2.972358e+00;-7.048456e+00;-7.785986e+00;-3.168562e+00;4.035430e+00;-4.265642e-02;1.987349e+00;2.045217e-01;2.117386e-01
16;0.160000;1.792809e+00;5.089849e+00;4.198626e+00;3.149987e+00;2.834027e+00;3.529129e+00;-5.970878e+00;-5.182416e+00;-7.127175e+00;3.224143e+00;1.483057e+00;3.490221e+00;-2.790635e+00;-1.370369e+00
17;0.170000;1.123864e+00;3.127493e+00;2.243663e+00;3.193657e+00;4.102486e+00;3.165713e+00;-7.102829e+00;-1.486385e+00;-2.469297e+00;3.456593e+00;-3.493912e+00;-1.102867e-01;-2.933272e+00;-5.585480e-02
18;0.180000;3.496170e+00;2.053819e-01;-2.909900e+00;1.430221e+00;2.881750e+00;3.962689e+00;-8.426472e+00;-2.031303e+00;-2.299967e+00;1.417169e+00;-7.281366e+00;-1.189877e+00;-2.743307e+00;2.474632e+00
19;0.190000;5.829770e+00;-9.382143e-01;-5.633642e+00;2.527208e-01;-9.068685e-01;4.390517e+00;-9.876520e+00;-7.192069e-01;-1.667280e-01;-3.949361e-01;-7.387013e+00;-2.852890e+00;-2.242017e+00;4.187820e+00
20;0.200000;5.634026e+00;-1.919526e+00;-5.668757e+00;2.238911e+00;-4.651967e+00;3.121099e+00;-1.099528e+01;4.161980e+00;1.852859e+00;-4.714679e+00;-4.819579e+00;-3.300937e+00;-2.496326e+00;5.459419e+00
21;0.210000;4.113875e+00;-2.336337e+00;-2.167566e+00;3.937931e+00;-8.123707e+00;7.909294e-01;-9.410473e+00;8.948997e+00;2.716356e+00;-8.484654e+00;-1.356904e+00;-1.351195e+00;-4.724203e+00;6.040413e+00
22;0.220000;3.370185e+00;-1.826060e+00;2.725702e+00;4.473050e+00;-1.101127e+01;1.021567e+00;-6.547783e+00;8.035369e+00;3.970502e+00;-1.066709e+01;9.790068e-01;1.022526e+00;-6.861534e+00;5.438957e+00
23;0.230000;3.116428e+00;-1.037550e-02;7.432120e+00;4.689495e+00;-1.357867e+01;3.657719e+00;-4.813736e+00;2.374070e+00;4.796305e+00;-1.000512e+01;1.985555e+00;2.783601e+00;-4.369984e+00;4.334618e+00
24;0.240000;1.811467e+00;3.625487e+00;1.137965e+01;3.447378e+00;-1.393442e+01;2.824187e+00;-1.832267e+00;-8.451438e-01;-7.217121e-01;-7.976274e+00;1.735458e+00;2.768794e+00;1.138620e+00;2.705261e+00
25;0.250000;5.607662e-01;6.269188e+00;1.272556e+01;3.922865e+00;-1.294290e+01;-1.056164e+00;7.864438e-01;-1.043754e-01;-7.037021e+00;-7.588008e+00;1.993836e+00;2.972300e+00;4.052201e+00;-4.881973e-01
26;0.260000;3.075075e-01;5.097394e+00;9.360368e+00;6.036920e+00;-8.016008e+00;-1.622694e+00;4.658873e-01;2.470943e+00;-7.828870e+00;-6.978648e+00;3.870199e+00;1.481323e+00;3.444162e+00;-5.485497e+00
27;0.270000;6.327972e-01;-7.659850e-01;4.052162e+00;1.329576e+01;-6.627867e+00;3.485934e+00;6.368954e+00;4.613068e+00;-6.068430e-01;-5.041534e+00;6.763039e+00;-1.621007e+00;2.766978e+00;-1.136346e+01
28;0.280000;-1.968021e-01;-2.419253e+00;3.478044e+00;1.510089e+01;-7.831192e+00;7.741145e-01;4.870437e+00;1.160357e+00;-8.429041e-01;-9.606390e+00;9.109249e+00;-4.630323e-01;2.921042e+00;-1.481181e+01
29;0.290000;-2.443383e+00;-4.226027e+00;4.680111e+00;1.073214e+01;1.559083e-01;-4.853010e-02;-1.534417e+00;-2.548654e+00;2.769087e+00;-2.491386e+00;6.633803e+00;2.496472e-01;4.341406e+00;-1.321748e+01
30;0.300000;-4.607257e+00;-6.647375e+00;-9.761457e-01;-1.069856e+00;1.172917e+00;3.408126e+00;-5.169261e-01;-2.631233e+00;6.937392e+00;2.634287e+00;-9.690895e-01;2.986226e+00;5.831237e+00;-5.146622e+00
31;0.310000;-1.591026e+00;-2.548261e+00;3.613076e-01;-1.288912e+00;-1.778221e+00;4.043698e-02;-2.472941e+00;-8.106905e+00;4.946518e-02;-3.604317e+00;-4.998181e+00;2.478625e+00;2.293831e+00;1.812698e+00
32;0.320000;2.446157e+00;-2.182379e-01;1.438700e+00;9.450731e-01;-5.817151e+00;-6.291776e+00;-4.388800e+00;-6.240578e+00;1.746813e+00;-4.671777e+00;-2.079888e+00;3.506075e+00;1.018742e+00;6.363182e+00
33;0.330000;5.228160e+00;-2.832035e+00;1.799455e-01;2.837122e+00;-8.414671e+00;-1.070182e+01;-7.071005e+00;-3.261322e+00;2.765001e+00;-7.239039e+00;6.873460e-01;-4.767671e-01;2.636366e+00;9.313942e+00
34;0.340000;6.166965e+00;-6.264147e+00;-3.111553e-02;2.158974e+00;-6.968875e+00;-1.085776e+01;-1.013666e+01;-8.441395e-01;2.306543e+00;-5.874691e+00;2.202423e+00;-4.321469e+00;6.713867e+00;9.970825e+00
35;0.350000;6.727927e+00;-8.463382e+00;-5.817318e-02;3.625288e-01;-2.651612e+00;-9.026638e+00;-1.144158e+01;3.294407e+00;1.100471e+00;-2.160177e+00;3.333517e+00;-7.016039e+00;9.958549e+00;8.855759e+00
36;0.360000;7.374623e+00;-8.141221e+00;1.286541e+00;-1.976244e+00;1.748141e+00;-9.296350e+00;-1.026366e+01;3.446057e+00;9.499209e-01;-2.698703e-01;4.271881e+00;-8.646948e+00;1.077205e+01;7.762802e+00
37;0.370000;7.980685e+00;-8.218010e+00;1.501132e+00;-4.587775e+00;3.444263e+00;-1.029683e+01;-7.775899e+00;1.944926e+00;2.303291e+00;2.448940e-01;3.057660e+00;-7.563002e+00;9.523432e+00;7.759117e+00
