frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;2.502172e+00;7.828842e+00;-1.133855e+00;4.182004e+00;1.980342e+01;1.154240e+01;1.630401e+01;2.135330e+00;6.019158e-01;5.971117e+00;2.273979e+00;8.736538e+00;-4.051708e+00;-3.307713e+01
1;0.010000;1.768243e+00;7.291630e+00;-1.100959e+00;5.102923e+00;1.740988e+01;9.737087e+00;1.554947e+01;4.189151e+00;1.339931e+00;5.735379e+00;3.322020e+00;8.992188e+00;-1.846571e+00;-3.301752e+01
2;0.020000;8.875826e+00;-8.179269e-01;-9.216116e+00;1.860232e-01;6.386111e+00;1.086808e+01;4.004818e+00;-4.075028e+00;1.606839e+00;1.923668e+00;-9.341412e+00;2.199409e+00;-1.291282e+00;-2.352985e+01
3;0.030000;1.111253e+01;-7.652743e+00;-8.151275e+00;-3.689183e+00;3.045845e-01;1.167467e+01;-5.245003e+00;-1.784880e+00;-3.095827e+00;-6.196465e-01;-9.984417e+00;-4.436632e+00;-5.084040e-01;-1.245391e+01
4;0.040000;1.053718e+01;-9.597313e+00;-7.204778e+00;-4.388095e+00;1.432305e+00;1.268158e+01;-4.388969e+00;-1.049525e-01;-2.258564e+00;-7.073221e-01;-1.110637e+01;-7.130615e+00;4.717901e-01;-5.359390e+00
5;0.050000;9.616241e+00;-9.622509e+00;-6.160745e+00;-3.311425e+00;2.324039e+00;1.273946e+01;-5.959969e-01;1.620371e+00;5.343456e-01;6.308739e-01;-1.106020e+01;-6.558119e+00;1.414065e-01;-1.281097e+00
6;0.060000;8.452443e+00;-9.386019e+00;-5.846914e+00;-2.589577e+00;2.423436e+00;1.137704e+01;-3.733292e-01;4.894093e+00;-1.827381e+00;2.743974e+00;-1.125051e+01;-7.626488e+00;2.346316e+00;1.000793e+00
7;0.070000;6.667796e+00;-8.706503e+00;-4.922216e+00;-1.309912e+00;2.074704e+00;1.052284e+01;-1.670614e+00;4.643767e+00;-3.448682e+00;2.518036e+00;-1.165672e+01;-9.411501e+00;3.322974e+00;2.462387e+00
8;0.080000;6.030033e+00;-6.085982e+00;-2.955626e+00;-1.904008e-01;4.114055e+00;9.776447e+00;-4.555817e-01;4.593729e+00;-1.620268e+00;1.823204e+00;-8.483347e+00;-1.001695e+01;5.844581e+00;2.892693e+00
9;0.090000;5.712826e+00;-3.149103e+00;-2.721780e+00;-8.166486e-01;5.029085e+00;5.171967e+00;1.261976e+00;5.566235e+00;-1.541239e+00;-1.046179e+00;-7.467244e+00;-9.586300e+00;6.178690e+00;2.064247e+00
10;0.100000;5.168649e+00;-1.084654e+00;-3.098322e+00;1.417321e+00;5.383866e+00;1.137097e+00;7.471085e-03;6.267019e+00;-3.358569e+00;-3.853891e+00;-9.397477e+00;-8.531328e+00;5.121083e+00;6.204987e-01
11;0.110000;5.572903e+00;1.809391e+00;-1.745115e+00;5.858487e+00;6.969300e+00;1.534879e+00;-2.590160e-01;5.174631e+00;-4.544770e+00;-4.378126e+00;-1.010998e+01;-5.340128e+00;5.569386e+00;-2.313606e+00
