frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;2.960189e+00;5.156206e+00;1.047396e+01;3.922988e+00;9.702249e-01;-7.308458e-01;1.945114e-02;7.166390e-01;-2.491415e+00;-2.006984e+00;4.136402e+00;-5.375649e+00;6.451263e-01;-1.386745e+01
1;0.010000;2.918754e+00;5.891852e+00;1.123543e+01;3.632266e+00;6.341982e-01;2.626278e+00;3.873243e+00;2.127028e+00;-5.874308e+00;-2.596142e+00;6.118969e+00;-4.773008e+00;1.135514e+00;-1.386218e+01
2;0.020000;3.330429e+00;6.056983e+00;1.130270e+01;2.203856e+00;-1.273932e+00;3.302327e+00;4.392445e+00;3.954295e+00;-5.361022e+00;-2.542121e+00;5.945228e+00;-4.092375e+00;1.197901e-01;-1.375796e+01
3;0.030000;5.203969e+00;7.054533e+00;8.433831e+00;-1.251418e+00;-4.406798e+00;-4.049002e-01;-5.345504e-01;3.556631e+00;-6.623307e+00;1.865848e+00;6.049029e+00;-3.678621e+00;-3.186053e+00;-1.258065e+01
4;0.040000;8.908037e+00;8.216040e+00;2.458266e+00;-1.095613e+01;-1.000900e+01;-7.313336e-01;-6.529686e+00;1.256626e+00;-8.782706e+00;6.110617e+00;4.179587e+00;1.684327e+00;-6.029141e+00;-8.435745e+00
5;0.050000;1.069954e+01;8.796154e+00;1.641337e+00;-1.629859e+01;-9.415878e+00;2.376876e+00;-8.445319e+00;2.186962e+00;-9.290252e+00;6.977482e+00;2.022360e+00;7.369098e+00;-5.676835e+00;-4.920212e+00
6;0.060000;1.089298e+01;8.672253e+00;2.456664e+00;-1.709688e+01;-8.441629e+00;2.948940e+00;-7.379766e+00;2.968407e+00;-1.045902e+01;9.496443e+00;1.059795e+00;7.282182e+00;-3.950637e+00;-3.711533e+00
7;0.070000;9.939805e+00;8.544455e+00;3.763366e+00;-1.492039e+01;-8.619396e+00;1.106857e+00;-5.482828e+00;4.004733e+00;-1.353476e+01;8.969877e+00;1.361919e+00;4.303274e+00;-2.773078e+00;-4.572998e+00
8;0.080000;9.486045e+00;7.904896e+00;4.292782e+00;-9.880180e+00;-4.831671e+00;1.069829e-01;-4.292115e+00;5.063913e+00;-1.373841e+01;6.675798e+00;2.989625e+00;-2.234936e-01;-2.192675e+00;-6.371346e+00
9;0.090000;9.989546e+00;6.893154e+00;3.585132e+00;-7.774965e+00;-8.371444e-01;3.164364e+00;-3.650403e+00;3.670600e+00;-1.175533e+01;2.940609e+00;5.334413e+00;-2.222389e+00;-2.053156e+00;-7.976059e+00
10;0.100000;1.020847e+01;5.573300e+00;3.595895e+00;-6.947451e+00;-4.327216e-01;1.422974e+00;-6.140710e+00;-6.530156e-01;-8.337777e+00;-7.677150e-02;8.138186e+00;-2.434433e+00;-2.515640e+00;-9.101570e+00
11;0.110000;9.526021e+00;5.195074e+00;5.477791e+00;-4.186777e+00;-3.643403e-01;-2.188567e-01;-4.573461e+00;-2.328932e+00;-5.482755e+00;4.204217e+00;1.131136e+01;-3.124858e+00;-1.292853e+00;-9.473511e+00
12;0.120000;8.217150e+00;5.782713e+00;7.022135e+00;-2.681771e+00;-9.864745e-01;-1.266845e+00;-3.049129e+00;1.110903e+00;-4.794786e+00;3.172717e+00;8.398323e+00;-5.320938e+00;-2.484777e-01;-1.029173e+01
13;0.130000;7.058354e+00;6.222704e+00;7.311374e+00;-1.229127e+00;-1.013347e+00;-2.760443e+00;-3.195681e+00;5.068516e+00;-5.238647e-01;7.728248e-01;6.665981e+00;-5.587939e+00;9.255645e-01;-1.111359e+01
14;0.140000;6.277692e+00;4.974473e+00;7.001685e+00;-1.699629e+00;-2.168389e+00;-3.192870e+00;-2.873955e+00;4.221423e+00;2.472443e+00;3.993384e+00;8.250471e+00;-4.460166e+00;7.990668e-01;-1.150946e+01
15;0.150000;3.673722e+00;3.519036e+00;8.584761e+00;2.200174e+00;4.213933e+00;-1.403787e+01;2.833662e+00;-1.879552e+00;5.186225e+00;2.579126e-01;3.973532e-01;4.724662e+00;-2.163806e+00;-8.815544e+00
16;0.160000;4.591274e-02;5.356417e-01;1.050298e+01;8.333017e+00;8.723886e+00;-1.883514e+01;3.423417e+00;-5.289137e+00;7.301228e+00;-3.143597e-01;-1.653786e+00;1.224649e+01;-1.082972e+00;-4.801041e+00
17;0.170000;3.637185e-01;-5.469313e-01;1.076345e+01;7.357844e+00;3.505078e+00;-2.212276e+01;6.050433e+00;-4.310640e+00;8.925173e+00;2.708690e+00;-3.210104e+00;8.989021e+00;-3.430730e+00;-2.394646e+00
18;0.180000;1.969821e+00;-2.644138e+00;1.252538e+01;3.036976e-02;-5.205034e+00;-2.248586e+01;1.200087e+01;-3.129846e+00;1.443200e+00;8.725143e+00;-2.432498e+00;2.753431e+00;-1.874143e+00;-3.321838e-02
19;0.190000;1.615124e+00;-5.643424e+00;1.492678e+01;-5.119217e+00;-9.194630e+00;-1.808460e+01;1.783925e+01;7.303095e-01;-6.081762e-01;1.166308e+01;-2.240718e+00;3.056907e+00;-4.872961e+00;2.857101e+00
20;0.200000;1.513882e-01;-7.967635e+00;1.338620e+01;-8.366549e+00;-1.106006e+01;-1.586985e+01;2.001710e+01;3.678510e+00;-1.199617e+00;8.693428e+00;-6.847077e+00;1.996294e+00;-9.081709e+00;4.709358e+00
21;0.210000;-7.323446e-01;-9.987001e+00;9.964001e+00;-1.190389e+01;-1.060900e+01;-1.151400e+01;1.994210e+01;3.828347e+00;-4.298435e+00;2.505719e+00;-1.280431e+01;1.543046e+00;-1.155558e+01;5.812836e+00
22;0.220000;-2.235021e+00;-1.262617e+01;6.589856e+00;-1.307967e+01;-8.125849e+00;-5.759917e+00;1.818073e+01;3.433399e+00;-6.319281e+00;-5.122371e-01;-1.610095e+01;2.817241e+00;-1.067568e+01;6.676743e+00
23;0.230000;-3.531524e+00;-1.403125e+01;4.503170e+00;-1.022023e+01;-2.742326e+00;-7.640890e-01;1.764214e+01;4.752942e+00;-5.588790e+00;-2.157060e+00;-1.566306e+01;5.895216e+00;-6.721850e+00;7.012268e+00
24;0.240000;-3.487001e+00;-1.349850e+01;3.017579e+00;-6.326260e+00;2.329444e+00;6.120795e-01;1.313137e+01;3.008929e+00;-3.063306e+00;-1.587765e+00;-1.063481e+01;7.932569e+00;-2.895245e+00;7.812454e+00
25;0.250000;-3.792690e+00;-1.459548e+01;-3.549366e-01;-4.669399e+00;5.194667e+00;6.030488e-01;9.509588e+00;1.848149e+00;-2.218574e+00;-1.293351e+00;-9.941863e+00;6.164668e+00;-1.879172e+00;8.606796e+00
26;0.260000;-3.478424e+00;-1.558042e+01;-1.712223e+00;-1.961536e+00;8.148473e+00;7.773198e-01;7.120016e+00;1.090251e+00;-1.650842e+00;1.323502e-01;-9.111783e+00;4.477031e+00;-1.348075e+00;8.946144e+00
27;0.270000;-3.391511e+00;-1.560712e+01;-1.403203e+00;1.151442e+00;1.044583e+01;2.356477e+00;5.361258e+00;-1.241429e+00;-2.061669e+00;3.026049e+00;-6.201287e+00;4.148085e+00;6.218796e-01;8.950554e+00
28;0.280000;-3.732575e+00;-1.553632e+01;-2.284537e+00;1.531540e+00;9.931404e+00;3.973317e+00;3.865193e+00;-4.319970e+00;-2.707501e+00;3.872856e+00;-4.206645e+00;2.582916e+00;2.089306e+00;8.368057e+00
29;0.290000;-3.660821e+00;-1.638709e+01;-3.816924e+00;-1.603307e+00;6.827579e+00;2.717841e+00;2.532017e+00;-7.909889e+00;-2.203203e+00;3.557438e+00;-3.679159e+00;3.079893e+00;2.201669e+00;7.988174e+00
30;0.300000;-1.870268e+00;-1.614595e+01;-5.089334e+00;-3.204528e+00;4.584274e+00;7.909102e-01;2.507128e+00;-6.041588e+00;2.844372e-01;4.582347e+00;-2.969945e+00;4.697174e+00;2.439331e+00;8.069710e+00
31;0.310000;-8.865910e-01;-1.765797e+01;-7.094544e+00;-3.969466e+00;4.422387e+00;1.369216e+00;3.591174e-01;-6.900774e+00;8.987570e-01;3.652943e+00;-4.171590e+00;4.037752e+00;2.027000e+00;8.230568e+00
32;0.320000;-1.468267e+00;-1.868854e+01;-7.563239e+00;-3.084584e+00;3.975879e+00;3.521983e+00;-2.011123e+00;-9.131570e+00;-2.212990e+00;4.015491e-01;-6.972898e+00;3.416006e+00;6.854355e-01;7.982979e+00
33;0.330000;-1.976121e+00;-1.823353e+01;-5.371925e+00;-3.323424e+00;3.631397e+00;4.733586e+00;-1.122888e+00;-6.994618e+00;-4.476027e+00;-3.344934e+00;-9.147580e+00;3.855576e+00;4.432254e-01;7.608345e+00
34;0.340000;-1.878673e+00;-1.622422e+01;-3.415144e+00;-3.852726e+00;2.736585e+00;4.825184e+00;1.076520e+00;-3.037373e+00;-3.280792e+00;-2.192032e+00;-8.773402e+00;6.485570e+00;-1.701413e+00;7.635948e+00
35;0.350000;-1.710493e+00;-1.435493e+01;-3.071774e+00;-3.926183e+00;3.751786e+00;2.956783e+00;3.392482e-01;-2.918565e+00;-1.167412e+00;-1.752406e+00;-8.375852e+00;8.869950e+00;-3.833952e+00;7.607422e+00
36;0.360000;-5.695443e-01;-1.259549e+01;-2.206427e+00;-4.263544e+00;5.091904e+00;2.325037e+00;-1.918490e+00;-5.100024e+00;-1.434053e+00;-4.198852e+00;-8.584901e+00;7.679323e+00;-4.767568e+00;7.079872e+00
37;0.370000;6.004386e-01;-9.885530e+00;-1.535734e+00;-3.705474e+00;4.299108e+00;3.235843e+00;-3.882869e+00;-8.367924e+00;-2.414189e+00;-6.824621e+00;-6.741723e+00;6.634942e+00;-4.348280e+00;6.296486e+00
38;0.380000;1.489960e+00;-6.564019e+00;-1.860563e+00;-9.103270e-01;2.971425e+00;1.967979e+00;-4.683977e+00;-9.743589e+00;1.149598e+00;-6.709423e+00;-6.374625e+00;4.969853e+00;-1.734227e+00;5.657433e+00
39;0.390000;1.230044e+00;-4.990235e+00;-5.168314e+00;3.671981e+00;4.205973e+00;3.639246e-01;-3.184874e+00;-1.005157e+01;3.058392e+00;-8.281590e+00;-4.596955e+00;-1.200468e+00;1.624445e+00;4.728577e+00
40;0.400000;5.960608e-02;-5.298054e+00;-9.074957e+00;5.097838e+00;6.090427e+00;5.915571e-01;-6.061618e-01;-9.423079e+00;1.673036e-01;-7.045815e+00;-3.492105e+00;-6.277953e+00;3.483308e+00;3.327499e+00
41;0.410000;6.187568e-01;-6.499846e+00;-8.489012e+00;5.159511e+00;6.260113e+00;1.321653e+00;1.130430e+00;-6.818398e+00;7.426386e-01;-3.334929e+00;-8.576698e-01;-6.268303e+00;4.513849e+00;2.044525e+00
42;0.420000;2.009115e+00;-7.505747e+00;-4.494666e+00;6.174205e+00;8.561264e+00;1.142327e-01;2.365217e+00;-1.468544e+00;3.721225e+00;1.527416e+00;-3.441257e-01;-3.276329e+00;4.854037e+00;9.067917e-01
43;0.430000;2.580574e+00;-8.582648e+00;-2.892618e+00;5.470920e+00;1.104968e+01;-1.450124e-01;-9.868441e-01;-6.007848e-01;4.646442e+00;3.353825e+00;-1.838083e-01;4.114437e-01;4.568493e+00;3.945312e-01
44;0.440000;2.433184e+00;-8.860034e+00;-2.442199e+00;5.204028e+00;1.058372e+01;-4.090658e-01;-5.201551e+00;-3.668832e+00;1.707607e+00;4.278113e+00;2.732286e+00;5.109434e-01;4.465880e+00;-8.446808e-01
45;0.450000;3.710092e+00;-8.205347e+00;-1.470841e+00;5.493064e+00;1.035135e+01;7.554598e-01;-3.977593e+00;-1.562118e+00;1.168546e+00;1.409642e+00;1.964295e+00;-2.162697e+00;3.617369e+00;-1.562042e+00
46;0.460000;3.429942e+00;-7.561395e+00;-5.130405e-01;6.478596e+00;1.147930e+01;1.677127e+00;-2.224729e+00;-3.240709e-01;3.894390e+00;1.219984e+00;1.794250e+00;-2.788434e+00;4.175293e+00;-1.888779e+00
47;0.470000;1.913346e+00;-7.382960e+00;7.948451e-01;7.426980e+00;1.200174e+01;2.499587e+00;-1.695745e-01;-9.499354e-01;3.954380e+00;1.743940e+00;9.735918e-01;-2.578932e+00;3.763436e+00;-2.849045e+00
48;0.480000;7.157927e-01;-7.420794e+00;-8.657742e-02;6.915863e+00;1.102102e+01;2.386947e+00;2.154324e+00;-5.324349e-01;-9.648247e-01;4.792757e-01;-3.737926e-02;-2.127261e+00;2.538589e+00;-4.154579e+00
49;0.490000;-1.222263e+00;-4.826660e+00;-3.342370e+00;9.341993e+00;8.655115e+00;3.894854e+00;2.703560e+00;-1.861815e+00;-1.494827e-01;-2.740741e-02;2.071676e+00;-3.001776e+00;8.359609e-01;-4.028488e+00
